"# Backtest method: Thursday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (CALLs)"
"# Thursday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:23:54  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 9:55–10:12 AM  |  Optimal exit frame = 1:30–1:36 PM

DETAIL — one row per session (ATM call at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-18,C,AAPL240719C00230000,230.0,REAL,9:55–10:12 AM,0.7947,1:30–1:36 PM,0.1967,-0.598,2,158.94,-119.61,False,1DTE (expiry Fri 07-19)
2024-07-25,C,AAPL240726C00220000,220.0,REAL,9:55–10:12 AM,0.4412,1:30–1:36 PM,1.5067,1.0655,3,132.35,319.65,True,1DTE (expiry Fri 07-26)
2024-08-01,C,AAPL240802C00225000,225.0,REAL,9:55–10:12 AM,3.9359,1:30–1:36 PM,1.9333,-2.0025,1,393.59,-200.25,False,1DTE (expiry Fri 08-02)
2024-08-08,C,AAPL240809C00212500,212.5,REAL,9:55–10:12 AM,1.4588,1:30–1:36 PM,2.755,1.2962,1,145.88,129.62,True,1DTE (expiry Fri 08-09)
2024-08-15,C,AAPL240816C00225000,225.0,REAL,9:55–10:12 AM,1.0329,1:30–1:36 PM,0.9583,-0.0746,1,103.29,-7.46,False,1DTE (expiry Fri 08-16)
2024-08-22,C,AAPL240823C00227500,227.5,REAL,9:55–10:12 AM,1.6518,1:30–1:36 PM,0.5283,-1.1234,1,165.18,-112.34,False,1DTE (expiry Fri 08-23)
2024-08-29,C,AAPL240830C00230000,230.0,REAL,9:55–10:12 AM,2.1471,1:30–1:36 PM,2.7733,0.6263,1,214.71,62.63,True,1DTE (expiry Fri 08-30)
2024-09-05,C,AAPL240906C00222500,222.5,REAL,9:55–10:12 AM,3.2606,1:30–1:36 PM,1.78,-1.4806,1,326.06,-148.06,False,1DTE (expiry Fri 09-06)
2024-09-12,C,AAPL240913C00222500,222.5,REAL,9:55–10:12 AM,1.1476,1:30–1:36 PM,1.5883,0.4407,1,114.76,44.07,True,1DTE (expiry Fri 09-13)
2024-09-19,C,AAPL240920C00225000,225.0,REAL,9:55–10:12 AM,3.7647,1:30–1:36 PM,4.706,0.9413,1,376.47,94.13,True,1DTE (expiry Fri 09-20)
