"# Backtest method: Thursday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (PUTs)"
"# Thursday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:23:59  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 9:30–9:35 AM  |  Optimal exit frame = 9:42–9:47 AM

DETAIL — one row per session (ATM put at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-18,P,AAPL240719P00230000,230.0,REAL,9:30–9:35 AM,1.966,9:42–9:47 AM,2.244,0.278,1,196.6,27.8,True,1DTE (expiry Fri 07-19)
2024-07-25,P,AAPL240726P00220000,220.0,REAL,9:30–9:35 AM,2.17,9:42–9:47 AM,2.816,0.646,1,217.0,64.6,True,1DTE (expiry Fri 07-26)
2024-08-01,P,AAPL240802P00225000,225.0,REAL,9:30–9:35 AM,5.11,9:42–9:47 AM,5.255,0.145,1,511.0,14.5,True,1DTE (expiry Fri 08-02)
2024-08-08,P,AAPL240809P00212500,212.5,REAL,9:30–9:35 AM,2.008,9:42–9:47 AM,3.252,1.244,1,200.8,124.4,True,1DTE (expiry Fri 08-09)
2024-08-15,P,AAPL240816P00225000,225.0,REAL,9:30–9:35 AM,2.234,9:42–9:47 AM,2.388,0.154,1,223.4,15.4,True,1DTE (expiry Fri 08-16)
2024-08-22,P,AAPL240823P00227500,227.5,REAL,9:30–9:35 AM,1.49,9:42–9:47 AM,1.536,0.046,1,149.0,4.6,True,1DTE (expiry Fri 08-23)
2024-08-29,P,AAPL240830P00230000,230.0,REAL,9:30–9:35 AM,1.572,9:42–9:47 AM,1.056,-0.516,1,157.2,-51.6,False,1DTE (expiry Fri 08-30)
2024-09-05,P,AAPL240906P00222500,222.5,REAL,9:30–9:35 AM,1.688,9:42–9:47 AM,1.542,-0.146,1,168.8,-14.6,False,1DTE (expiry Fri 09-06)
2024-09-12,P,AAPL240913P00222500,222.5,REAL,9:30–9:35 AM,2.02,9:42–9:47 AM,2.458,0.438,1,202.0,43.8,True,1DTE (expiry Fri 09-13)
2024-09-19,P,AAPL240920P00225000,225.0,REAL,9:30–9:35 AM,1.67,9:42–9:47 AM,1.1,-0.57,1,167.0,-57.0,False,1DTE (expiry Fri 09-20)
2024-09-26,P,AAPL240927P00227500,227.5,REAL,9:30–9:35 AM,1.81,9:42–9:47 AM,2.222,0.412,1,181.0,41.2,True,1DTE (expiry Fri 09-27)
2024-10-03,P,AAPL241004P00225000,225.0,REAL,9:30–9:35 AM,1.438,9:42–9:47 AM,1.176,-0.262,1,143.8,-26.2,False,1DTE (expiry Fri 10-04)
2024-10-10,P,AAPL241011P00227500,227.5,REAL,9:30–9:35 AM,1.182,9:42–9:47 AM,1.208,0.026,1,118.2,2.6,True,1DTE (expiry Fri 10-11)
2024-10-17,P,AAPL241018P00232500,232.5,REAL,9:30–9:35 AM,1.41,9:42–9:47 AM,1.912,0.502,1,141.0,50.2,True,1DTE (expiry Fri 10-18)
2024-10-24,P,AAPL241025P00230000,230.0,REAL,9:30–9:35 AM,2.038,9:42–9:47 AM,1.754,-0.284,1,203.8,-28.4,False,1DTE (expiry Fri 10-25)
2024-10-31,P,AAPL241101P00230000,230.0,REAL,9:30–9:35 AM,4.958,9:42–9:47 AM,4.64,-0.318,1,495.8,-31.8,False,1DTE (expiry Fri 11-01)
2024-11-07,P,AAPL241108P00225000,225.0,REAL,9:30–9:35 AM,1.12,9:42–9:47 AM,1.11,-0.01,1,112.0,-1.0,False,1DTE (expiry Fri 11-08)
2024-11-14,P,AAPL241115P00225000,225.0,REAL,9:30–9:35 AM,0.872,9:42–9:47 AM,0.834,-0.038,2,174.4,-7.6,False,1DTE (expiry Fri 11-15)
