"# Backtest method: Thursday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (CALLs)"
"# Thursday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:24:47  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 10:55–11:04 AM  |  Optimal exit frame = 11:16–11:22 AM

DETAIL — one row per session (ATM call at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-18,C,AMD240719C00165000,165.0,REAL,10:55–11:04 AM,0.3878,11:16–11:22 AM,0.2333,-0.1544,3,116.33,-46.33,False,1DTE (expiry Fri 07-19)
2024-07-25,C,AMD240726C00145000,145.0,REAL,10:55–11:04 AM,1.0556,11:16–11:22 AM,0.8983,-0.1572,1,105.56,-15.72,False,1DTE (expiry Fri 07-26)
2024-08-01,C,AMD240802C00145000,145.0,REAL,10:55–11:04 AM,0.4156,11:16–11:22 AM,0.3883,-0.0272,3,124.67,-8.17,False,1DTE (expiry Fri 08-02)
2024-08-08,C,AMD240809C00130000,130.0,REAL,10:55–11:04 AM,5.4133,11:16–11:22 AM,4.69,-0.7233,1,541.33,-72.33,False,1DTE (expiry Fri 08-09)
2024-08-15,C,AMD240816C00140000,140.0,REAL,10:55–11:04 AM,5.44,11:16–11:22 AM,5.666,0.226,1,544.0,22.6,True,1DTE (expiry Fri 08-16)
2024-08-22,C,AMD240823C00160000,160.0,REAL,10:55–11:04 AM,0.83,11:16–11:22 AM,0.6617,-0.1683,2,166.0,-33.67,False,1DTE (expiry Fri 08-23)
2024-08-29,C,AMD240830C00145000,145.0,REAL,10:55–11:04 AM,4.144,11:16–11:22 AM,4.19,0.046,1,414.4,4.6,True,1DTE (expiry Fri 08-30)
2024-09-05,C,AMD240906C00140000,140.0,REAL,10:55–11:04 AM,2.0775,11:16–11:22 AM,2.102,0.0245,1,207.75,2.45,True,1DTE (expiry Fri 09-06)
2024-09-12,C,AMD240913C00150000,150.0,REAL,10:55–11:04 AM,1.8311,11:16–11:22 AM,1.9333,0.1022,1,183.11,10.22,True,1DTE (expiry Fri 09-13)
2024-09-19,C,AMD240920C00155000,155.0,REAL,10:55–11:04 AM,2.4344,11:16–11:22 AM,3.06,0.6256,1,243.44,62.56,True,1DTE (expiry Fri 09-20)
2024-09-26,C,AMD240927C00165000,165.0,REAL,10:55–11:04 AM,1.7411,11:16–11:22 AM,2.2467,0.5056,1,174.11,50.56,True,1DTE (expiry Fri 09-27)
2024-10-03,C,AMD241004C00160000,160.0,REAL,10:55–11:04 AM,4.5037,11:16–11:22 AM,4.0,-0.5037,1,450.37,-50.37,False,1DTE (expiry Fri 10-04)
2024-10-10,C,AMD241011C00170000,170.0,REAL,10:55–11:04 AM,2.99,11:16–11:22 AM,3.44,0.45,1,299.0,45.0,True,1DTE (expiry Fri 10-11)
2024-10-17,C,AMD241018C00160000,160.0,REAL,10:55–11:04 AM,0.7611,11:16–11:22 AM,0.8217,0.0606,2,152.22,12.11,True,1DTE (expiry Fri 10-18)
2024-10-24,C,AMD241025C00155000,155.0,REAL,10:55–11:04 AM,0.9678,11:16–11:22 AM,1.0983,0.1306,2,193.56,26.11,True,1DTE (expiry Fri 10-25)
2024-10-31,C,AMD241101C00150000,150.0,REAL,10:55–11:04 AM,0.43,11:16–11:22 AM,0.49,0.06,3,129.0,18.0,True,1DTE (expiry Fri 11-01)
2024-11-07,C,AMD241108C00145000,145.0,REAL,10:55–11:04 AM,4.2767,11:16–11:22 AM,3.905,-0.3717,1,427.67,-37.17,False,1DTE (expiry Fri 11-08)
2024-11-14,C,AMD241115C00140000,140.0,REAL,10:55–11:04 AM,1.18,11:16–11:22 AM,1.06,-0.12,1,118.0,-12.0,False,1DTE (expiry Fri 11-15)
2024-11-21,C,AMD241122C00140000,140.0,REAL,10:55–11:04 AM,0.3744,11:16–11:22 AM,0.334,-0.0404,3,112.33,-12.13,False,1DTE (expiry Fri 11-22)
2024-11-28,C,,0.0,MISS,10:55–11:04 AM,,11:16–11:22 AM,,,,,,,missing data (entry-day market holiday)
2024-12-05,C,AMD241206C00145000,145.0,REAL,10:55–11:04 AM,0.3411,11:16–11:22 AM,0.37,0.0289,3,102.33,8.67,True,1DTE (expiry Fri 12-06)
2024-12-12,C,AMD241213C00130000,130.0,REAL,10:55–11:04 AM,1.7067,11:16–11:22 AM,1.4733,-0.2333,1,170.67,-23.33,False,1DTE (expiry Fri 12-13)
2024-12-19,C,AMD241220C00125000,125.0,REAL,10:55–11:04 AM,0.2878,11:16–11:22 AM,0.2967,0.0089,4,115.11,3.56,True,1DTE (expiry Fri 12-20)
2024-12-26,C,AMD241227C00125000,125.0,REAL,10:55–11:04 AM,1.9067,11:16–11:22 AM,1.7383,-0.1683,1,190.67,-16.83,False,1DTE (expiry Fri 12-27)
2025-01-02,C,AMD250103C00120000,120.0,REAL,10:55–11:04 AM,2.306,11:16–11:22 AM,2.16,-0.146,1,230.6,-14.6,False,1DTE (expiry Fri 01-03)
2025-01-09,C,,0.0,MISS,10:55–11:04 AM,,11:16–11:22 AM,,,,,,,missing data (no entry-day stock bars)
