"# Backtest method: Thursday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (CALLs)"
"# Thursday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:24:20  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 10:30–10:35 AM  |  Optimal exit frame = 12:13–12:20 PM

DETAIL — one row per session (ATM call at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-18,C,AMZN240719C00190000,190.0,REAL,10:30–10:35 AM,0.53,12:13–12:20 PM,0.1786,-0.3514,2,106.0,-70.29,False,1DTE (expiry Fri 07-19)
2024-07-25,C,AMZN240726C00185000,185.0,REAL,10:30–10:35 AM,0.206,12:13–12:20 PM,0.8943,0.6883,5,103.0,344.14,True,1DTE (expiry Fri 07-26)
2024-08-01,C,AMZN240802C00190000,190.0,REAL,10:30–10:35 AM,5.352,12:13–12:20 PM,4.5486,-0.8034,1,535.2,-80.34,False,1DTE (expiry Fri 08-02)
2024-08-08,C,AMZN240809C00165000,165.0,REAL,10:30–10:35 AM,1.478,12:13–12:20 PM,2.0086,0.5306,1,147.8,53.06,True,1DTE (expiry Fri 08-09)
2024-08-15,C,AMZN240816C00175000,175.0,REAL,10:30–10:35 AM,1.608,12:13–12:20 PM,2.0514,0.4434,1,160.8,44.34,True,1DTE (expiry Fri 08-16)
2024-08-22,C,AMZN240823C00180000,180.0,REAL,10:30–10:35 AM,1.12,12:13–12:20 PM,0.5586,-0.5614,1,112.0,-56.14,False,1DTE (expiry Fri 08-23)
2024-08-29,C,AMZN240830C00170000,170.0,REAL,10:30–10:35 AM,3.575,12:13–12:20 PM,4.48,0.905,1,357.5,90.5,True,1DTE (expiry Fri 08-30)
2024-09-05,C,AMZN240906C00175000,175.0,REAL,10:30–10:35 AM,4.91,12:13–12:20 PM,2.714,-2.196,1,491.0,-219.6,False,1DTE (expiry Fri 09-06)
2024-09-12,C,AMZN240913C00185000,185.0,REAL,10:30–10:35 AM,1.304,12:13–12:20 PM,1.22,-0.084,1,130.4,-8.4,False,1DTE (expiry Fri 09-13)
2024-09-19,C,AMZN240920C00190000,190.0,REAL,10:30–10:35 AM,1.78,12:13–12:20 PM,1.0014,-0.7786,1,178.0,-77.86,False,1DTE (expiry Fri 09-20)
2024-09-26,C,AMZN240927C00195000,195.0,REAL,10:30–10:35 AM,0.204,12:13–12:20 PM,0.23,0.026,5,102.0,13.0,True,1DTE (expiry Fri 09-27)
2024-10-03,C,AMZN241004C00180000,180.0,REAL,10:30–10:35 AM,2.712,12:13–12:20 PM,3.4167,0.7047,1,271.2,70.47,True,1DTE (expiry Fri 10-04)
2024-10-10,C,AMZN241011C00185000,185.0,REAL,10:30–10:35 AM,2.37,12:13–12:20 PM,2.6643,0.2943,1,237.0,29.43,True,1DTE (expiry Fri 10-11)
2024-10-17,C,AMZN241018C00190000,190.0,REAL,10:30–10:35 AM,0.382,12:13–12:20 PM,0.7314,0.3494,3,114.6,104.83,True,1DTE (expiry Fri 10-18)
2024-10-24,C,AMZN241025C00185000,185.0,REAL,10:30–10:35 AM,2.126,12:13–12:20 PM,1.8529,-0.2731,1,212.6,-27.31,False,1DTE (expiry Fri 10-25)
2024-10-31,C,AMZN241101C00190000,190.0,REAL,10:30–10:35 AM,5.062,12:13–12:20 PM,4.5929,-0.4691,1,506.2,-46.91,False,1DTE (expiry Fri 11-01)
2024-11-07,C,AMZN241108C00207500,207.5,REAL,10:30–10:35 AM,3.765,12:13–12:20 PM,3.632,-0.133,1,376.5,-13.3,False,1DTE (expiry Fri 11-08)
2024-11-14,C,AMZN241115C00215000,215.0,REAL,10:30–10:35 AM,0.638,12:13–12:20 PM,0.5414,-0.0966,2,127.6,-19.31,False,1DTE (expiry Fri 11-15)
2024-11-21,C,AMZN241122C00202500,202.5,REAL,10:30–10:35 AM,0.606,12:13–12:20 PM,0.27,-0.336,2,121.2,-67.2,False,1DTE (expiry Fri 11-22)
2024-11-28,C,,0.0,MISS,10:30–10:35 AM,,12:13–12:20 PM,,,,,,,missing data (entry-day market holiday)
2024-12-05,C,AMZN241206C00217500,217.5,REAL,10:30–10:35 AM,2.504,12:13–12:20 PM,3.6986,1.1946,1,250.4,119.46,True,1DTE (expiry Fri 12-06)
2024-12-12,C,AMZN241213C00230000,230.0,REAL,10:30–10:35 AM,1.608,12:13–12:20 PM,1.6943,0.0863,1,160.8,8.63,True,1DTE (expiry Fri 12-13)
2024-12-19,C,AMZN241220C00225000,225.0,REAL,10:30–10:35 AM,1.608,12:13–12:20 PM,2.26,0.652,1,160.8,65.2,True,1DTE (expiry Fri 12-20)
2024-12-26,C,AMZN241227C00227500,227.5,REAL,10:30–10:35 AM,1.656,12:13–12:20 PM,1.6186,-0.0374,1,165.6,-3.74,False,1DTE (expiry Fri 12-27)
2025-01-02,C,AMZN250103C00222500,222.5,REAL,10:30–10:35 AM,1.952,12:13–12:20 PM,2.0483,0.0963,1,195.2,9.63,True,1DTE (expiry Fri 01-03)
2025-01-09,C,,0.0,MISS,10:30–10:35 AM,,12:13–12:20 PM,,,,,,,missing data (no entry-day stock bars)
2025-01-16,C,AMZN250117C00225000,225.0,REAL,10:30–10:35 AM,0.824,12:13–12:20 PM,0.5457,-0.2783,2,164.8,-55.66,False,1DTE (expiry Fri 01-17)
2025-01-23,C,AMZN250124C00232500,232.5,REAL,10:30–10:35 AM,2.746,12:13–12:20 PM,2.1829,-0.5631,1,274.6,-56.31,False,1DTE (expiry Fri 01-24)
2025-01-30,C,AMZN250131C00235000,235.0,REAL,10:30–10:35 AM,2.218,12:13–12:20 PM,1.75,-0.468,1,221.8,-46.8,False,1DTE (expiry Fri 01-31)
2025-02-06,C,AMZN250207C00237500,237.5,REAL,10:30–10:35 AM,7.938,12:13–12:20 PM,7.64,-0.298,1,793.8,-29.8,False,1DTE (expiry Fri 02-07)
2025-02-13,C,AMZN250214C00227500,227.5,REAL,10:30–10:35 AM,2.948,12:13–12:20 PM,2.1717,-0.7763,1,294.8,-77.63,False,1DTE (expiry Fri 02-14)
2025-02-20,C,AMZN250221C00225000,225.0,REAL,10:30–10:35 AM,0.97,12:13–12:20 PM,0.58,-0.39,2,194.0,-78.0,False,1DTE (expiry Fri 02-21)
2025-02-27,C,AMZN250228C00220000,220.0,REAL,10:30–10:35 AM,0.314,12:13–12:20 PM,0.1957,-0.1183,4,125.6,-47.31,False,1DTE (expiry Fri 02-28)
2025-03-06,C,AMZN250307C00205000,205.0,REAL,10:30–10:35 AM,2.416,12:13–12:20 PM,1.1971,-1.2189,1,241.6,-121.89,False,1DTE (expiry Fri 03-07)
2025-03-13,C,AMZN250314C00200000,200.0,REAL,10:30–10:35 AM,0.684,12:13–12:20 PM,0.3357,-0.3483,2,136.8,-69.66,False,1DTE (expiry Fri 03-14)
2025-03-20,C,AMZN250321C00195000,195.0,REAL,10:30–10:35 AM,3.572,12:13–12:20 PM,2.3543,-1.2177,1,357.2,-121.77,False,1DTE (expiry Fri 03-21)
2025-03-27,C,AMZN250328C00200000,200.0,REAL,10:30–10:35 AM,3.436,12:13–12:20 PM,3.8,0.364,1,343.6,36.4,True,1DTE (expiry Fri 03-28)
2025-04-03,C,AMZN250404C00185000,185.0,REAL,10:30–10:35 AM,0.994,12:13–12:20 PM,1.6329,0.6389,2,198.8,127.77,True,1DTE (expiry Fri 04-04)
2025-04-10,C,AMZN250411C00185000,185.0,REAL,10:30–10:35 AM,3.72,12:13–12:20 PM,1.0957,-2.6243,1,372.0,-262.43,False,1DTE (expiry Fri 04-11)
2025-04-17,C,AMZN250417C00175000,175.0,REAL,10:30–10:35 AM,0.476,12:13–12:20 PM,0.4814,0.0054,3,142.8,1.63,True,1DTE (same-day expiry)
2025-04-24,C,AMZN250425C00180000,180.0,REAL,10:30–10:35 AM,4.722,12:13–12:20 PM,5.5675,0.8455,1,472.2,84.55,True,1DTE (expiry Fri 04-25)
2025-05-01,C,AMZN250502C00190000,190.0,REAL,10:30–10:35 AM,5.516,12:13–12:20 PM,5.66,0.144,1,551.6,14.4,True,1DTE (expiry Fri 05-02)
2025-05-08,C,AMZN250509C00190000,190.0,REAL,10:30–10:35 AM,2.024,12:13–12:20 PM,3.7157,1.6917,1,202.4,169.17,True,1DTE (expiry Fri 05-09)
2025-05-15,C,AMZN250516C00202500,202.5,REAL,10:30–10:35 AM,2.95,12:13–12:20 PM,3.3717,0.4217,1,295.0,42.17,True,1DTE (expiry Fri 05-16)
2025-05-22,C,AMZN250523C00200000,200.0,REAL,10:30–10:35 AM,3.59,12:13–12:20 PM,4.415,0.825,1,359.0,82.5,True,1DTE (expiry Fri 05-23)
2025-05-29,C,AMZN250530C00207500,207.5,REAL,10:30–10:35 AM,1.632,12:13–12:20 PM,1.0557,-0.5763,1,163.2,-57.63,False,1DTE (expiry Fri 05-30)
2025-06-05,C,AMZN250606C00210000,210.0,REAL,10:30–10:35 AM,1.62,12:13–12:20 PM,2.5043,0.8843,1,162.0,88.43,True,1DTE (expiry Fri 06-06)
2025-06-12,C,AMZN250613C00212500,212.5,REAL,10:30–10:35 AM,1.74,12:13–12:20 PM,1.6914,-0.0486,1,174.0,-4.86,False,1DTE (expiry Fri 06-13)
2025-06-19,C,,0.0,MISS,10:30–10:35 AM,,12:13–12:20 PM,,,,,,,missing data (entry-day market holiday)
2025-06-26,C,AMZN250627C00212500,212.5,REAL,10:30–10:35 AM,2.05,12:13–12:20 PM,4.06,2.01,1,205.0,201.0,True,1DTE (expiry Fri 06-27)
2025-07-03,C,AMZN250703C00222500,222.5,REAL,10:30–10:35 AM,0.428,12:13–12:20 PM,0.7686,0.3406,3,128.4,102.17,True,1DTE (same-day expiry)
2025-07-10,C,AMZN250711C00222500,222.5,REAL,10:30–10:35 AM,0.768,12:13–12:20 PM,1.2071,0.4391,2,153.6,87.83,True,1DTE (expiry Fri 07-11)
2025-07-17,C,AMZN250718C00222500,222.5,REAL,10:30–10:35 AM,1.7,12:13–12:20 PM,2.1457,0.4457,1,170.0,44.57,True,1DTE (expiry Fri 07-18)
2025-07-24,C,AMZN250725C00230000,230.0,REAL,10:30–10:35 AM,2.14,12:13–12:20 PM,2.7783,0.6383,1,214.0,63.83,True,1DTE (expiry Fri 07-25)
2025-07-31,C,AMZN250801C00235000,235.0,REAL,10:30–10:35 AM,5.674,12:13–12:20 PM,6.8529,1.1789,1,567.4,117.89,True,1DTE (expiry Fri 08-01)
