"# Backtest method: Thursday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (CALLs)"
"# Thursday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:24:12  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 10:55–11:00 AM  |  Optimal exit frame = 1:29–2:25 PM

DETAIL — one row per session (ATM call at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-18,C,GOOGL240719C00180000,180.0,REAL,10:55–11:00 AM,1.214,1:29–2:25 PM,0.5898,-0.6242,1,121.4,-62.42,False,1DTE (expiry Fri 07-19)
2024-07-25,C,GOOGL240726C00175000,175.0,REAL,10:55–11:00 AM,0.46,1:29–2:25 PM,0.3339,-0.1261,3,138.0,-37.82,False,1DTE (expiry Fri 07-26)
2024-08-01,C,GOOGL240802C00170000,170.0,REAL,10:55–11:00 AM,,1:29–2:25 PM,,,,,,,no usable price in entry/exit frame
2024-08-08,C,GOOGL240809C00160000,160.0,REAL,10:55–11:00 AM,3.26,1:29–2:25 PM,3.7675,0.5075,1,326.0,50.75,True,1DTE (expiry Fri 08-09)
2024-08-15,C,GOOGL240816C00160000,160.0,REAL,10:55–11:00 AM,0.998,1:29–2:25 PM,1.8709,0.8729,2,199.6,174.58,True,1DTE (expiry Fri 08-16)
2024-08-22,C,GOOGL240823C00165000,165.0,REAL,10:55–11:00 AM,1.685,1:29–2:25 PM,0.8938,-0.7912,1,168.5,-79.12,False,1DTE (expiry Fri 08-23)
2024-08-29,C,GOOGL240830C00165000,165.0,REAL,10:55–11:00 AM,1.2425,1:29–2:25 PM,0.3461,-0.8964,1,124.25,-89.64,False,1DTE (expiry Fri 08-30)
2024-09-05,C,GOOGL240906C00155000,155.0,REAL,10:55–11:00 AM,,1:29–2:25 PM,,,,,,,no usable price in entry/exit frame
2024-09-12,C,GOOGL240913C00155000,155.0,REAL,10:55–11:00 AM,0.566,1:29–2:25 PM,0.624,0.058,2,113.2,11.6,True,1DTE (expiry Fri 09-13)
2024-09-19,C,GOOGL240920C00165000,165.0,REAL,10:55–11:00 AM,0.206,1:29–2:25 PM,0.2635,0.0575,5,103.0,28.73,True,1DTE (expiry Fri 09-20)
