"# Backtest method: Thursday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (PUTs)"
"# Thursday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:24:16  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 9:30–9:35 AM  |  Optimal exit frame = 9:44–9:49 AM

DETAIL — one row per session (ATM put at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-18,P,GOOGL240719P00180000,180.0,REAL,9:30–9:35 AM,0.734,9:44–9:49 AM,1.044,0.31,2,146.8,62.0,True,1DTE (expiry Fri 07-19)
2024-07-25,P,GOOGL240726P00175000,175.0,REAL,9:30–9:35 AM,2.974,9:44–9:49 AM,4.908,1.934,1,297.4,193.4,True,1DTE (expiry Fri 07-26)
2024-08-01,P,GOOGL240802P00170000,170.0,REAL,9:30–9:35 AM,1.226,9:44–9:49 AM,0.438,-0.788,1,122.6,-78.8,False,1DTE (expiry Fri 08-02)
2024-08-08,P,GOOGL240809P00160000,160.0,REAL,9:30–9:35 AM,1.228,9:44–9:49 AM,1.336,0.108,1,122.8,10.8,True,1DTE (expiry Fri 08-09)
2024-08-15,P,GOOGL240816P00160000,160.0,REAL,9:30–9:35 AM,0.762,9:44–9:49 AM,1.166,0.404,2,152.4,80.8,True,1DTE (expiry Fri 08-16)
2024-08-22,P,GOOGL240823P00165000,165.0,REAL,9:30–9:35 AM,0.494,9:44–9:49 AM,0.556,0.062,3,148.2,18.6,True,1DTE (expiry Fri 08-23)
2024-08-29,P,GOOGL240830P00165000,165.0,REAL,9:30–9:35 AM,1.624,9:44–9:49 AM,1.296,-0.328,1,162.4,-32.8,False,1DTE (expiry Fri 08-30)
2024-09-05,P,GOOGL240906P00155000,155.0,REAL,9:30–9:35 AM,0.602,9:44–9:49 AM,0.402,-0.2,2,120.4,-40.0,False,1DTE (expiry Fri 09-06)
2024-09-12,P,GOOGL240913P00155000,155.0,REAL,9:30–9:35 AM,1.812,9:44–9:49 AM,1.8533,0.0413,1,181.2,4.13,True,1DTE (expiry Fri 09-13)
2024-09-19,P,GOOGL240920P00165000,165.0,REAL,9:30–9:35 AM,2.34,9:44–9:49 AM,2.93,0.59,1,234.0,59.0,True,1DTE (expiry Fri 09-20)
2024-09-26,P,GOOGL240927P00165000,165.0,REAL,9:30–9:35 AM,1.84,9:44–9:49 AM,1.87,0.03,1,184.0,3.0,True,1DTE (expiry Fri 09-27)
2024-10-03,P,GOOGL241004P00165000,165.0,REAL,9:30–9:35 AM,1.544,9:44–9:49 AM,1.59,0.046,1,154.4,4.6,True,1DTE (expiry Fri 10-04)
2024-10-10,P,GOOGL241011P00160000,160.0,REAL,9:30–9:35 AM,0.71,9:44–9:49 AM,0.628,-0.082,2,142.0,-16.4,False,1DTE (expiry Fri 10-11)
2024-10-17,P,GOOGL241018P00165000,165.0,REAL,9:30–9:35 AM,0.756,9:44–9:49 AM,1.22,0.464,2,151.2,92.8,True,1DTE (expiry Fri 10-18)
2024-10-24,P,GOOGL241025P00160000,160.0,REAL,9:30–9:35 AM,0.36,9:44–9:49 AM,0.536,0.176,3,108.0,52.8,True,1DTE (expiry Fri 10-25)
2024-10-31,P,GOOGL241101P00175000,175.0,REAL,9:30–9:35 AM,1.774,9:44–9:49 AM,0.97,-0.804,1,177.4,-80.4,False,1DTE (expiry Fri 11-01)
2024-11-07,P,GOOGL241108P00175000,175.0,REAL,9:30–9:35 AM,0.346,9:44–9:49 AM,0.3,-0.046,3,103.8,-13.8,False,1DTE (expiry Fri 11-08)
2024-11-14,P,GOOGL241115P00180000,180.0,REAL,9:30–9:35 AM,2.566,9:44–9:49 AM,3.33,0.764,1,256.6,76.4,True,1DTE (expiry Fri 11-15)
2024-11-21,P,GOOGL241122P00170000,170.0,REAL,9:30–9:35 AM,0.978,9:44–9:49 AM,2.99,2.012,2,195.6,402.4,True,1DTE (expiry Fri 11-22)
2024-11-28,P,,0.0,MISS,9:30–9:35 AM,,9:44–9:49 AM,,,,,,,missing data (entry-day market holiday)
2024-12-05,P,GOOGL241206P00175000,175.0,REAL,9:30–9:35 AM,0.99,9:44–9:49 AM,1.578,0.588,2,198.0,117.6,True,1DTE (expiry Fri 12-06)
2024-12-12,P,GOOGL241213P00195000,195.0,REAL,9:30–9:35 AM,2.56,9:44–9:49 AM,2.246,-0.314,1,256.0,-31.4,False,1DTE (expiry Fri 12-13)
2024-12-19,P,GOOGL241220P00190000,190.0,REAL,9:30–9:35 AM,1.07,9:44–9:49 AM,1.468,0.398,1,107.0,39.8,True,1DTE (expiry Fri 12-20)
2024-12-26,P,GOOGL241227P00195000,195.0,REAL,9:30–9:35 AM,1.114,9:44–9:49 AM,1.126,0.012,1,111.4,1.2,True,1DTE (expiry Fri 12-27)
2025-01-02,P,GOOGL250103P00190000,190.0,REAL,9:30–9:35 AM,1.686,9:44–9:49 AM,1.718,0.032,1,168.6,3.2,True,1DTE (expiry Fri 01-03)
2025-01-09,P,,0.0,MISS,9:30–9:35 AM,,9:44–9:49 AM,,,,,,,missing data (no entry-day stock bars)
2025-01-16,P,GOOGL250117P00195000,195.0,REAL,9:30–9:35 AM,2.088,9:44–9:49 AM,1.856,-0.232,1,208.8,-23.2,False,1DTE (expiry Fri 01-17)
