"# Backtest method: Thursday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (CALLs)"
"# Thursday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:24:03  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 9:50–9:55 AM  |  Optimal exit frame = 10:37–10:46 AM

DETAIL — one row per session (ATM call at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-18,C,MSFT240719C00445000,445.0,REAL,9:50–9:55 AM,1.362,10:37–10:46 AM,0.7611,-0.6009,1,136.2,-60.09,False,1DTE (expiry Fri 07-19)
2024-07-25,C,MSFT240726C00430000,430.0,REAL,9:50–9:55 AM,1.388,10:37–10:46 AM,1.0,-0.388,1,138.8,-38.8,False,1DTE (expiry Fri 07-26)
2024-08-01,C,MSFT240802C00420000,420.0,REAL,9:50–9:55 AM,7.24,10:37–10:46 AM,6.5475,-0.6925,1,724.0,-69.25,False,1DTE (expiry Fri 08-02)
2024-08-08,C,MSFT240809C00402500,402.5,REAL,9:50–9:55 AM,3.484,10:37–10:46 AM,4.768,1.284,1,348.4,128.4,True,1DTE (expiry Fri 08-09)
2024-08-15,C,MSFT240816C00420000,420.0,REAL,9:50–9:55 AM,1.724,10:37–10:46 AM,1.7356,0.0116,1,172.4,1.16,True,1DTE (expiry Fri 08-16)
2024-08-22,C,MSFT240823C00425000,425.0,REAL,9:50–9:55 AM,2.798,10:37–10:46 AM,1.63,-1.168,1,279.8,-116.8,False,1DTE (expiry Fri 08-23)
2024-08-29,C,MSFT240830C00415000,415.0,REAL,9:50–9:55 AM,5.792,10:37–10:46 AM,6.3013,0.5093,1,579.2,50.93,True,1DTE (expiry Fri 08-30)
2024-09-05,C,MSFT240906C00407500,407.5,REAL,9:50–9:55 AM,5.025,10:37–10:46 AM,6.498,1.473,1,502.5,147.3,True,1DTE (expiry Fri 09-06)
2024-09-12,C,MSFT240913C00422500,422.5,REAL,9:50–9:55 AM,2.178,10:37–10:46 AM,2.0533,-0.1247,1,217.8,-12.47,False,1DTE (expiry Fri 09-13)
2024-09-19,C,MSFT240920C00440000,440.0,REAL,9:50–9:55 AM,1.706,10:37–10:46 AM,2.1133,0.4073,1,170.6,40.73,True,1DTE (expiry Fri 09-20)
2024-09-26,C,MSFT240927C00432500,432.5,REAL,9:50–9:55 AM,2.46,10:37–10:46 AM,1.6878,-0.7722,1,246.0,-77.22,False,1DTE (expiry Fri 09-27)
2024-10-03,C,MSFT241004C00417500,417.5,REAL,9:50–9:55 AM,2.956,10:37–10:46 AM,2.6556,-0.3004,1,295.6,-30.04,False,1DTE (expiry Fri 10-04)
2024-10-10,C,MSFT241011C00412500,412.5,REAL,9:50–9:55 AM,4.185,10:37–10:46 AM,3.8583,-0.3267,1,418.5,-32.67,False,1DTE (expiry Fri 10-11)
2024-10-17,C,MSFT241018C00420000,420.0,REAL,9:50–9:55 AM,1.956,10:37–10:46 AM,1.1556,-0.8004,1,195.6,-80.04,False,1DTE (expiry Fri 10-18)
2024-10-24,C,MSFT241025C00425000,425.0,REAL,9:50–9:55 AM,2.114,10:37–10:46 AM,2.4389,0.3249,1,211.4,32.49,True,1DTE (expiry Fri 10-25)
2024-10-31,C,MSFT241101C00412500,412.5,REAL,9:50–9:55 AM,2.724,10:37–10:46 AM,1.7611,-0.9629,1,272.4,-96.29,False,1DTE (expiry Fri 11-01)
2024-11-07,C,MSFT241108C00420000,420.0,REAL,9:50–9:55 AM,3.11,10:37–10:46 AM,4.2589,1.1489,1,311.0,114.89,True,1DTE (expiry Fri 11-08)
2024-11-14,C,MSFT241115C00427500,427.5,REAL,9:50–9:55 AM,1.856,10:37–10:46 AM,1.7633,-0.0927,1,185.6,-9.27,False,1DTE (expiry Fri 11-15)
2024-11-21,C,MSFT241122C00417500,417.5,REAL,9:50–9:55 AM,1.902,10:37–10:46 AM,0.6313,-1.2707,1,190.2,-127.07,False,1DTE (expiry Fri 11-22)
