"# Backtest method: Thursday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (CALLs)"
"# Thursday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:24:29  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 9:39–9:44 AM  |  Optimal exit frame = 10:36–10:41 AM

DETAIL — one row per session (ATM call at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-18,C,NVDA240719C00120000,120.0,REAL,9:39–9:44 AM,2.192,10:36–10:41 AM,1.5,-0.692,1,219.2,-69.2,False,1DTE (expiry Fri 07-19)
2024-07-25,C,NVDA240726C00115000,115.0,REAL,9:39–9:44 AM,1.228,10:36–10:41 AM,0.948,-0.28,1,122.8,-28.0,False,1DTE (expiry Fri 07-26)
2024-08-01,C,NVDA240802C00115000,115.0,REAL,9:39–9:44 AM,4.684,10:36–10:41 AM,2.532,-2.152,1,468.4,-215.2,False,1DTE (expiry Fri 08-02)
2024-08-08,C,NVDA240809C00100000,100.0,REAL,9:39–9:44 AM,2.4,10:36–10:41 AM,3.642,1.242,1,240.0,124.2,True,1DTE (expiry Fri 08-09)
2024-08-15,C,NVDA240816C00120000,120.0,REAL,9:39–9:44 AM,1.342,10:36–10:41 AM,2.304,0.962,1,134.2,96.2,True,1DTE (expiry Fri 08-16)
2024-08-22,C,NVDA240823C00130000,130.0,REAL,9:39–9:44 AM,1.932,10:36–10:41 AM,1.372,-0.56,1,193.2,-56.0,False,1DTE (expiry Fri 08-23)
2024-08-29,C,NVDA240830C00120000,120.0,REAL,9:39–9:44 AM,3.77,10:36–10:41 AM,2.668,-1.102,1,377.0,-110.2,False,1DTE (expiry Fri 08-30)
2024-09-05,C,NVDA240906C00105000,105.0,REAL,9:39–9:44 AM,4.07,10:36–10:41 AM,4.49,0.42,1,407.0,42.0,True,1DTE (expiry Fri 09-06)
2024-09-12,C,NVDA240913C00115000,115.0,REAL,9:39–9:44 AM,3.44,10:36–10:41 AM,5.034,1.594,1,344.0,159.4,True,1DTE (expiry Fri 09-13)
2024-09-19,C,NVDA240920C00120000,120.0,REAL,9:39–9:44 AM,1.228,10:36–10:41 AM,1.078,-0.15,1,122.8,-15.0,False,1DTE (expiry Fri 09-20)
2024-09-26,C,NVDA240927C00125000,125.0,REAL,9:39–9:44 AM,2.896,10:36–10:41 AM,1.826,-1.07,1,289.6,-107.0,False,1DTE (expiry Fri 09-27)
2024-10-03,C,NVDA241004C00120000,120.0,REAL,9:39–9:44 AM,2.97,10:36–10:41 AM,3.234,0.264,1,297.0,26.4,True,1DTE (expiry Fri 10-04)
2024-10-10,C,NVDA241011C00130000,130.0,REAL,9:39–9:44 AM,3.724,10:36–10:41 AM,4.178,0.454,1,372.4,45.4,True,1DTE (expiry Fri 10-11)
2024-10-17,C,NVDA241018C00140000,140.0,REAL,9:39–9:44 AM,1.334,10:36–10:41 AM,1.258,-0.076,1,133.4,-7.6,False,1DTE (expiry Fri 10-18)
2024-10-24,C,NVDA241025C00140000,140.0,REAL,9:39–9:44 AM,2.086,10:36–10:41 AM,1.434,-0.652,1,208.6,-65.2,False,1DTE (expiry Fri 10-25)
2024-10-31,C,NVDA241101C00135000,135.0,REAL,9:39–9:44 AM,2.36,10:36–10:41 AM,1.328,-1.032,1,236.0,-103.2,False,1DTE (expiry Fri 11-01)
2024-11-07,C,NVDA241108C00145000,145.0,REAL,9:39–9:44 AM,3.25,10:36–10:41 AM,3.628,0.378,1,325.0,37.8,True,1DTE (expiry Fri 11-08)
2024-11-14,C,NVDA241115C00145000,145.0,REAL,9:39–9:44 AM,2.496,10:36–10:41 AM,3.624,1.128,1,249.6,112.8,True,1DTE (expiry Fri 11-15)
2024-11-21,C,NVDA241122C00150000,150.0,REAL,9:39–9:44 AM,1.328,10:36–10:41 AM,0.334,-0.994,1,132.8,-99.4,False,1DTE (expiry Fri 11-22)
2024-11-28,C,,0.0,MISS,9:39–9:44 AM,,10:36–10:41 AM,,,,,,,missing data (entry-day market holiday)
2024-12-05,C,NVDA241206C00145000,145.0,REAL,9:39–9:44 AM,1.424,10:36–10:41 AM,1.164,-0.26,1,142.4,-26.0,False,1DTE (expiry Fri 12-06)
2024-12-12,C,NVDA241213C00135000,135.0,REAL,9:39–9:44 AM,2.736,10:36–10:41 AM,2.79,0.054,1,273.6,5.4,True,1DTE (expiry Fri 12-13)
2024-12-19,C,NVDA241220C00130000,130.0,REAL,9:39–9:44 AM,2.34,10:36–10:41 AM,2.066,-0.274,1,234.0,-27.4,False,1DTE (expiry Fri 12-20)
2024-12-26,C,NVDA241227C00140000,140.0,REAL,9:39–9:44 AM,1.468,10:36–10:41 AM,0.832,-0.636,1,146.8,-63.6,False,1DTE (expiry Fri 12-27)
2025-01-02,C,NVDA250103C00135000,135.0,REAL,9:39–9:44 AM,1.748,10:36–10:41 AM,2.902,1.154,1,174.8,115.4,True,1DTE (expiry Fri 01-03)
2025-01-09,C,,0.0,MISS,9:39–9:44 AM,,10:36–10:41 AM,,,,,,,missing data (no entry-day stock bars)
2025-01-16,C,NVDA250117C00135000,135.0,REAL,9:39–9:44 AM,3.674,10:36–10:41 AM,2.652,-1.022,1,367.4,-102.2,False,1DTE (expiry Fri 01-17)
2025-01-23,C,NVDA250124C00145000,145.0,REAL,9:39–9:44 AM,1.47,10:36–10:41 AM,1.77,0.3,1,147.0,30.0,True,1DTE (expiry Fri 01-24)
2025-01-30,C,NVDA250131C00125000,125.0,REAL,9:39–9:44 AM,1.236,10:36–10:41 AM,0.764,-0.472,1,123.6,-47.2,False,1DTE (expiry Fri 01-31)
2025-02-06,C,NVDA250207C00125000,125.0,REAL,9:39–9:44 AM,2.336,10:36–10:41 AM,2.756,0.42,1,233.6,42.0,True,1DTE (expiry Fri 02-07)
2025-02-13,C,NVDA250214C00130000,130.0,REAL,9:39–9:44 AM,3.38,10:36–10:41 AM,5.628,2.248,1,338.0,224.8,True,1DTE (expiry Fri 02-14)
2025-02-20,C,NVDA250221C00140000,140.0,REAL,9:39–9:44 AM,1.59,10:36–10:41 AM,1.078,-0.512,1,159.0,-51.2,False,1DTE (expiry Fri 02-21)
2025-02-27,C,NVDA250228C00135000,135.0,REAL,9:39–9:44 AM,0.9,10:36–10:41 AM,0.244,-0.656,2,180.0,-131.2,False,1DTE (expiry Fri 02-28)
2025-03-06,C,NVDA250307C00115000,115.0,REAL,9:39–9:44 AM,1.932,10:36–10:41 AM,2.228,0.296,1,193.2,29.6,True,1DTE (expiry Fri 03-07)
2025-03-13,C,NVDA250314C00115000,115.0,REAL,9:39–9:44 AM,2.684,10:36–10:41 AM,2.82,0.136,1,268.4,13.6,True,1DTE (expiry Fri 03-14)
2025-03-20,C,NVDA250321C00115000,115.0,REAL,9:39–9:44 AM,4.48,10:36–10:41 AM,4.522,0.042,1,448.0,4.2,True,1DTE (expiry Fri 03-21)
2025-03-27,C,NVDA250328C00110000,110.0,REAL,9:39–9:44 AM,2.472,10:36–10:41 AM,3.962,1.49,1,247.2,149.0,True,1DTE (expiry Fri 03-28)
2025-04-03,C,NVDA250404C00105000,105.0,REAL,9:39–9:44 AM,1.638,10:36–10:41 AM,1.4,-0.238,1,163.8,-23.8,False,1DTE (expiry Fri 04-04)
2025-04-10,C,NVDA250411C00110000,110.0,REAL,9:39–9:44 AM,2.17,10:36–10:41 AM,2.678,0.508,1,217.0,50.8,True,1DTE (expiry Fri 04-11)
2025-04-17,C,NVDA250417C00105000,105.0,REAL,9:39–9:44 AM,0.43,10:36–10:41 AM,0.098,-0.332,3,129.0,-99.6,False,1DTE (same-day expiry)
2025-04-24,C,NVDA250425C00105000,105.0,REAL,9:39–9:44 AM,1.116,10:36–10:41 AM,1.762,0.646,1,111.6,64.6,True,1DTE (expiry Fri 04-25)
2025-05-01,C,NVDA250502C00115000,115.0,REAL,9:39–9:44 AM,0.916,10:36–10:41 AM,1.036,0.12,2,183.2,24.0,True,1DTE (expiry Fri 05-02)
2025-05-08,C,NVDA250509C00120000,120.0,REAL,9:39–9:44 AM,0.758,10:36–10:41 AM,0.438,-0.32,2,151.6,-64.0,False,1DTE (expiry Fri 05-09)
2025-05-15,C,NVDA250516C00135000,135.0,REAL,9:39–9:44 AM,1.142,10:36–10:41 AM,0.8,-0.342,1,114.2,-34.2,False,1DTE (expiry Fri 05-16)
2025-05-22,C,NVDA250523C00135000,135.0,REAL,9:39–9:44 AM,0.706,10:36–10:41 AM,0.842,0.136,2,141.2,27.2,True,1DTE (expiry Fri 05-23)
2025-05-29,C,NVDA250530C00140000,140.0,REAL,9:39–9:44 AM,3.89,10:36–10:41 AM,2.278,-1.612,1,389.0,-161.2,False,1DTE (expiry Fri 05-30)
2025-06-05,C,NVDA250606C00145000,145.0,REAL,9:39–9:44 AM,0.474,10:36–10:41 AM,0.352,-0.122,3,142.2,-36.6,False,1DTE (expiry Fri 06-06)
2025-06-12,C,NVDA250613C00145000,145.0,REAL,9:39–9:44 AM,0.788,10:36–10:41 AM,0.996,0.208,2,157.6,41.6,True,1DTE (expiry Fri 06-13)
2025-06-19,C,,0.0,MISS,9:39–9:44 AM,,10:36–10:41 AM,,,,,,,missing data (entry-day market holiday)
2025-06-26,C,NVDA250627C00155000,155.0,REAL,9:39–9:44 AM,1.262,10:36–10:41 AM,2.128,0.866,1,126.2,86.6,True,1DTE (expiry Fri 06-27)
2025-07-03,C,NVDA250703C00160000,160.0,REAL,9:39–9:44 AM,0.12,10:36–10:41 AM,0.846,0.726,9,108.0,653.4,True,1DTE (same-day expiry)
2025-07-10,C,NVDA250711C00165000,165.0,REAL,9:39–9:44 AM,0.752,10:36–10:41 AM,0.394,-0.358,2,150.4,-71.6,False,1DTE (expiry Fri 07-11)
2025-07-17,C,NVDA250718C00170000,170.0,REAL,9:39–9:44 AM,2.492,10:36–10:41 AM,3.464,0.972,1,249.2,97.2,True,1DTE (expiry Fri 07-18)
2025-07-24,C,NVDA250725C00175000,175.0,REAL,9:39–9:44 AM,0.71,10:36–10:41 AM,0.426,-0.284,2,142.0,-56.8,False,1DTE (expiry Fri 07-25)
2025-07-31,C,NVDA250801C00185000,185.0,REAL,9:39–9:44 AM,0.59,10:36–10:41 AM,0.422,-0.168,2,118.0,-33.6,False,1DTE (expiry Fri 08-01)
2025-08-07,C,NVDA250808C00180000,180.0,REAL,9:39–9:44 AM,3.924,10:36–10:41 AM,3.36,-0.564,1,392.4,-56.4,False,1DTE (expiry Fri 08-08)
2025-08-14,C,NVDA250815C00180000,180.0,REAL,9:39–9:44 AM,2.63,10:36–10:41 AM,3.264,0.634,1,263.0,63.4,True,1DTE (expiry Fri 08-15)
2025-08-21,C,NVDA250822C00175000,175.0,REAL,9:39–9:44 AM,2.842,10:36–10:41 AM,2.198,-0.644,1,284.2,-64.4,False,1DTE (expiry Fri 08-22)
2025-08-28,C,NVDA250829C00185000,185.0,REAL,9:39–9:44 AM,1.024,10:36–10:41 AM,0.384,-0.64,1,102.4,-64.0,False,1DTE (expiry Fri 08-29)
2025-09-04,C,NVDA250905C00170000,170.0,REAL,9:39–9:44 AM,2.024,10:36–10:41 AM,2.352,0.328,1,202.4,32.8,True,1DTE (expiry Fri 09-05)
2025-09-11,C,NVDA250912C00180000,180.0,REAL,9:39–9:44 AM,0.772,10:36–10:41 AM,0.552,-0.22,2,154.4,-44.0,False,1DTE (expiry Fri 09-12)
2025-09-18,C,NVDA250919C00175000,175.0,REAL,9:39–9:44 AM,1.264,10:36–10:41 AM,2.0,0.736,1,126.4,73.6,True,1DTE (expiry Fri 09-19)
2025-09-25,C,NVDA250926C00175000,175.0,REAL,9:39–9:44 AM,1.36,10:36–10:41 AM,3.072,1.712,1,136.0,171.2,True,1DTE (expiry Fri 09-26)
2025-10-02,C,NVDA251003C00190000,190.0,REAL,9:39–9:44 AM,1.448,10:36–10:41 AM,1.638,0.19,1,144.8,19.0,True,1DTE (expiry Fri 10-03)
2025-10-09,C,NVDA251010C00195000,195.0,REAL,9:39–9:44 AM,0.872,10:36–10:41 AM,1.09,0.218,2,174.4,43.6,True,1DTE (expiry Fri 10-10)
2025-10-16,C,NVDA251017C00180000,180.0,REAL,9:39–9:44 AM,3.414,10:36–10:41 AM,4.02,0.606,1,341.4,60.6,True,1DTE (expiry Fri 10-17)
2025-10-23,C,NVDA251024C00180000,180.0,REAL,9:39–9:44 AM,2.064,10:36–10:41 AM,2.896,0.832,1,206.4,83.2,True,1DTE (expiry Fri 10-24)
2025-10-30,C,NVDA251031C00205000,205.0,REAL,9:39–9:44 AM,1.768,10:36–10:41 AM,1.642,-0.126,1,176.8,-12.6,False,1DTE (expiry Fri 10-31)
2025-11-06,C,NVDA251107C00195000,195.0,REAL,9:39–9:44 AM,3.012,10:36–10:41 AM,0.818,-2.194,1,301.2,-219.4,False,1DTE (expiry Fri 11-07)
2025-11-13,C,NVDA251114C00190000,190.0,REAL,9:39–9:44 AM,1.55,10:36–10:41 AM,1.242,-0.308,1,155.0,-30.8,False,1DTE (expiry Fri 11-14)
2025-11-20,C,NVDA251121C00195000,195.0,REAL,9:39–9:44 AM,2.522,10:36–10:41 AM,2.306,-0.216,1,252.2,-21.6,False,1DTE (expiry Fri 11-21)
2025-11-27,C,,0.0,MISS,9:39–9:44 AM,,10:36–10:41 AM,,,,,,,missing data (entry-day market holiday)
2025-12-04,C,NVDA251205C00180000,180.0,REAL,9:39–9:44 AM,3.628,10:36–10:41 AM,3.308,-0.32,1,362.8,-32.0,False,1DTE (expiry Fri 12-05)
2025-12-11,C,NVDA251212C00180000,180.0,REAL,9:39–9:44 AM,1.488,10:36–10:41 AM,1.052,-0.436,1,148.8,-43.6,False,1DTE (expiry Fri 12-12)
2025-12-18,C,NVDA251219C00175000,175.0,REAL,9:39–9:44 AM,0.8,10:36–10:41 AM,2.176,1.376,2,160.0,275.2,True,1DTE (expiry Fri 12-19)
2025-12-25,C,,0.0,MISS,9:39–9:44 AM,,10:36–10:41 AM,,,,,,,missing data (entry-day market holiday)
2026-01-01,C,,0.0,MISS,9:39–9:44 AM,,10:36–10:41 AM,,,,,,,missing data (entry-day market holiday)
2026-01-08,C,NVDA260109C00190000,190.0,REAL,9:39–9:44 AM,0.842,10:36–10:41 AM,0.406,-0.436,2,168.4,-87.2,False,1DTE (expiry Fri 01-09)
