"# Backtest method: Thursday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (PUTs)"
"# Thursday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:24:34  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 9:30–9:35 AM  |  Optimal exit frame = 3:43–3:49 PM

DETAIL — one row per session (ATM put at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-18,P,NVDA240719P00120000,120.0,REAL,9:30–9:35 AM,1.292,3:43–3:49 PM,1.31,0.018,1,129.2,1.8,True,1DTE (expiry Fri 07-19)
2024-07-25,P,NVDA240726P00115000,115.0,REAL,9:30–9:35 AM,3.604,3:43–3:49 PM,2.3983,-1.2057,1,360.4,-120.57,False,1DTE (expiry Fri 07-26)
2024-08-01,P,NVDA240802P00115000,115.0,REAL,9:30–9:35 AM,1.136,3:43–3:49 PM,7.274,6.138,1,113.6,613.8,True,1DTE (expiry Fri 08-02)
2024-08-08,P,NVDA240809P00100000,100.0,REAL,9:30–9:35 AM,1.726,3:43–3:49 PM,0.425,-1.301,1,172.6,-130.1,False,1DTE (expiry Fri 08-09)
2024-08-15,P,NVDA240816P00120000,120.0,REAL,9:30–9:35 AM,2.89,3:43–3:49 PM,0.4933,-2.3967,1,289.0,-239.67,False,1DTE (expiry Fri 08-16)
2024-08-22,P,NVDA240823P00130000,130.0,REAL,9:30–9:35 AM,1.782,3:43–3:49 PM,6.6917,4.9097,1,178.2,490.97,True,1DTE (expiry Fri 08-23)
2024-08-29,P,NVDA240830P00120000,120.0,REAL,9:30–9:35 AM,1.842,3:43–3:49 PM,2.3733,0.5313,1,184.2,53.13,True,1DTE (expiry Fri 08-30)
2024-09-05,P,NVDA240906P00105000,105.0,REAL,9:30–9:35 AM,1.736,3:43–3:49 PM,1.0883,-0.6477,1,173.6,-64.77,False,1DTE (expiry Fri 09-06)
2024-09-12,P,NVDA240913P00115000,115.0,REAL,9:30–9:35 AM,1.24,3:43–3:49 PM,0.2167,-1.0233,1,124.0,-102.33,False,1DTE (expiry Fri 09-13)
2024-09-19,P,NVDA240920P00120000,120.0,REAL,9:30–9:35 AM,3.036,3:43–3:49 PM,2.095,-0.941,1,303.6,-94.1,False,1DTE (expiry Fri 09-20)
