"# Backtest method: Thursday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (CALLs)"
"# Thursday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:24:55  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 9:40–9:45 AM  |  Optimal exit frame = 10:56–11:21 AM

DETAIL — one row per session (ATM call at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-18,C,ORCL240719C00140000,140.0,REAL,9:40–9:45 AM,,10:56–11:21 AM,,,,,,,no usable price in entry/exit frame
2024-07-25,C,ORCL240726C00140000,140.0,REAL,9:40–9:45 AM,1.2267,10:56–11:21 AM,0.954,-0.2727,1,122.67,-27.27,False,1DTE (expiry Fri 07-26)
2024-08-01,C,ORCL240802C00140000,140.0,REAL,9:40–9:45 AM,,10:56–11:21 AM,,,,,,,no usable price in entry/exit frame
2024-08-08,C,ORCL240809C00130000,130.0,REAL,9:40–9:45 AM,0.55,10:56–11:21 AM,0.63,0.08,2,110.0,16.0,True,1DTE (expiry Fri 08-09)
2024-08-15,C,ORCL240816C00135000,135.0,REAL,9:40–9:45 AM,1.84,10:56–11:21 AM,1.515,-0.325,1,184.0,-32.5,False,1DTE (expiry Fri 08-16)
2024-08-22,C,ORCL240823C00140000,140.0,REAL,9:40–9:45 AM,1.45,10:56–11:21 AM,1.05,-0.4,1,145.0,-40.0,False,1DTE (expiry Fri 08-23)
2024-08-29,C,ORCL240830C00140000,140.0,REAL,9:40–9:45 AM,0.865,10:56–11:21 AM,1.4067,0.5417,2,173.0,108.33,True,1DTE (expiry Fri 08-30)
2024-09-05,C,ORCL240906C00140000,140.0,REAL,9:40–9:45 AM,1.61,10:56–11:21 AM,2.49,0.88,1,161.0,88.0,True,1DTE (expiry Fri 09-06)
2024-09-12,C,ORCL240913C00160000,160.0,REAL,9:40–9:45 AM,2.772,10:56–11:21 AM,2.1206,-0.6514,1,277.2,-65.14,False,1DTE (expiry Fri 09-13)
2024-09-19,C,ORCL240920C00165000,165.0,REAL,9:40–9:45 AM,1.7375,10:56–11:21 AM,2.0421,0.3046,1,173.75,30.46,True,1DTE (expiry Fri 09-20)
2024-09-26,C,ORCL240927C00165000,165.0,REAL,9:40–9:45 AM,,10:56–11:21 AM,,,,,,,no usable price in entry/exit frame
