"# Backtest method: Thursday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (PUTs)"
"# Thursday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:25:00  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 12:10–12:15 PM  |  Optimal exit frame = 2:14–2:21 PM

DETAIL — one row per session (ATM put at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-18,P,ORCL240719P00140000,140.0,REAL,12:10–12:15 PM,,2:14–2:21 PM,,,,,,,no usable price in entry/exit frame
2024-07-25,P,ORCL240726P00140000,140.0,REAL,12:10–12:15 PM,,2:14–2:21 PM,,,,,,,no usable price in entry/exit frame
2024-08-01,P,ORCL240802P00140000,140.0,REAL,12:10–12:15 PM,,2:14–2:21 PM,,,,,,,no usable price in entry/exit frame
2024-08-08,P,ORCL240809P00130000,130.0,REAL,12:10–12:15 PM,,2:14–2:21 PM,,,,,,,no usable price in entry/exit frame
2024-08-15,P,ORCL240816P00135000,135.0,REAL,12:10–12:15 PM,,2:14–2:21 PM,,,,,,,no usable price in entry/exit frame
2024-08-22,P,ORCL240823P00140000,140.0,REAL,12:10–12:15 PM,,2:14–2:21 PM,,,,,,,no usable price in entry/exit frame
2024-08-29,P,ORCL240830P00140000,140.0,REAL,12:10–12:15 PM,,2:14–2:21 PM,,,,,,,no usable price in entry/exit frame
2024-09-05,P,ORCL240906P00140000,140.0,REAL,12:10–12:15 PM,,2:14–2:21 PM,,,,,,,no usable price in entry/exit frame
2024-09-12,P,ORCL240913P00160000,160.0,REAL,12:10–12:15 PM,1.925,2:14–2:21 PM,1.254,-0.671,1,192.5,-67.1,False,1DTE (expiry Fri 09-13)
2024-09-19,P,ORCL240920P00165000,165.0,REAL,12:10–12:15 PM,0.4075,2:14–2:21 PM,0.2383,-0.1692,3,122.25,-50.75,False,1DTE (expiry Fri 09-20)
2024-09-26,P,ORCL240927P00165000,165.0,REAL,12:10–12:15 PM,,2:14–2:21 PM,,,,,,,no usable price in entry/exit frame
2024-10-03,P,ORCL241004P00165000,165.0,REAL,12:10–12:15 PM,,2:14–2:21 PM,,,,,,,no usable price in entry/exit frame
2024-10-10,P,ORCL241011P00175000,175.0,REAL,12:10–12:15 PM,0.65,2:14–2:21 PM,0.82,0.17,2,130.0,34.0,True,1DTE (expiry Fri 10-11)
2024-10-17,P,ORCL241018P00175000,175.0,REAL,12:10–12:15 PM,,2:14–2:21 PM,,,,,,,no usable price in entry/exit frame
2024-10-24,P,ORCL241025P00175000,175.0,REAL,12:10–12:15 PM,,2:14–2:21 PM,,,,,,,no usable price in entry/exit frame
2024-10-31,P,ORCL241101P00170000,170.0,REAL,12:10–12:15 PM,2.34,2:14–2:21 PM,2.74,0.4,1,234.0,40.0,True,1DTE (expiry Fri 11-01)
2024-11-07,P,ORCL241108P00180000,180.0,REAL,12:10–12:15 PM,0.2275,2:14–2:21 PM,0.14,-0.0875,5,113.75,-43.75,False,1DTE (expiry Fri 11-08)
2024-11-14,P,ORCL241115P00190000,190.0,REAL,12:10–12:15 PM,2.05,2:14–2:21 PM,2.75,0.7,1,205.0,70.0,True,1DTE (expiry Fri 11-15)
2024-11-21,P,ORCL241122P00195000,195.0,REAL,12:10–12:15 PM,,2:14–2:21 PM,,,,,,,no usable price in entry/exit frame
2024-11-28,P,,0.0,MISS,12:10–12:15 PM,,2:14–2:21 PM,,,,,,,missing data (entry-day market holiday)
2024-12-05,P,ORCL241206P00190000,190.0,REAL,12:10–12:15 PM,,2:14–2:21 PM,,,,,,,no usable price in entry/exit frame
2024-12-12,P,ORCL241213P00175000,175.0,REAL,12:10–12:15 PM,0.48,2:14–2:21 PM,0.93,0.45,3,144.0,135.0,True,1DTE (expiry Fri 12-13)
