"# Backtest method: Thursday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (CALLs)"
"# Thursday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:24:38  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 12:31–12:36 PM  |  Optimal exit frame = 1:00–1:15 PM

DETAIL — one row per session (ATM call at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-18,C,TSLA240719C00252500,252.5,REAL,12:31–12:36 PM,5.044,1:00–1:15 PM,5.9829,0.9389,1,504.4,93.89,True,1DTE (expiry Fri 07-19)
2024-07-25,C,TSLA240726C00220000,220.0,REAL,12:31–12:36 PM,6.14,1:00–1:15 PM,6.4913,0.3513,1,614.0,35.13,True,1DTE (expiry Fri 07-26)
2024-08-01,C,TSLA240802C00227500,227.5,REAL,12:31–12:36 PM,1.19,1:00–1:15 PM,0.9393,-0.2507,1,119.0,-25.07,False,1DTE (expiry Fri 08-02)
2024-08-08,C,TSLA240809C00195000,195.0,REAL,12:31–12:36 PM,4.0675,1:00–1:15 PM,4.7592,0.6917,1,406.75,69.17,True,1DTE (expiry Fri 08-09)
2024-08-15,C,TSLA240816C00207500,207.5,REAL,12:31–12:36 PM,7.255,1:00–1:15 PM,6.802,-0.453,1,725.5,-45.3,False,1DTE (expiry Fri 08-16)
2024-08-22,C,TSLA240823C00225000,225.0,REAL,12:31–12:36 PM,0.644,1:00–1:15 PM,0.536,-0.108,2,128.8,-21.6,False,1DTE (expiry Fri 08-23)
2024-08-29,C,TSLA240830C00210000,210.0,REAL,12:31–12:36 PM,4.126,1:00–1:15 PM,3.648,-0.478,1,412.6,-47.8,False,1DTE (expiry Fri 08-30)
2024-09-05,C,TSLA240906C00222500,222.5,REAL,12:31–12:36 PM,8.526,1:00–1:15 PM,7.3667,-1.1593,1,852.6,-115.93,False,1DTE (expiry Fri 09-06)
2024-09-12,C,TSLA240913C00225000,225.0,REAL,12:31–12:36 PM,5.27,1:00–1:15 PM,5.8421,0.5721,1,527.0,57.21,True,1DTE (expiry Fri 09-13)
2024-09-19,C,TSLA240920C00232500,232.5,REAL,12:31–12:36 PM,10.8125,1:00–1:15 PM,11.0273,0.2148,1,1081.25,21.48,True,1DTE (expiry Fri 09-20)
2024-09-26,C,TSLA240927C00260000,260.0,REAL,12:31–12:36 PM,1.128,1:00–1:15 PM,0.8847,-0.2433,1,112.8,-24.33,False,1DTE (expiry Fri 09-27)
2024-10-03,C,TSLA241004C00245000,245.0,REAL,12:31–12:36 PM,2.338,1:00–1:15 PM,1.6513,-0.6867,1,233.8,-68.67,False,1DTE (expiry Fri 10-04)
2024-10-10,C,TSLA241011C00240000,240.0,REAL,12:31–12:36 PM,7.926,1:00–1:15 PM,8.6533,0.7273,1,792.6,72.73,True,1DTE (expiry Fri 10-11)
2024-10-17,C,TSLA241018C00220000,220.0,REAL,12:31–12:36 PM,1.876,1:00–1:15 PM,2.1713,0.2953,1,187.6,29.53,True,1DTE (expiry Fri 10-18)
2024-10-24,C,TSLA241025C00242500,242.5,REAL,12:31–12:36 PM,12.9833,1:00–1:15 PM,15.1246,2.1413,1,1298.33,214.13,True,1DTE (expiry Fri 10-25)
2024-10-31,C,TSLA241101C00260000,260.0,REAL,12:31–12:36 PM,0.838,1:00–1:15 PM,0.7827,-0.0553,2,167.6,-11.07,False,1DTE (expiry Fri 11-01)
2024-11-07,C,TSLA241108C00287500,287.5,REAL,12:31–12:36 PM,12.326,1:00–1:15 PM,11.1,-1.226,1,1232.6,-122.6,False,1DTE (expiry Fri 11-08)
2024-11-14,C,TSLA241115C00325000,325.0,REAL,12:31–12:36 PM,3.214,1:00–1:15 PM,3.2407,0.0267,1,321.4,2.67,True,1DTE (expiry Fri 11-15)
2024-11-21,C,TSLA241122C00345000,345.0,REAL,12:31–12:36 PM,4.632,1:00–1:15 PM,4.5007,-0.1313,1,463.2,-13.13,False,1DTE (expiry Fri 11-22)
2024-11-28,C,,0.0,MISS,12:31–12:36 PM,,1:00–1:15 PM,,,,,,,missing data (entry-day market holiday)
2024-12-05,C,TSLA241206C00365000,365.0,REAL,12:31–12:36 PM,8.672,1:00–1:15 PM,9.608,0.936,1,867.2,93.6,True,1DTE (expiry Fri 12-06)
2024-12-12,C,TSLA241213C00425000,425.0,REAL,12:31–12:36 PM,4.828,1:00–1:15 PM,4.9087,0.0807,1,482.8,8.07,True,1DTE (expiry Fri 12-13)
2024-12-19,C,TSLA241220C00452500,452.5,REAL,12:31–12:36 PM,1.636,1:00–1:15 PM,2.21,0.574,1,163.6,57.4,True,1DTE (expiry Fri 12-20)
2024-12-26,C,TSLA241227C00462500,462.5,REAL,12:31–12:36 PM,4.43,1:00–1:15 PM,4.1773,-0.2527,1,443.0,-25.27,False,1DTE (expiry Fri 12-27)
2025-01-02,C,TSLA250103C00390000,390.0,REAL,12:31–12:36 PM,2.444,1:00–1:15 PM,1.782,-0.662,1,244.4,-66.2,False,1DTE (expiry Fri 01-03)
2025-01-09,C,,0.0,MISS,12:31–12:36 PM,,1:00–1:15 PM,,,,,,,missing data (no entry-day stock bars)
2025-01-16,C,TSLA250117C00420000,420.0,REAL,12:31–12:36 PM,3.394,1:00–1:15 PM,4.0227,0.6287,1,339.4,62.87,True,1DTE (expiry Fri 01-17)
2025-01-23,C,TSLA250124C00417500,417.5,REAL,12:31–12:36 PM,2.912,1:00–1:15 PM,3.2129,0.3009,1,291.2,30.09,True,1DTE (expiry Fri 01-24)
2025-01-30,C,TSLA250131C00410000,410.0,REAL,12:31–12:36 PM,2.746,1:00–1:15 PM,5.896,3.15,1,274.6,315.0,True,1DTE (expiry Fri 01-31)
2025-02-06,C,TSLA250207C00375000,375.0,REAL,12:31–12:36 PM,2.93,1:00–1:15 PM,2.81,-0.12,1,293.0,-12.0,False,1DTE (expiry Fri 02-07)
2025-02-13,C,TSLA250214C00345000,345.0,REAL,12:31–12:36 PM,7.738,1:00–1:15 PM,8.7093,0.9713,1,773.8,97.13,True,1DTE (expiry Fri 02-14)
2025-02-20,C,TSLA250221C00360000,360.0,REAL,12:31–12:36 PM,2.01,1:00–1:15 PM,1.606,-0.404,1,201.0,-40.4,False,1DTE (expiry Fri 02-21)
2025-02-27,C,TSLA250228C00292500,292.5,REAL,12:31–12:36 PM,3.024,1:00–1:15 PM,4.328,1.304,1,302.4,130.4,True,1DTE (expiry Fri 02-28)
2025-03-06,C,TSLA250307C00270000,270.0,REAL,12:31–12:36 PM,3.734,1:00–1:15 PM,3.4793,-0.2547,1,373.4,-25.47,False,1DTE (expiry Fri 03-07)
2025-03-13,C,TSLA250314C00245000,245.0,REAL,12:31–12:36 PM,2.468,1:00–1:15 PM,2.3214,-0.1466,1,246.8,-14.66,False,1DTE (expiry Fri 03-14)
2025-03-20,C,TSLA250321C00232500,232.5,REAL,12:31–12:36 PM,4.39,1:00–1:15 PM,5.5907,1.2007,1,439.0,120.07,True,1DTE (expiry Fri 03-21)
2025-03-27,C,TSLA250328C00275000,275.0,REAL,12:31–12:36 PM,8.78,1:00–1:15 PM,7.6,-1.18,1,878.0,-118.0,False,1DTE (expiry Fri 03-28)
2025-04-03,C,TSLA250404C00267500,267.5,REAL,12:31–12:36 PM,6.964,1:00–1:15 PM,7.6193,0.6553,1,696.4,65.53,True,1DTE (expiry Fri 04-04)
2025-04-10,C,TSLA250411C00260000,260.0,REAL,12:31–12:36 PM,2.352,1:00–1:15 PM,2.5287,0.1767,1,235.2,17.67,True,1DTE (expiry Fri 04-11)
2025-04-17,C,TSLA250417C00242500,242.5,REAL,12:31–12:36 PM,1.548,1:00–1:15 PM,0.996,-0.552,1,154.8,-55.2,False,1DTE (same-day expiry)
2025-04-24,C,TSLA250425C00250000,250.0,REAL,12:31–12:36 PM,7.8667,1:00–1:15 PM,7.8673,0.0007,1,786.67,0.07,True,1DTE (expiry Fri 04-25)
