"# Backtest method: Thursday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (PUTs)"
"# Thursday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:24:42  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 9:31–9:36 AM  |  Optimal exit frame = 3:15–3:25 PM

DETAIL — one row per session (ATM put at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-18,P,TSLA240719P00252500,252.5,REAL,9:31–9:36 AM,5.338,3:15–3:25 PM,5.972,0.634,1,533.8,63.4,True,1DTE (expiry Fri 07-19)
2024-07-25,P,TSLA240726P00220000,220.0,REAL,9:31–9:36 AM,3.966,3:15–3:25 PM,1.432,-2.534,1,396.6,-253.4,False,1DTE (expiry Fri 07-26)
2024-08-01,P,TSLA240802P00227500,227.5,REAL,9:31–9:36 AM,3.05,3:15–3:25 PM,11.618,8.568,1,305.0,856.8,True,1DTE (expiry Fri 08-02)
2024-08-08,P,TSLA240809P00195000,195.0,REAL,9:31–9:36 AM,3.634,3:15–3:25 PM,1.264,-2.37,1,363.4,-237.0,False,1DTE (expiry Fri 08-09)
2024-08-15,P,TSLA240816P00207500,207.5,REAL,9:31–9:36 AM,2.458,3:15–3:25 PM,0.506,-1.952,1,245.8,-195.2,False,1DTE (expiry Fri 08-16)
2024-08-22,P,TSLA240823P00225000,225.0,REAL,9:31–9:36 AM,5.174,3:15–3:25 PM,11.7056,6.5316,1,517.4,653.16,True,1DTE (expiry Fri 08-23)
2024-08-29,P,TSLA240830P00210000,210.0,REAL,9:31–9:36 AM,2.326,3:15–3:25 PM,4.137,1.811,1,232.6,181.1,True,1DTE (expiry Fri 08-30)
2024-09-05,P,TSLA240906P00222500,222.5,REAL,9:31–9:36 AM,2.982,3:15–3:25 PM,1.032,-1.95,1,298.2,-195.0,False,1DTE (expiry Fri 09-06)
2024-09-12,P,TSLA240913P00225000,225.0,REAL,9:31–9:36 AM,2.342,3:15–3:25 PM,0.974,-1.368,1,234.2,-136.8,False,1DTE (expiry Fri 09-13)
2024-09-19,P,TSLA240920P00232500,232.5,REAL,9:31–9:36 AM,3.408,3:15–3:25 PM,0.514,-2.894,1,340.8,-289.4,False,1DTE (expiry Fri 09-20)
2024-09-26,P,TSLA240927P00260000,260.0,REAL,9:31–9:36 AM,3.356,3:15–3:25 PM,7.154,3.798,1,335.6,379.8,True,1DTE (expiry Fri 09-27)
2024-10-03,P,TSLA241004P00245000,245.0,REAL,9:31–9:36 AM,2.53,3:15–3:25 PM,6.964,4.434,1,253.0,443.4,True,1DTE (expiry Fri 10-04)
2024-10-10,P,TSLA241011P00240000,240.0,REAL,9:31–9:36 AM,7.332,3:15–3:25 PM,7.062,-0.27,1,733.2,-27.0,False,1DTE (expiry Fri 10-11)
2024-10-17,P,TSLA241018P00220000,220.0,REAL,9:31–9:36 AM,3.118,3:15–3:25 PM,1.852,-1.266,1,311.8,-126.6,False,1DTE (expiry Fri 10-18)
2024-10-24,P,TSLA241025P00242500,242.5,REAL,9:31–9:36 AM,3.084,3:15–3:25 PM,0.396,-2.688,1,308.4,-268.8,False,1DTE (expiry Fri 10-25)
2024-10-31,P,TSLA241101P00260000,260.0,REAL,9:31–9:36 AM,5.386,3:15–3:25 PM,9.5813,4.1953,1,538.6,419.53,True,1DTE (expiry Fri 11-01)
2024-11-07,P,TSLA241108P00287500,287.5,REAL,9:31–9:36 AM,5.398,3:15–3:25 PM,0.62,-4.778,1,539.8,-477.8,False,1DTE (expiry Fri 11-08)
2024-11-14,P,TSLA241115P00325000,325.0,REAL,9:31–9:36 AM,6.352,3:15–3:25 PM,13.3222,6.9702,1,635.2,697.02,True,1DTE (expiry Fri 11-15)
2024-11-21,P,TSLA241122P00345000,345.0,REAL,9:31–9:36 AM,5.884,3:15–3:25 PM,7.218,1.334,1,588.4,133.4,True,1DTE (expiry Fri 11-22)
2024-11-28,P,,0.0,MISS,9:31–9:36 AM,,3:15–3:25 PM,,,,,,,missing data (entry-day market holiday)
2024-12-05,P,TSLA241206P00365000,365.0,REAL,9:31–9:36 AM,5.262,3:15–3:25 PM,1.933,-3.329,1,526.2,-332.9,False,1DTE (expiry Fri 12-06)
2024-12-12,P,TSLA241213P00425000,425.0,REAL,9:31–9:36 AM,8.3625,3:15–3:25 PM,11.204,2.8415,1,836.25,284.15,True,1DTE (expiry Fri 12-13)
2024-12-19,P,TSLA241220P00452500,452.5,REAL,9:31–9:36 AM,12.024,3:15–3:25 PM,18.0733,6.0493,1,1202.4,604.93,True,1DTE (expiry Fri 12-20)
2024-12-26,P,TSLA241227P00462500,462.5,REAL,9:31–9:36 AM,11.102,3:15–3:25 PM,10.1529,-0.9491,1,1110.2,-94.91,False,1DTE (expiry Fri 12-27)
2025-01-02,P,TSLA250103P00390000,390.0,REAL,9:31–9:36 AM,12.538,3:15–3:25 PM,12.802,0.264,1,1253.8,26.4,True,1DTE (expiry Fri 01-03)
2025-01-09,P,,0.0,MISS,9:31–9:36 AM,,3:15–3:25 PM,,,,,,,missing data (no entry-day stock bars)
2025-01-16,P,TSLA250117P00420000,420.0,REAL,9:31–9:36 AM,7.43,3:15–3:25 PM,9.579,2.149,1,743.0,214.9,True,1DTE (expiry Fri 01-17)
2025-01-23,P,TSLA250124P00417500,417.5,REAL,9:31–9:36 AM,6.57,3:15–3:25 PM,9.3456,2.7756,1,657.0,277.56,True,1DTE (expiry Fri 01-24)
2025-01-30,P,TSLA250131P00410000,410.0,REAL,9:31–9:36 AM,11.014,3:15–3:25 PM,8.599,-2.415,1,1101.4,-241.5,False,1DTE (expiry Fri 01-31)
2025-02-06,P,TSLA250207P00375000,375.0,REAL,9:31–9:36 AM,7.92,3:15–3:25 PM,8.1289,0.2089,1,792.0,20.89,True,1DTE (expiry Fri 02-07)
2025-02-13,P,TSLA250214P00345000,345.0,REAL,9:31–9:36 AM,4.838,3:15–3:25 PM,1.656,-3.182,1,483.8,-318.2,False,1DTE (expiry Fri 02-14)
2025-02-20,P,TSLA250221P00360000,360.0,REAL,9:31–9:36 AM,6.182,3:15–3:25 PM,7.783,1.601,1,618.2,160.1,True,1DTE (expiry Fri 02-21)
2025-02-27,P,TSLA250228P00292500,292.5,REAL,9:31–9:36 AM,5.056,3:15–3:25 PM,12.215,7.159,1,505.6,715.9,True,1DTE (expiry Fri 02-28)
2025-03-06,P,TSLA250307P00270000,270.0,REAL,9:31–9:36 AM,8.608,3:15–3:25 PM,10.536,1.928,1,860.8,192.8,True,1DTE (expiry Fri 03-07)
2025-03-13,P,TSLA250314P00245000,245.0,REAL,9:31–9:36 AM,6.798,3:15–3:25 PM,7.023,0.225,1,679.8,22.5,True,1DTE (expiry Fri 03-14)
2025-03-20,P,TSLA250321P00232500,232.5,REAL,9:31–9:36 AM,4.604,3:15–3:25 PM,3.074,-1.53,1,460.4,-153.0,False,1DTE (expiry Fri 03-21)
2025-03-27,P,TSLA250328P00275000,275.0,REAL,9:31–9:36 AM,6.094,3:15–3:25 PM,3.552,-2.542,1,609.4,-254.2,False,1DTE (expiry Fri 03-28)
2025-04-03,P,TSLA250404P00267500,267.5,REAL,9:31–9:36 AM,5.592,3:15–3:25 PM,6.083,0.491,1,559.2,49.1,True,1DTE (expiry Fri 04-04)
2025-04-10,P,TSLA250411P00260000,260.0,REAL,9:31–9:36 AM,8.15,3:15–3:25 PM,12.1433,3.9933,1,815.0,399.33,True,1DTE (expiry Fri 04-11)
2025-04-17,P,TSLA250417P00242500,242.5,REAL,9:31–9:36 AM,3.894,3:15–3:25 PM,3.056,-0.838,1,389.4,-83.8,False,1DTE (same-day expiry)
2025-04-24,P,TSLA250425P00250000,250.0,REAL,9:31–9:36 AM,4.418,3:15–3:25 PM,2.138,-2.28,1,441.8,-228.0,False,1DTE (expiry Fri 04-25)
2025-05-01,P,TSLA250502P00282500,282.5,REAL,9:31–9:36 AM,5.536,3:15–3:25 PM,4.488,-1.048,1,553.6,-104.8,False,1DTE (expiry Fri 05-02)
2025-05-08,P,TSLA250509P00282500,282.5,REAL,9:31–9:36 AM,4.276,3:15–3:25 PM,2.02,-2.256,1,427.6,-225.6,False,1DTE (expiry Fri 05-09)
2025-05-15,P,TSLA250516P00337500,337.5,REAL,9:31–9:36 AM,5.226,3:15–3:25 PM,3.343,-1.883,1,522.6,-188.3,False,1DTE (expiry Fri 05-16)
2025-05-22,P,TSLA250523P00332500,332.5,REAL,9:31–9:36 AM,5.738,3:15–3:25 PM,0.8178,-4.9202,1,573.8,-492.02,False,1DTE (expiry Fri 05-23)
2025-05-29,P,TSLA250530P00365000,365.0,REAL,9:31–9:36 AM,6.408,3:15–3:25 PM,8.7262,2.3182,1,640.8,231.82,True,1DTE (expiry Fri 05-30)
2025-06-05,P,TSLA250606P00325000,325.0,REAL,9:31–9:36 AM,9.642,3:15–3:25 PM,48.9789,39.3369,1,964.2,3933.69,True,1DTE (expiry Fri 06-06)
2025-06-12,P,TSLA250613P00322500,322.5,REAL,9:31–9:36 AM,5.224,3:15–3:25 PM,6.398,1.174,1,522.4,117.4,True,1DTE (expiry Fri 06-13)
2025-06-19,P,,0.0,MISS,9:31–9:36 AM,,3:15–3:25 PM,,,,,,,missing data (entry-day market holiday)
2025-06-26,P,TSLA250627P00325000,325.0,REAL,9:31–9:36 AM,3.48,3:15–3:25 PM,3.552,0.072,1,348.0,7.2,True,1DTE (expiry Fri 06-27)
2025-07-03,P,TSLA250703P00317500,317.5,REAL,9:31–9:36 AM,,3:15–3:25 PM,,,,,,,no usable price in entry/exit frame
2025-07-10,P,TSLA250711P00302500,302.5,REAL,9:31–9:36 AM,3.414,3:15–3:25 PM,1.1,-2.314,1,341.4,-231.4,False,1DTE (expiry Fri 07-11)
2025-07-17,P,TSLA250718P00322500,322.5,REAL,9:31–9:36 AM,3.966,3:15–3:25 PM,5.303,1.337,1,396.6,133.7,True,1DTE (expiry Fri 07-18)
2025-07-24,P,TSLA250725P00307500,307.5,REAL,9:31–9:36 AM,7.468,3:15–3:25 PM,4.425,-3.043,1,746.8,-304.3,False,1DTE (expiry Fri 07-25)
2025-07-31,P,TSLA250801P00320000,320.0,REAL,9:31–9:36 AM,4.52,3:15–3:25 PM,10.854,6.334,1,452.0,633.4,True,1DTE (expiry Fri 08-01)
2025-08-07,P,TSLA250808P00320000,320.0,REAL,9:31–9:36 AM,3.664,3:15–3:25 PM,3.798,0.134,1,366.4,13.4,True,1DTE (expiry Fri 08-08)
2025-08-14,P,TSLA250815P00335000,335.0,REAL,9:31–9:36 AM,4.066,3:15–3:25 PM,3.653,-0.413,1,406.6,-41.3,False,1DTE (expiry Fri 08-15)
2025-08-21,P,TSLA250822P00322500,322.5,REAL,9:31–9:36 AM,4.364,3:15–3:25 PM,3.706,-0.658,1,436.4,-65.8,False,1DTE (expiry Fri 08-22)
2025-08-28,P,TSLA250829P00352500,352.5,REAL,9:31–9:36 AM,4.492,3:15–3:25 PM,7.662,3.17,1,449.2,317.0,True,1DTE (expiry Fri 08-29)
2025-09-04,P,TSLA250905P00335000,335.0,REAL,9:31–9:36 AM,3.8875,3:15–3:25 PM,2.295,-1.5925,1,388.75,-159.25,False,1DTE (expiry Fri 09-05)
2025-09-11,P,TSLA250912P00350000,350.0,REAL,9:31–9:36 AM,4.176,3:15–3:25 PM,0.269,-3.907,1,417.6,-390.7,False,1DTE (expiry Fri 09-12)
2025-09-18,P,TSLA250919P00427500,427.5,REAL,9:31–9:36 AM,6.03,3:15–3:25 PM,8.96,2.93,1,603.0,293.0,True,1DTE (expiry Fri 09-19)
2025-09-25,P,TSLA250926P00432500,432.5,REAL,9:31–9:36 AM,8.732,3:15–3:25 PM,9.519,0.787,1,873.2,78.7,True,1DTE (expiry Fri 09-26)
2025-10-02,P,TSLA251003P00470000,470.0,REAL,9:31–9:36 AM,9.304,3:15–3:25 PM,28.6,19.296,1,930.4,1929.6,True,1DTE (expiry Fri 10-03)
2025-10-09,P,TSLA251010P00430000,430.0,REAL,9:31–9:36 AM,5.46,3:15–3:25 PM,2.816,-2.644,1,546.0,-264.4,False,1DTE (expiry Fri 10-10)
2025-10-16,P,TSLA251017P00435000,435.0,REAL,9:31–9:36 AM,6.276,3:15–3:25 PM,12.013,5.737,1,627.6,573.7,True,1DTE (expiry Fri 10-17)
2025-10-23,P,TSLA251024P00420000,420.0,REAL,9:31–9:36 AM,9.182,3:15–3:25 PM,0.593,-8.589,1,918.2,-858.9,False,1DTE (expiry Fri 10-24)
2025-10-30,P,TSLA251031P00450000,450.0,REAL,9:31–9:36 AM,5.904,3:15–3:25 PM,10.094,4.19,1,590.4,419.0,True,1DTE (expiry Fri 10-31)
2025-11-06,P,TSLA251107P00457500,457.5,REAL,9:31–9:36 AM,9.054,3:15–3:25 PM,15.326,6.272,1,905.4,627.2,True,1DTE (expiry Fri 11-07)
2025-11-13,P,TSLA251114P00422500,422.5,REAL,9:31–9:36 AM,5.75,3:15–3:25 PM,21.6337,15.8837,1,575.0,1588.37,True,1DTE (expiry Fri 11-14)
2025-11-20,P,TSLA251121P00415000,415.0,REAL,9:31–9:36 AM,4.66,3:15–3:25 PM,15.3144,10.6544,1,466.0,1065.44,True,1DTE (expiry Fri 11-21)
2025-11-27,P,,0.0,MISS,9:31–9:36 AM,,3:15–3:25 PM,,,,,,,missing data (entry-day market holiday)
2025-12-04,P,TSLA251205P00450000,450.0,REAL,9:31–9:36 AM,6.922,3:15–3:25 PM,4.378,-2.544,1,692.2,-254.4,False,1DTE (expiry Fri 12-05)
2025-12-11,P,TSLA251212P00447500,447.5,REAL,9:31–9:36 AM,5.762,3:15–3:25 PM,4.804,-0.958,1,576.2,-95.8,False,1DTE (expiry Fri 12-12)
2025-12-18,P,TSLA251219P00480000,480.0,REAL,9:31–9:36 AM,8.354,3:15–3:25 PM,2.689,-5.665,1,835.4,-566.5,False,1DTE (expiry Fri 12-19)
2025-12-25,P,,0.0,MISS,9:31–9:36 AM,,3:15–3:25 PM,,,,,,,missing data (entry-day market holiday)
2026-01-01,P,,0.0,MISS,9:31–9:36 AM,,3:15–3:25 PM,,,,,,,missing data (entry-day market holiday)
2026-01-08,P,TSLA260109P00425000,425.0,REAL,9:31–9:36 AM,3.668,3:15–3:25 PM,1.058,-2.61,1,366.8,-261.0,False,1DTE (expiry Fri 01-09)
2026-01-15,P,TSLA260116P00442500,442.5,REAL,9:31–9:36 AM,4.154,3:15–3:25 PM,5.444,1.29,1,415.4,129.0,True,1DTE (expiry Fri 01-16)
2026-01-22,P,TSLA260123P00435000,435.0,REAL,9:31–9:36 AM,4.912,3:15–3:25 PM,0.623,-4.289,1,491.2,-428.9,False,1DTE (expiry Fri 01-23)
2026-01-29,P,TSLA260130P00437500,437.5,REAL,9:31–9:36 AM,9.058,3:15–3:25 PM,20.615,11.557,1,905.8,1155.7,True,1DTE (expiry Fri 01-30)
2026-02-05,P,TSLA260206P00397500,397.5,REAL,9:31–9:36 AM,7.312,3:15–3:25 PM,6.646,-0.666,1,731.2,-66.6,False,1DTE (expiry Fri 02-06)
2026-02-12,P,TSLA260213P00432500,432.5,REAL,9:31–9:36 AM,4.566,3:15–3:25 PM,17.3638,12.7978,1,456.6,1279.78,True,1DTE (expiry Fri 02-13)
2026-02-19,P,TSLA260220P00405000,405.0,REAL,9:31–9:36 AM,5.006,3:15–3:25 PM,1.918,-3.088,1,500.6,-308.8,False,1DTE (expiry Fri 02-20)
2026-02-26,P,TSLA260227P00412500,412.5,REAL,9:31–9:36 AM,4.652,3:15–3:25 PM,6.176,1.524,1,465.2,152.4,True,1DTE (expiry Fri 02-27)
2026-03-05,P,TSLA260306P00402500,402.5,REAL,9:31–9:36 AM,4.626,3:15–3:25 PM,4.018,-0.608,1,462.6,-60.8,False,1DTE (expiry Fri 03-06)
2026-03-12,P,TSLA260313P00405000,405.0,REAL,9:31–9:36 AM,5.042,3:15–3:25 PM,8.903,3.861,1,504.2,386.1,True,1DTE (expiry Fri 03-13)
2026-03-19,P,TSLA260320P00382500,382.5,REAL,9:31–9:36 AM,5.594,3:15–3:25 PM,3.374,-2.22,1,559.4,-222.0,False,1DTE (expiry Fri 03-20)
2026-03-26,P,TSLA260327P00382500,382.5,REAL,9:31–9:36 AM,5.094,3:15–3:25 PM,9.9311,4.8371,1,509.4,483.71,True,1DTE (expiry Fri 03-27)
2026-04-02,P,TSLA260402P00365000,365.0,REAL,9:31–9:36 AM,2.64,3:15–3:25 PM,5.474,2.834,1,264.0,283.4,True,1DTE (same-day expiry)
