day,date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
Monday,2026-02-16,C,,0.0,MISS,3:11–3:16 PM,,3:44–3:49 PM,,,,,,,missing data (entry-day market holiday)
Monday,2026-02-23,C,AAPL260223C00265000,265.0,REAL,3:11–3:16 PM,1.652,3:44–3:49 PM,1.668,0.016,1,165.2,1.6,True,0DTE (same-day expiry)
Monday,2026-03-02,C,AAPL260302C00260000,260.0,REAL,3:11–3:16 PM,4.74,3:44–3:49 PM,4.2,-0.54,1,474.0,-54.0,False,0DTE (same-day expiry)
Monday,2026-03-09,C,AAPL260309C00257500,257.5,REAL,3:11–3:16 PM,0.238,3:44–3:49 PM,2.544,2.306,5,119.0,1153.0,True,0DTE (same-day expiry)
Monday,2026-03-16,C,AAPL260316C00250000,250.0,REAL,3:11–3:16 PM,,3:44–3:49 PM,,,,,,,no usable price in entry/exit frame
Monday,2026-03-23,C,AAPL260323C00252500,252.5,REAL,3:11–3:16 PM,0.16,3:44–3:49 PM,0.196,0.036,7,112.0,25.2,True,0DTE (same-day expiry)
Monday,2026-03-30,C,AAPL260330C00250000,250.0,REAL,3:11–3:16 PM,0.01,3:44–3:49 PM,0.01,0.0,101,101.0,0.0,False,0DTE (same-day expiry)
Monday,2026-04-06,C,AAPL260406C00257500,257.5,REAL,3:11–3:16 PM,1.1975,3:44–3:49 PM,1.338,0.1405,1,119.75,14.05,True,0DTE (same-day expiry)
Monday,2026-04-13,C,AAPL260413C00260000,260.0,REAL,3:11–3:16 PM,0.01,3:44–3:49 PM,0.0175,0.0075,101,101.0,75.75,True,0DTE (same-day expiry)
Monday,2026-04-20,C,AAPL260420C00270000,270.0,REAL,3:11–3:16 PM,3.14,3:44–3:49 PM,2.535,-0.605,1,314.0,-60.5,False,0DTE (same-day expiry)
Monday,2026-04-27,C,AAPL260427C00267500,267.5,REAL,3:11–3:16 PM,0.102,3:44–3:49 PM,0.358,0.256,10,102.0,256.0,True,0DTE (same-day expiry)
Monday,2026-05-04,C,AAPL260504C00280000,280.0,REAL,3:11–3:16 PM,0.01,3:44–3:49 PM,0.01,0.0,101,101.0,0.0,False,0DTE (same-day expiry)
Monday,2026-05-11,C,AAPL260511C00292500,292.5,REAL,3:11–3:16 PM,0.092,3:44–3:49 PM,0.142,0.05,11,101.2,55.0,True,0DTE (same-day expiry)
Monday,2026-05-18,C,AAPL260518C00300000,300.0,REAL,3:11–3:16 PM,0.01,3:44–3:49 PM,0.01,0.0,101,101.0,0.0,False,0DTE (same-day expiry)
Monday,2026-05-25,C,,0.0,MISS,3:11–3:16 PM,,3:44–3:49 PM,,,,,,,missing data (entry-day market holiday)
Monday,2026-06-01,C,AAPL260601C00310000,310.0,REAL,3:11–3:16 PM,0.016,3:44–3:49 PM,0.01,-0.006,63,100.8,-37.8,False,0DTE (same-day expiry)
Monday,2026-06-08,C,AAPL260608C00312500,312.5,REAL,3:11–3:16 PM,0.016,3:44–3:49 PM,0.0167,0.0007,63,100.8,4.2,True,0DTE (same-day expiry)
