symbol,direction,regime,fill_mode,T_pct,rank,entry_bucket,n,hit_pct,median_min_to_target,low_sample
AAPL,call,Fri-0DTE,mid,30.0,1,09:30,3752,45.442,21.0,False
AAPL,call,Fri-0DTE,mid,30.0,2,10:00,4184,43.045,26.0,False
AAPL,call,Fri-0DTE,mid,30.0,3,10:30,3896,41.863,34.0,False
AAPL,call,Fri-0DTE,mid,30.0,4,11:00,3685,40.353,38.0,False
AAPL,call,Fri-0DTE,mid,30.0,5,11:30,3518,38.829,35.0,False
AAPL,call,Fri-0DTE,mid,30.0,6,12:00,3321,38.783,33.0,False
AAPL,call,Fri-0DTE,mid,30.0,7,12:30,3220,36.801,32.0,False
AAPL,call,Fri-0DTE,mid,30.0,8,13:00,3067,34.17,31.0,False
AAPL,call,Fri-0DTE,mid,30.0,9,13:30,2941,31.418,33.0,False
AAPL,call,Fri-0DTE,mid,30.0,10,14:00,2893,29.9,27.0,False
AAPL,call,Fri-0DTE,mid,30.0,11,14:30,2841,26.399,24.0,False
AAPL,call,Fri-0DTE,mid,30.0,12,15:00,2958,22.752,19.0,False
AAPL,call,Fri-0DTE,mid,30.0,13,15:30,652,17.485,12.5,False
AAPL,call,Fri-0DTE,mid,50.0,1,09:30,3752,33.049,32.0,False
AAPL,call,Fri-0DTE,mid,50.0,2,10:00,4184,30.688,40.0,False
AAPL,call,Fri-0DTE,mid,50.0,3,10:30,3896,29.312,56.0,False
AAPL,call,Fri-0DTE,mid,50.0,4,11:00,3685,27.897,61.5,False
AAPL,call,Fri-0DTE,mid,50.0,5,11:30,3518,27.402,50.5,False
AAPL,call,Fri-0DTE,mid,50.0,6,12:00,3321,26.107,46.0,False
AAPL,call,Fri-0DTE,mid,50.0,7,12:30,3220,24.845,45.0,False
AAPL,call,Fri-0DTE,mid,50.0,8,13:00,3067,22.269,46.0,False
AAPL,call,Fri-0DTE,mid,50.0,9,13:30,2941,21.965,44.5,False
AAPL,call,Fri-0DTE,mid,50.0,10,14:00,2893,20.878,36.0,False
AAPL,call,Fri-0DTE,mid,50.0,11,14:30,2841,17.107,27.0,False
AAPL,call,Fri-0DTE,mid,50.0,12,15:00,2958,14.469,25.0,False
AAPL,call,Fri-0DTE,mid,50.0,13,15:30,652,11.196,16.0,False
AAPL,call,Fri-0DTE,mid,75.0,1,09:30,3752,25.107,43.5,False
AAPL,call,Fri-0DTE,mid,75.0,2,10:00,4184,23.375,61.0,False
AAPL,call,Fri-0DTE,mid,75.0,3,10:30,3896,21.946,76.0,False
AAPL,call,Fri-0DTE,mid,75.0,4,11:30,3518,20.694,59.5,False
AAPL,call,Fri-0DTE,mid,75.0,5,11:00,3685,20.516,78.5,False
AAPL,call,Fri-0DTE,mid,75.0,6,12:00,3321,19.452,55.0,False
AAPL,call,Fri-0DTE,mid,75.0,7,12:30,3220,18.354,57.0,False
AAPL,call,Fri-0DTE,mid,75.0,8,13:00,3067,16.987,59.0,False
AAPL,call,Fri-0DTE,mid,75.0,9,13:30,2941,15.811,62.0,False
AAPL,call,Fri-0DTE,mid,75.0,10,14:00,2893,15.14,48.0,False
