symbol,direction,fill_mode,regime,entry_bucket,moneyness,first_date,last_date,n_sessions,T_pct,n,hit_pct,first_hit_median,first_hit_q25,first_hit_q75,last_hold_median,mfe_pct_median,mfe_min_median,mae_pct_median,low_sample
AAPL,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,100,20.0,1439,56.776,25.0,10.0,73.0,359.0,0.25,61.0,-0.25077,False
AAPL,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,100,25.0,1439,50.243,35.0,13.5,96.5,357.0,0.25,61.0,-0.25077,False
AAPL,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,100,30.0,1439,43.155,45.0,18.0,119.0,359.0,0.25,61.0,-0.25077,False
AAPL,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,100,40.0,1439,34.051,57.0,23.0,154.5,360.0,0.25,61.0,-0.25077,False
AAPL,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,100,50.0,1439,27.033,66.0,27.0,161.0,363.0,0.25,61.0,-0.25077,False
AAPL,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,100,60.0,1439,21.334,78.0,33.5,174.0,364.0,0.25,61.0,-0.25077,False
AAPL,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,100,70.0,1439,17.929,89.5,40.0,186.75,364.0,0.25,61.0,-0.25077,False
AAPL,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,100,75.0,1439,16.609,96.0,44.0,187.0,364.0,0.25,61.0,-0.25077,False
AAPL,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,100,80.0,1439,15.497,107.0,48.5,195.5,364.0,0.25,61.0,-0.25077,False
AAPL,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,100,90.0,1439,12.37,127.5,52.75,238.5,364.0,0.25,61.0,-0.25077,False
AAPL,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,100,100.0,1439,10.354,137.0,64.0,245.0,364.0,0.25,61.0,-0.25077,False
AAPL,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,100,20.0,1439,53.44,29.0,12.0,83.0,356.0,0.2205,61.0,-0.26738,False
AAPL,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,100,25.0,1439,45.935,40.0,17.0,113.0,358.0,0.2205,61.0,-0.26738,False
AAPL,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,100,30.0,1439,40.028,47.0,20.0,123.25,359.0,0.2205,61.0,-0.26738,False
AAPL,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,100,40.0,1439,31.48,64.0,26.0,161.0,362.0,0.2205,61.0,-0.26738,False
AAPL,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,100,50.0,1439,25.226,72.0,32.0,169.5,363.0,0.2205,61.0,-0.26738,False
AAPL,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,100,60.0,1439,19.944,86.0,37.0,180.0,364.0,0.2205,61.0,-0.26738,False
AAPL,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,100,70.0,1439,16.539,95.0,45.0,183.0,364.0,0.2205,61.0,-0.26738,False
