symbol,direction,fill_mode,regime,entry_bucket,moneyness,first_date,last_date,n_sessions,T_pct,n,hit_pct,first_hit_median,first_hit_q25,first_hit_q75,last_hold_median,mfe_pct_median,mfe_min_median,mae_pct_median,low_sample
AMD,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,20.0,1184,54.307,16.0,6.0,44.0,353.0,0.23475,45.0,-0.33333,False
AMD,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,25.0,1184,47.889,20.0,7.5,64.5,349.0,0.23475,45.0,-0.33333,False
AMD,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,30.0,1184,42.145,25.0,10.0,77.0,344.0,0.23475,45.0,-0.33333,False
AMD,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,40.0,1184,32.517,30.0,13.0,97.0,346.0,0.23475,45.0,-0.33333,False
AMD,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,50.0,1184,24.662,32.0,17.0,124.25,353.5,0.23475,45.0,-0.33333,False
AMD,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,60.0,1184,20.186,45.0,20.0,185.5,363.0,0.23475,45.0,-0.33333,False
AMD,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,70.0,1184,16.47,76.0,22.5,223.5,363.0,0.23475,45.0,-0.33333,False
AMD,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,75.0,1184,14.865,100.5,24.75,219.0,362.0,0.23475,45.0,-0.33333,False
AMD,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,80.0,1184,12.922,122.0,24.0,227.0,362.0,0.23475,45.0,-0.33333,False
AMD,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,90.0,1184,10.135,91.0,26.5,199.25,364.0,0.23475,45.0,-0.33333,False
AMD,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,100.0,1184,8.193,116.0,33.0,219.0,364.0,0.23475,45.0,-0.33333,False
AMD,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,20.0,1184,50.929,18.0,7.0,55.0,353.0,0.20781,45.0,-0.34854,False
AMD,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,25.0,1184,44.341,22.0,8.0,66.0,349.0,0.20781,45.0,-0.34854,False
AMD,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,30.0,1184,39.358,26.0,11.0,80.5,346.5,0.20781,45.0,-0.34854,False
AMD,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,40.0,1184,29.645,33.0,14.0,110.5,354.0,0.20781,45.0,-0.34854,False
AMD,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,50.0,1184,23.564,35.0,17.0,154.5,352.0,0.20781,45.0,-0.34854,False
AMD,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,60.0,1184,18.497,45.0,21.0,195.5,363.0,0.20781,45.0,-0.34854,False
AMD,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,70.0,1184,15.709,101.0,25.0,214.75,361.0,0.20781,45.0,-0.34854,False
AMD,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,75.0,1184,13.345,97.5,24.0,218.25,362.0,0.20781,45.0,-0.34854,False
AMD,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,80.0,1184,11.824,99.0,25.5,226.25,363.5,0.20781,45.0,-0.34854,False
AMD,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,90.0,1184,8.868,89.0,25.0,193.0,364.0,0.20781,45.0,-0.34854,False
AMD,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,100.0,1184,7.601,124.0,36.25,224.0,364.0,0.20781,45.0,-0.34854,False
AMD,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,98,20.0,1260,49.048,26.0,8.0,87.75,307.5,0.19419,66.5,-0.32624,False
AMD,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,98,25.0,1260,42.778,33.0,10.0,107.0,314.0,0.19419,66.5,-0.32624,False
AMD,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,98,30.0,1260,37.46,46.0,14.0,121.5,319.0,0.19419,66.5,-0.32624,False
AMD,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,98,40.0,1260,30.079,69.0,22.0,148.5,311.0,0.19419,66.5,-0.32624,False
AMD,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,98,50.0,1260,23.333,88.5,35.5,167.0,323.5,0.19419,66.5,-0.32624,False
AMD,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,98,60.0,1260,18.175,110.0,50.0,187.0,333.0,0.19419,66.5,-0.32624,False
AMD,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,98,70.0,1260,15.0,122.0,60.0,208.0,333.0,0.19419,66.5,-0.32624,False
AMD,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,98,75.0,1260,13.651,139.0,61.75,217.0,333.0,0.19419,66.5,-0.32624,False
AMD,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,98,80.0,1260,12.143,164.0,72.0,235.0,333.0,0.19419,66.5,-0.32624,False
AMD,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,98,90.0,1260,9.603,181.0,96.0,243.0,334.0,0.19419,66.5,-0.32624,False
AMD,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,98,100.0,1260,7.381,187.0,99.0,243.0,334.0,0.19419,66.5,-0.32624,False
AMD,call,market,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,98,20.0,1260,45.635,30.0,10.0,95.0,313.0,0.1695,66.5,-0.34332,False
AMD,call,market,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,98,25.0,1260,40.159,38.0,12.25,110.75,314.0,0.1695,66.5,-0.34332,False
AMD,call,market,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,98,30.0,1260,35.159,55.0,16.5,128.0,314.0,0.1695,66.5,-0.34332,False
AMD,call,market,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,98,40.0,1260,27.857,77.0,24.5,152.5,320.0,0.1695,66.5,-0.34332,False
AMD,call,market,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,98,50.0,1260,21.19,97.0,40.5,175.5,329.0,0.1695,66.5,-0.34332,False
AMD,call,market,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,98,60.0,1260,16.27,111.0,54.0,194.0,333.0,0.1695,66.5,-0.34332,False
