symbol,direction,fill_mode,regime,entry_bucket,moneyness,first_date,last_date,n_sessions,T_pct,n,hit_pct,first_hit_median,first_hit_q25,first_hit_q75,last_hold_median,mfe_pct_median,mfe_min_median,mae_pct_median,low_sample
MSFT,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,20.0,1179,62.171,18.0,6.0,76.0,361.0,0.31579,94.0,-0.43808,False
MSFT,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,25.0,1179,56.149,25.0,9.0,105.75,362.0,0.31579,94.0,-0.43808,False
MSFT,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,30.0,1179,51.315,35.0,11.0,122.0,363.0,0.31579,94.0,-0.43808,False
MSFT,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,40.0,1179,43.087,58.5,20.0,191.25,364.0,0.31579,94.0,-0.43808,False
MSFT,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,50.0,1179,35.963,71.5,29.0,212.25,364.0,0.31579,94.0,-0.43808,False
MSFT,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,60.0,1179,28.923,75.0,35.0,233.0,364.0,0.31579,94.0,-0.43808,False
MSFT,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,70.0,1179,25.276,82.0,41.0,245.25,364.0,0.31579,94.0,-0.43808,False
MSFT,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,75.0,1179,23.579,82.5,42.25,249.0,364.0,0.31579,94.0,-0.43808,False
MSFT,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,80.0,1179,21.374,86.0,45.5,250.5,364.0,0.31579,94.0,-0.43808,False
MSFT,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,90.0,1179,17.981,91.0,49.75,266.25,366.0,0.31579,94.0,-0.43808,False
MSFT,call,mid,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,100.0,1179,15.776,90.5,53.0,286.25,366.0,0.31579,94.0,-0.43808,False
MSFT,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,20.0,1179,58.863,21.0,7.0,85.75,361.5,0.28541,94.0,-0.45246,False
MSFT,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,25.0,1179,53.35,31.0,11.0,115.0,363.0,0.28541,94.0,-0.45246,False
MSFT,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,30.0,1179,48.261,40.0,14.0,132.0,364.0,0.28541,94.0,-0.45246,False
MSFT,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,40.0,1179,40.119,64.0,25.0,202.0,364.0,0.28541,94.0,-0.45246,False
MSFT,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,50.0,1179,33.079,74.0,30.25,215.0,364.0,0.28541,94.0,-0.45246,False
MSFT,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,60.0,1179,27.651,77.0,38.25,235.0,364.0,0.28541,94.0,-0.45246,False
MSFT,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,70.0,1179,24.258,82.0,42.0,249.0,364.0,0.28541,94.0,-0.45246,False
MSFT,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,75.0,1179,21.544,84.0,44.25,247.75,364.0,0.28541,94.0,-0.45246,False
MSFT,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,80.0,1179,20.017,88.0,48.0,256.75,364.5,0.28541,94.0,-0.45246,False
MSFT,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,90.0,1179,16.964,91.5,52.75,288.0,366.0,0.28541,94.0,-0.45246,False
MSFT,call,market,Fri-0DTE,09:30,ITM,2024-07-12,2026-07-10,98,100.0,1179,14.758,95.5,54.75,323.25,365.5,0.28541,94.0,-0.45246,False
MSFT,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,97,20.0,1198,62.104,26.5,10.0,83.25,334.0,0.33333,109.5,-0.38037,False
MSFT,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,97,25.0,1198,57.679,37.0,14.0,101.0,334.0,0.33333,109.5,-0.38037,False
MSFT,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,97,30.0,1198,52.922,43.5,18.0,116.0,334.0,0.33333,109.5,-0.38037,False
MSFT,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,97,40.0,1198,45.159,59.0,23.0,162.0,334.0,0.33333,109.5,-0.38037,False
MSFT,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,97,50.0,1198,39.065,65.0,30.0,172.25,334.0,0.33333,109.5,-0.38037,False
MSFT,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,97,60.0,1198,32.972,75.0,36.5,195.0,334.0,0.33333,109.5,-0.38037,False
MSFT,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,97,70.0,1198,27.546,93.0,37.25,217.75,335.0,0.33333,109.5,-0.38037,False
MSFT,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,97,75.0,1198,25.459,92.0,37.0,233.0,335.0,0.33333,109.5,-0.38037,False
MSFT,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,97,80.0,1198,23.79,97.0,39.0,253.0,334.0,0.33333,109.5,-0.38037,False
MSFT,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,97,90.0,1198,19.699,97.5,41.75,278.5,334.0,0.33333,109.5,-0.38037,False
MSFT,call,mid,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,97,100.0,1198,17.112,101.0,42.0,300.0,336.0,0.33333,109.5,-0.38037,False
MSFT,call,market,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,97,20.0,1198,60.017,33.0,12.5,92.5,334.0,0.30693,109.5,-0.39735,False
MSFT,call,market,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,97,25.0,1198,54.758,40.5,16.0,116.0,334.0,0.30693,109.5,-0.39735,False
MSFT,call,market,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,97,30.0,1198,50.167,49.0,20.0,127.0,334.0,0.30693,109.5,-0.39735,False
MSFT,call,market,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,97,40.0,1198,43.155,61.0,26.0,172.0,334.0,0.30693,109.5,-0.39735,False
MSFT,call,market,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,97,50.0,1198,36.728,75.5,33.0,183.0,334.0,0.30693,109.5,-0.39735,False
MSFT,call,market,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,97,60.0,1198,31.219,83.0,37.0,202.25,334.0,0.30693,109.5,-0.39735,False
MSFT,call,market,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,97,70.0,1198,26.127,92.0,37.0,228.0,335.0,0.30693,109.5,-0.39735,False
MSFT,call,market,Fri-0DTE,10:00,ITM,2024-07-12,2026-07-10,97,75.0,1198,24.04,94.5,38.0,235.75,334.5,0.30693,109.5,-0.39735,False
