symbol,direction,moneyness,fill_mode,regime,T_pct,n_test_trades,n_test_days,trades_per_day,win_rate,avg_win,avg_loss,expectancy_per_trade,expectancy_per_day,cumulative_test_pnl,unreliable_low_sample
AAPL,call,ITM,mid,Fri-0DTE,20.0,184,94,1.957,0.5435,0.2,-0.28709,-0.02237,-0.04378,-4.11563,False
AAPL,call,ITM,mid,Fri-0DTE,25.0,165,94,1.755,0.497,0.25,-0.29028,-0.02178,-0.03822,-3.59297,False
AAPL,call,ITM,mid,Fri-0DTE,30.0,147,94,1.564,0.4014,0.3,-0.26426,-0.03779,-0.05909,-5.55474,False
AAPL,call,ITM,mid,Fri-0DTE,40.0,132,94,1.404,0.3485,0.4,-0.24267,-0.01871,-0.02627,-2.46949,False
AAPL,call,ITM,mid,Fri-0DTE,50.0,125,94,1.33,0.304,0.5,-0.22182,-0.00239,-0.00317,-0.29831,False
AAPL,call,ITM,mid,Fri-0DTE,60.0,119,94,1.266,0.2521,0.6,-0.20871,-0.00483,-0.00612,-0.57502,False
AAPL,call,ITM,mid,Fri-0DTE,70.0,115,94,1.223,0.2087,0.7,-0.18156,0.00242,0.00296,0.27787,False
AAPL,call,ITM,mid,Fri-0DTE,75.0,111,94,1.181,0.1802,0.75,-0.18532,-0.01679,-0.01983,-1.86385,False
AAPL,call,ITM,mid,Fri-0DTE,80.0,111,94,1.181,0.1802,0.8,-0.18517,-0.00766,-0.00904,-0.85011,False
AAPL,call,ITM,mid,Fri-0DTE,90.0,110,94,1.17,0.1545,0.9,-0.15859,0.00501,0.00587,0.55156,False
AAPL,call,ITM,mid,Fri-0DTE,100.0,105,94,1.117,0.1238,1.0,-0.14242,-0.00098,-0.00109,-0.10255,False
AAPL,call,ITM,market,Fri-0DTE,20.0,175,94,1.862,0.5314,0.2,-0.31544,-0.04152,-0.0773,-7.26623,False
AAPL,call,ITM,market,Fri-0DTE,25.0,151,94,1.606,0.4238,0.25,-0.29661,-0.06493,-0.10431,-9.80484,False
AAPL,call,ITM,market,Fri-0DTE,30.0,146,94,1.553,0.4041,0.3,-0.29233,-0.05296,-0.08226,-7.73242,False
AAPL,call,ITM,market,Fri-0DTE,40.0,129,94,1.372,0.3333,0.4,-0.2687,-0.0458,-0.06285,-5.90788,False
AAPL,call,ITM,market,Fri-0DTE,50.0,119,94,1.266,0.2689,0.5,-0.25311,-0.05059,-0.06405,-6.02065,False
AAPL,call,ITM,market,Fri-0DTE,60.0,119,94,1.266,0.2521,0.6,-0.22019,-0.01342,-0.01698,-1.59658,False
AAPL,call,ITM,market,Fri-0DTE,70.0,112,94,1.191,0.1875,0.7,-0.21111,-0.04028,-0.04799,-4.511,False
AAPL,call,ITM,market,Fri-0DTE,75.0,114,94,1.213,0.2018,0.75,-0.22181,-0.02574,-0.03122,-2.9345,False
AAPL,call,ITM,market,Fri-0DTE,80.0,110,94,1.17,0.1636,0.8,-0.18849,-0.02674,-0.03129,-2.94121,False
AAPL,call,ITM,market,Fri-0DTE,90.0,108,94,1.149,0.1389,0.9,-0.18259,-0.03223,-0.03703,-3.48071,False
AAPL,call,ITM,market,Fri-0DTE,100.0,100,94,1.064,0.09,1.0,-0.15919,-0.05486,-0.05836,-5.48587,False
AAPL,call,ATM,mid,Fri-0DTE,20.0,246,94,2.617,0.7642,0.2,-0.74891,-0.02373,-0.06209,-5.83682,False
AAPL,call,ATM,mid,Fri-0DTE,25.0,216,94,2.298,0.7315,0.25,-0.71117,-0.00809,-0.0186,-1.74803,False
AAPL,call,ATM,mid,Fri-0DTE,30.0,199,94,2.117,0.6884,0.3,-0.68877,-0.00806,-0.01706,-1.6036,False
AAPL,call,ATM,mid,Fri-0DTE,40.0,177,94,1.883,0.6554,0.4,-0.76277,-0.00073,-0.00137,-0.12871,False
AAPL,call,ATM,mid,Fri-0DTE,50.0,161,94,1.713,0.5839,0.5,-0.70967,-0.0034,-0.00583,-0.5481,False
AAPL,call,ATM,mid,Fri-0DTE,60.0,153,94,1.628,0.5425,0.6,-0.65543,0.02562,0.0417,3.9196,False
AAPL,call,ATM,mid,Fri-0DTE,70.0,142,94,1.511,0.5352,0.7,-0.66294,0.06652,0.10049,9.44598,False
AAPL,call,ATM,mid,Fri-0DTE,75.0,144,94,1.532,0.4722,0.75,-0.58251,0.04673,0.07159,6.72907,False
AAPL,call,ATM,mid,Fri-0DTE,80.0,138,94,1.468,0.4348,0.8,-0.5326,0.04679,0.06869,6.45716,False
AAPL,call,ATM,mid,Fri-0DTE,90.0,133,94,1.415,0.406,0.9,-0.53232,0.04923,0.06965,6.54698,False
AAPL,call,ATM,mid,Fri-0DTE,100.0,132,94,1.404,0.4242,1.0,-0.56286,0.10017,0.14067,13.22293,False
AAPL,call,ATM,market,Fri-0DTE,20.0,208,94,2.213,0.6875,0.2,-0.86507,-0.13284,-0.29393,-27.62981,False
AAPL,call,ATM,market,Fri-0DTE,25.0,190,94,2.021,0.6316,0.25,-0.84206,-0.15234,-0.30792,-28.94426,False
AAPL,call,ATM,market,Fri-0DTE,30.0,178,94,1.894,0.5899,0.3,-0.84162,-0.16819,-0.31849,-29.93812,False
AAPL,call,ATM,market,Fri-0DTE,40.0,168,94,1.787,0.5774,0.4,-0.84901,-0.12786,-0.22851,-21.47966,False
AAPL,call,ATM,market,Fri-0DTE,50.0,148,94,1.574,0.5135,0.5,-0.78149,-0.12343,-0.19433,-18.26714,False
