symbol,direction,moneyness,fill_mode,regime,T_pct,n_test_trades,n_test_days,trades_per_day,win_rate,avg_win,avg_loss,expectancy_per_trade,expectancy_per_day,cumulative_test_pnl,unreliable_low_sample
AMD,call,ITM,mid,Fri-0DTE,20.0,155,92,1.685,0.4387,0.2,-0.23627,-0.04487,-0.0756,-6.95528,False
AMD,call,ITM,mid,Fri-0DTE,25.0,146,92,1.587,0.3904,0.25,-0.22955,-0.04233,-0.06717,-6.17978,False
AMD,call,ITM,mid,Fri-0DTE,30.0,144,92,1.565,0.3681,0.3,-0.22732,-0.03324,-0.05203,-4.78643,False
AMD,call,ITM,mid,Fri-0DTE,40.0,127,92,1.38,0.2913,0.4,-0.24847,-0.05954,-0.0822,-7.56213,False
AMD,call,ITM,mid,Fri-0DTE,50.0,120,92,1.304,0.225,0.5,-0.19915,-0.04184,-0.05458,-5.02093,False
AMD,call,ITM,mid,Fri-0DTE,60.0,111,92,1.207,0.1712,0.6,-0.16988,-0.0381,-0.04597,-4.22891,False
AMD,call,ITM,mid,Fri-0DTE,70.0,107,92,1.163,0.1308,0.7,-0.16527,-0.05206,-0.06055,-5.57032,False
AMD,call,ITM,mid,Fri-0DTE,75.0,104,92,1.13,0.1058,0.75,-0.14071,-0.0465,-0.05257,-4.83629,False
AMD,call,ITM,mid,Fri-0DTE,80.0,102,92,1.109,0.0882,0.8,-0.12304,-0.0416,-0.04612,-4.24287,False
AMD,call,ITM,mid,Fri-0DTE,90.0,101,92,1.098,0.0693,0.9,-0.13042,-0.05901,-0.06478,-5.95981,False
AMD,call,ITM,mid,Fri-0DTE,100.0,101,92,1.098,0.0693,1.0,-0.13822,-0.05933,-0.06514,-5.99249,False
AMD,call,ITM,market,Fri-0DTE,20.0,149,92,1.62,0.4027,0.2,-0.25337,-0.07081,-0.11468,-10.55029,False
AMD,call,ITM,market,Fri-0DTE,25.0,145,92,1.576,0.3793,0.25,-0.26131,-0.06737,-0.10617,-9.768,False
AMD,call,ITM,market,Fri-0DTE,30.0,136,92,1.478,0.3382,0.3,-0.24389,-0.05992,-0.08858,-8.14977,False
AMD,call,ITM,market,Fri-0DTE,40.0,125,92,1.359,0.272,0.4,-0.24722,-0.07118,-0.09671,-8.89708,False
AMD,call,ITM,market,Fri-0DTE,50.0,111,92,1.207,0.1712,0.5,-0.19955,-0.07981,-0.09629,-8.85836,False
AMD,call,ITM,market,Fri-0DTE,60.0,107,92,1.163,0.1495,0.6,-0.17856,-0.06214,-0.07227,-6.64926,False
AMD,call,ITM,market,Fri-0DTE,70.0,107,92,1.163,0.1308,0.7,-0.17451,-0.06009,-0.06989,-6.42986,False
AMD,call,ITM,market,Fri-0DTE,75.0,103,92,1.12,0.0971,0.75,-0.1568,-0.06876,-0.07698,-7.08215,False
AMD,call,ITM,market,Fri-0DTE,80.0,100,92,1.087,0.07,0.8,-0.14484,-0.0787,-0.08554,-7.87003,False
AMD,call,ITM,market,Fri-0DTE,90.0,100,92,1.087,0.06,0.9,-0.15745,-0.094,-0.10218,-9.40039,False
AMD,call,ITM,market,Fri-0DTE,100.0,98,92,1.065,0.051,1.0,-0.15381,-0.09494,-0.10114,-9.30448,False
AMD,call,ATM,mid,Fri-0DTE,20.0,192,92,2.087,0.6458,0.2,-0.68986,-0.11516,-0.24033,-22.11071,False
AMD,call,ATM,mid,Fri-0DTE,25.0,183,92,1.989,0.612,0.25,-0.67424,-0.10858,-0.21599,-19.87101,False
AMD,call,ATM,mid,Fri-0DTE,30.0,172,92,1.87,0.5814,0.3,-0.70235,-0.11959,-0.22357,-20.56886,False
AMD,call,ATM,mid,Fri-0DTE,40.0,154,92,1.674,0.5,0.4,-0.69905,-0.14952,-0.25029,-23.02652,False
AMD,call,ATM,mid,Fri-0DTE,50.0,141,92,1.533,0.4397,0.5,-0.63946,-0.13842,-0.21215,-19.51771,False
AMD,call,ATM,mid,Fri-0DTE,60.0,129,92,1.402,0.3721,0.6,-0.63349,-0.17452,-0.2447,-22.51258,False
AMD,call,ATM,mid,Fri-0DTE,70.0,122,92,1.326,0.3361,0.7,-0.63573,-0.18684,-0.24776,-22.79412,False
AMD,call,ATM,mid,Fri-0DTE,75.0,122,92,1.326,0.3197,0.75,-0.63178,-0.19006,-0.25204,-23.18773,False
AMD,call,ATM,mid,Fri-0DTE,80.0,118,92,1.283,0.2966,0.8,-0.56377,-0.15927,-0.20427,-18.79328,False
AMD,call,ATM,mid,Fri-0DTE,90.0,112,92,1.217,0.25,0.9,-0.53446,-0.17584,-0.21407,-19.69433,False
AMD,call,ATM,mid,Fri-0DTE,100.0,111,92,1.207,0.2342,1.0,-0.54489,-0.18302,-0.22082,-20.31533,False
AMD,call,ATM,market,Fri-0DTE,20.0,158,92,1.717,0.5063,0.2,-0.86027,-0.32342,-0.55545,-51.10096,False
AMD,call,ATM,market,Fri-0DTE,25.0,154,92,1.674,0.487,0.25,-0.8728,-0.32598,-0.54567,-50.2015,False
AMD,call,ATM,market,Fri-0DTE,30.0,147,92,1.598,0.4422,0.3,-0.84562,-0.33906,-0.54175,-49.84113,False
AMD,call,ATM,market,Fri-0DTE,40.0,140,92,1.522,0.4143,0.4,-0.78553,-0.29438,-0.44797,-41.21352,False
AMD,call,ATM,market,Fri-0DTE,50.0,129,92,1.402,0.3566,0.5,-0.80248,-0.33803,-0.47397,-43.6056,False
AMD,call,ATM,market,Fri-0DTE,60.0,125,92,1.359,0.336,0.6,-0.74575,-0.29358,-0.39889,-36.69759,False
AMD,call,ATM,market,Fri-0DTE,70.0,121,92,1.315,0.3058,0.7,-0.74927,-0.30611,-0.4026,-37.03908,False
AMD,call,ATM,market,Fri-0DTE,75.0,118,92,1.283,0.2712,0.75,-0.70839,-0.3129,-0.40132,-36.92173,False
AMD,call,ATM,market,Fri-0DTE,80.0,115,92,1.25,0.2522,0.8,-0.70853,-0.32812,-0.41015,-37.73335,False
AMD,call,ATM,market,Fri-0DTE,90.0,114,92,1.239,0.2456,0.9,-0.72148,-0.32322,-0.40052,-36.84756,False
AMD,call,ATM,market,Fri-0DTE,100.0,110,92,1.196,0.2273,1.0,-0.69594,-0.3105,-0.37125,-34.15514,False
AMD,call,OTM1,mid,Fri-0DTE,20.0,177,92,1.924,0.5311,0.2,-0.45359,-0.10649,-0.20487,-18.84832,False
AMD,call,OTM1,mid,Fri-0DTE,25.0,170,92,1.848,0.5176,0.25,-0.45601,-0.09055,-0.16731,-15.39279,False
AMD,call,OTM1,mid,Fri-0DTE,30.0,163,92,1.772,0.4908,0.3,-0.44282,-0.07825,-0.13863,-12.75419,False
AMD,call,OTM1,mid,Fri-0DTE,40.0,149,92,1.62,0.4295,0.4,-0.44706,-0.08322,-0.13478,-12.40016,False
AMD,call,OTM1,mid,Fri-0DTE,50.0,137,92,1.489,0.3796,0.5,-0.45973,-0.09545,-0.14214,-13.07669,False
AMD,call,OTM1,mid,Fri-0DTE,60.0,135,92,1.467,0.363,0.6,-0.45308,-0.07085,-0.10397,-9.56509,False
AMD,call,OTM1,mid,Fri-0DTE,70.0,126,92,1.37,0.3254,0.7,-0.47319,-0.09144,-0.12523,-11.52127,False
AMD,call,OTM1,mid,Fri-0DTE,75.0,127,92,1.38,0.3228,0.75,-0.49389,-0.09232,-0.12744,-11.72458,False
AMD,call,OTM1,mid,Fri-0DTE,80.0,127,92,1.38,0.3307,0.8,-0.45884,-0.04253,-0.05871,-5.40162,False
AMD,call,OTM1,mid,Fri-0DTE,90.0,123,92,1.337,0.3089,0.9,-0.48376,-0.05626,-0.07521,-6.91965,False
AMD,call,OTM1,mid,Fri-0DTE,100.0,123,92,1.337,0.3089,1.0,-0.48205,-0.02418,-0.03233,-2.97453,False
AMD,call,OTM1,market,Fri-0DTE,20.0,137,92,1.489,0.3869,0.2,-0.99874,-0.53499,-0.79667,-73.29394,False
AMD,call,OTM1,market,Fri-0DTE,25.0,130,92,1.413,0.3462,0.25,-0.99182,-0.56196,-0.79407,-73.0549,False
AMD,call,OTM1,market,Fri-0DTE,30.0,131,92,1.424,0.3588,0.3,-0.99172,-0.52828,-0.75223,-69.2049,False
AMD,call,OTM1,market,Fri-0DTE,40.0,127,92,1.38,0.3307,0.4,-0.99608,-0.53438,-0.73768,-67.86643,False
AMD,call,OTM1,market,Fri-0DTE,50.0,123,92,1.337,0.3008,0.5,-0.97481,-0.53117,-0.71015,-65.33388,False
AMD,call,OTM1,market,Fri-0DTE,60.0,124,92,1.348,0.3065,0.6,-0.97726,-0.4939,-0.6657,-61.24403,False
AMD,call,OTM1,market,Fri-0DTE,70.0,122,92,1.326,0.2869,0.7,-0.96264,-0.48566,-0.64402,-59.25009,False
AMD,call,OTM1,market,Fri-0DTE,75.0,119,92,1.293,0.2773,0.75,-0.96221,-0.4874,-0.63044,-58.00009,False
AMD,call,OTM1,market,Fri-0DTE,80.0,117,92,1.272,0.265,0.8,-0.96221,-0.4953,-0.62989,-57.95009,False
AMD,call,OTM1,market,Fri-0DTE,90.0,115,92,1.25,0.2522,0.9,-0.96098,-0.49169,-0.61461,-56.54403,False
AMD,call,OTM1,market,Fri-0DTE,100.0,109,92,1.185,0.211,1.0,-0.96506,-0.55042,-0.65213,-59.9955,False
AMD,call,OTM2+,mid,Fri-0DTE,20.0,126,92,1.37,0.3254,0.2,-0.18425,-0.05922,-0.0811,-7.46155,False
AMD,call,OTM2+,mid,Fri-0DTE,25.0,122,92,1.326,0.3033,0.25,-0.17573,-0.04662,-0.06182,-5.68732,False
AMD,call,OTM2+,mid,Fri-0DTE,30.0,114,92,1.239,0.2544,0.3,-0.19516,-0.0692,-0.08575,-7.88875,False
AMD,call,OTM2+,mid,Fri-0DTE,40.0,117,92,1.272,0.2735,0.4,-0.21314,-0.04544,-0.05779,-5.3165,False
AMD,call,OTM2+,mid,Fri-0DTE,50.0,109,92,1.185,0.2294,0.5,-0.24054,-0.07069,-0.08375,-7.70524,False
AMD,call,OTM2+,mid,Fri-0DTE,60.0,104,92,1.13,0.1923,0.6,-0.23824,-0.07704,-0.08709,-8.01256,False
AMD,call,OTM2+,mid,Fri-0DTE,70.0,105,92,1.141,0.2,0.7,-0.23306,-0.04645,-0.05301,-4.87727,False
AMD,call,OTM2+,mid,Fri-0DTE,75.0,102,92,1.109,0.1765,0.75,-0.23712,-0.06292,-0.06976,-6.418,False
AMD,call,OTM2+,mid,Fri-0DTE,80.0,103,92,1.12,0.1845,0.8,-0.2396,-0.04783,-0.05355,-4.92651,False
AMD,call,OTM2+,mid,Fri-0DTE,90.0,103,92,1.12,0.1748,0.9,-0.24836,-0.04768,-0.05338,-4.91089,False
AMD,call,OTM2+,mid,Fri-0DTE,100.0,101,92,1.098,0.1485,1.0,-0.27147,-0.08263,-0.09072,-8.346,False
AMD,call,OTM2+,market,Fri-0DTE,20.0,104,92,1.13,0.1923,0.2,-1.0,-0.76923,-0.86957,-80.0,False
AMD,call,OTM2+,market,Fri-0DTE,25.0,100,92,1.087,0.16,0.25,-1.0,-0.8,-0.86957,-80.0,False
AMD,call,OTM2+,market,Fri-0DTE,30.0,100,92,1.087,0.16,0.3,-1.0,-0.792,-0.86087,-79.2,False
AMD,call,OTM2+,market,Fri-0DTE,40.0,99,92,1.076,0.1515,0.4,-1.0,-0.78788,-0.84783,-78.0,False
AMD,call,OTM2+,market,Fri-0DTE,50.0,97,92,1.054,0.134,0.5,-1.0,-0.79897,-0.84239,-77.5,False
