symbol,direction,moneyness,fill_mode,regime,T_pct,n_test_trades,n_test_days,trades_per_day,win_rate,avg_win,avg_loss,expectancy_per_trade,expectancy_per_day,cumulative_test_pnl,unreliable_low_sample
GOOGL,call,ITM,mid,Fri-0DTE,20.0,162,94,1.723,0.4877,0.2,-0.21395,-0.01209,-0.02083,-1.95798,False
GOOGL,call,ITM,mid,Fri-0DTE,25.0,152,94,1.617,0.4342,0.25,-0.21637,-0.01387,-0.02243,-2.10817,False
GOOGL,call,ITM,mid,Fri-0DTE,30.0,144,94,1.532,0.3958,0.3,-0.19839,-0.00111,-0.0017,-0.16027,False
GOOGL,call,ITM,mid,Fri-0DTE,40.0,132,94,1.404,0.3258,0.4,-0.19834,-0.00343,-0.00481,-0.45236,False
GOOGL,call,ITM,mid,Fri-0DTE,50.0,123,94,1.309,0.2764,0.5,-0.19348,-0.00179,-0.00234,-0.2198,False
GOOGL,call,ITM,mid,Fri-0DTE,60.0,115,94,1.223,0.2174,0.6,-0.18474,-0.01415,-0.01731,-1.62691,False
GOOGL,call,ITM,mid,Fri-0DTE,70.0,112,94,1.191,0.1875,0.7,-0.15204,0.00772,0.0092,0.86464,False
GOOGL,call,ITM,mid,Fri-0DTE,75.0,108,94,1.149,0.1481,0.75,-0.10515,0.02154,0.02475,2.32649,False
GOOGL,call,ITM,mid,Fri-0DTE,80.0,110,94,1.17,0.1636,0.8,-0.101,0.04643,0.05434,5.10777,False
GOOGL,call,ITM,mid,Fri-0DTE,90.0,104,94,1.106,0.1346,0.9,-0.13147,0.00738,0.00816,0.76745,False
GOOGL,call,ITM,mid,Fri-0DTE,100.0,99,94,1.053,0.0909,1.0,-0.09446,0.00504,0.00531,0.49872,False
GOOGL,call,ITM,market,Fri-0DTE,20.0,156,94,1.66,0.4487,0.2,-0.23552,-0.04009,-0.06654,-6.25438,False
GOOGL,call,ITM,market,Fri-0DTE,25.0,146,94,1.553,0.411,0.25,-0.25239,-0.04593,-0.07133,-6.70545,False
GOOGL,call,ITM,market,Fri-0DTE,30.0,139,94,1.479,0.3885,0.3,-0.23506,-0.02719,-0.04021,-3.77982,False
GOOGL,call,ITM,market,Fri-0DTE,40.0,130,94,1.383,0.3154,0.4,-0.22088,-0.02506,-0.03466,-3.2582,False
GOOGL,call,ITM,market,Fri-0DTE,50.0,121,94,1.287,0.2562,0.5,-0.22426,-0.03871,-0.04982,-4.68343,False
GOOGL,call,ITM,market,Fri-0DTE,60.0,112,94,1.191,0.2054,0.6,-0.21051,-0.04406,-0.0525,-4.93509,False
GOOGL,call,ITM,market,Fri-0DTE,70.0,107,94,1.138,0.1402,0.7,-0.13807,-0.02058,-0.02343,-2.20226,False
GOOGL,call,ITM,market,Fri-0DTE,75.0,110,94,1.17,0.1636,0.75,-0.12888,0.01494,0.01748,1.64298,False
GOOGL,call,ITM,market,Fri-0DTE,80.0,102,94,1.085,0.1078,0.8,-0.11394,-0.01538,-0.01669,-1.56851,False
GOOGL,call,ITM,market,Fri-0DTE,90.0,102,94,1.085,0.1078,0.9,-0.1279,-0.01705,-0.0185,-1.73915,False
GOOGL,call,ITM,market,Fri-0DTE,100.0,100,94,1.064,0.08,1.0,-0.11368,-0.02458,-0.02615,-2.45833,False
GOOGL,call,ATM,mid,Fri-0DTE,20.0,201,94,2.138,0.6667,0.2,-0.62318,-0.07439,-0.15908,-14.95321,False
GOOGL,call,ATM,mid,Fri-0DTE,25.0,188,94,2.0,0.6383,0.25,-0.64208,-0.07267,-0.14533,-13.66118,False
GOOGL,call,ATM,mid,Fri-0DTE,30.0,174,94,1.851,0.5977,0.3,-0.67151,-0.09084,-0.16815,-15.80571,False
GOOGL,call,ATM,mid,Fri-0DTE,40.0,161,94,1.713,0.5155,0.4,-0.61872,-0.09354,-0.16021,-15.0599,False
GOOGL,call,ATM,mid,Fri-0DTE,50.0,145,94,1.543,0.4552,0.5,-0.61234,-0.10603,-0.16356,-15.37485,False
GOOGL,call,ATM,mid,Fri-0DTE,60.0,131,94,1.394,0.3969,0.6,-0.59825,-0.12261,-0.17087,-16.06177,False
GOOGL,call,ATM,mid,Fri-0DTE,70.0,133,94,1.415,0.391,0.7,-0.56578,-0.07089,-0.1003,-9.42827,False
GOOGL,call,ATM,mid,Fri-0DTE,75.0,129,94,1.372,0.3798,0.75,-0.51566,-0.03491,-0.0479,-4.50304,False
GOOGL,call,ATM,mid,Fri-0DTE,80.0,130,94,1.383,0.3769,0.8,-0.51925,-0.02199,-0.03042,-2.85921,False
GOOGL,call,ATM,mid,Fri-0DTE,90.0,126,94,1.34,0.3492,0.9,-0.55887,-0.04942,-0.06625,-6.2273,False
GOOGL,call,ATM,mid,Fri-0DTE,100.0,119,94,1.266,0.3277,1.0,-0.5724,-0.05708,-0.07225,-6.79193,False
GOOGL,call,ATM,market,Fri-0DTE,20.0,174,94,1.851,0.5575,0.2,-0.83346,-0.25734,-0.47635,-44.77648,False
GOOGL,call,ATM,market,Fri-0DTE,25.0,158,94,1.681,0.5063,0.25,-0.82487,-0.28063,-0.4717,-44.3395,False
GOOGL,call,ATM,market,Fri-0DTE,30.0,155,94,1.649,0.4839,0.3,-0.7988,-0.26712,-0.44047,-41.40416,False
