symbol,direction,moneyness,fill_mode,regime,T_pct,n_test_trades,n_test_days,trades_per_day,win_rate,avg_win,avg_loss,expectancy_per_trade,expectancy_per_day,cumulative_test_pnl,unreliable_low_sample
META,call,ITM,mid,Fri-0DTE,20.0,186,94,1.979,0.5645,0.2,-0.41641,-0.06844,-0.13542,-12.72952,False
META,call,ITM,mid,Fri-0DTE,25.0,168,94,1.787,0.5298,0.25,-0.46713,-0.08722,-0.15588,-14.65298,False
META,call,ITM,mid,Fri-0DTE,30.0,170,94,1.809,0.5059,0.3,-0.44279,-0.06702,-0.12122,-11.39423,False
META,call,ITM,mid,Fri-0DTE,40.0,154,94,1.638,0.4545,0.4,-0.44303,-0.05983,-0.09802,-9.21413,False
META,call,ITM,mid,Fri-0DTE,50.0,142,94,1.511,0.3592,0.5,-0.39207,-0.07168,-0.10828,-10.17813,False
META,call,ITM,mid,Fri-0DTE,60.0,129,94,1.372,0.3178,0.6,-0.39591,-0.07938,-0.10893,-10.23971,False
META,call,ITM,mid,Fri-0DTE,70.0,121,94,1.287,0.2314,0.7,-0.3175,-0.08205,-0.10561,-9.92764,False
META,call,ITM,mid,Fri-0DTE,75.0,115,94,1.223,0.2174,0.75,-0.33862,-0.10196,-0.12474,-11.7258,False
META,call,ITM,mid,Fri-0DTE,80.0,111,94,1.181,0.1802,0.8,-0.32346,-0.12103,-0.14292,-13.4346,False
META,call,ITM,mid,Fri-0DTE,90.0,111,94,1.181,0.1712,0.9,-0.30738,-0.10071,-0.11893,-11.17897,False
META,call,ITM,mid,Fri-0DTE,100.0,106,94,1.128,0.1509,1.0,-0.27281,-0.08068,-0.09098,-8.55255,False
META,call,ITM,market,Fri-0DTE,20.0,173,94,1.84,0.5434,0.2,-0.44878,-0.09626,-0.17717,-16.65382,False
META,call,ITM,market,Fri-0DTE,25.0,170,94,1.809,0.5235,0.25,-0.46594,-0.09112,-0.1648,-15.49125,False
META,call,ITM,market,Fri-0DTE,30.0,159,94,1.691,0.4843,0.3,-0.47146,-0.09786,-0.16553,-15.55954,False
META,call,ITM,market,Fri-0DTE,40.0,152,94,1.617,0.4342,0.4,-0.40802,-0.05717,-0.09244,-8.68964,False
META,call,ITM,market,Fri-0DTE,50.0,139,94,1.479,0.3597,0.5,-0.39347,-0.07208,-0.10658,-10.01871,False
META,call,ITM,market,Fri-0DTE,60.0,123,94,1.309,0.2846,0.6,-0.40999,-0.12259,-0.16041,-15.07887,False
META,call,ITM,market,Fri-0DTE,70.0,116,94,1.234,0.2241,0.7,-0.34634,-0.11182,-0.13799,-12.97065,False
META,call,ITM,market,Fri-0DTE,75.0,114,94,1.213,0.2018,0.75,-0.32075,-0.10472,-0.127,-11.93798,False
META,call,ITM,market,Fri-0DTE,80.0,112,94,1.191,0.1875,0.8,-0.34113,-0.12717,-0.15152,-14.24268,False
META,call,ITM,market,Fri-0DTE,90.0,109,94,1.16,0.1835,0.9,-0.32064,-0.09667,-0.1121,-10.53705,False
META,call,ITM,market,Fri-0DTE,100.0,105,94,1.117,0.1429,1.0,-0.29034,-0.106,-0.11841,-11.13039,False
META,call,ATM,mid,Fri-0DTE,20.0,202,94,2.149,0.7376,0.2,-0.90818,-0.09076,-0.19504,-18.33348,False
META,call,ATM,mid,Fri-0DTE,25.0,193,94,2.053,0.6995,0.25,-0.89534,-0.0942,-0.1934,-18.1799,False
META,call,ATM,mid,Fri-0DTE,30.0,187,94,1.989,0.6471,0.3,-0.85963,-0.10928,-0.2174,-20.43574,False
META,call,ATM,mid,Fri-0DTE,40.0,155,94,1.649,0.5742,0.4,-0.87218,-0.1417,-0.23366,-21.96375,False
META,call,ATM,mid,Fri-0DTE,50.0,152,94,1.617,0.5263,0.5,-0.83598,-0.13283,-0.2148,-20.19091,False
META,call,ATM,mid,Fri-0DTE,60.0,149,94,1.585,0.5101,0.6,-0.8511,-0.11094,-0.17585,-16.53007,False
META,call,ATM,mid,Fri-0DTE,70.0,136,94,1.447,0.4338,0.7,-0.77895,-0.13734,-0.19871,-18.6788,False
META,call,ATM,mid,Fri-0DTE,75.0,131,94,1.394,0.4046,0.75,-0.7986,-0.17207,-0.2398,-22.54086,False
META,call,ATM,mid,Fri-0DTE,80.0,133,94,1.415,0.406,0.8,-0.82083,-0.16275,-0.23027,-21.64547,False
META,call,ATM,mid,Fri-0DTE,90.0,126,94,1.34,0.3571,0.9,-0.75825,-0.16602,-0.22254,-20.91838,False
META,call,ATM,mid,Fri-0DTE,100.0,125,94,1.33,0.336,1.0,-0.7336,-0.15111,-0.20095,-18.88891,False
META,call,ATM,market,Fri-0DTE,20.0,192,94,2.043,0.6719,0.2,-0.95042,-0.17748,-0.36252,-34.07674,False
META,call,ATM,market,Fri-0DTE,25.0,191,94,2.032,0.6335,0.25,-0.90608,-0.1737,-0.35293,-33.17581,False
META,call,ATM,market,Fri-0DTE,30.0,172,94,1.83,0.5988,0.3,-0.8855,-0.17558,-0.32127,-30.19961,False
META,call,ATM,market,Fri-0DTE,40.0,164,94,1.745,0.5488,0.4,-0.8737,-0.17472,-0.30483,-28.65372,False
META,call,ATM,market,Fri-0DTE,50.0,157,94,1.67,0.5096,0.5,-0.84146,-0.15792,-0.26375,-24.79277,False
META,call,ATM,market,Fri-0DTE,60.0,146,94,1.553,0.4589,0.6,-0.85427,-0.1869,-0.29029,-27.28733,False
META,call,ATM,market,Fri-0DTE,70.0,143,94,1.521,0.4336,0.7,-0.84751,-0.17656,-0.2686,-25.24808,False
META,call,ATM,market,Fri-0DTE,75.0,137,94,1.457,0.4088,0.75,-0.86826,-0.20678,-0.30137,-28.32887,False
META,call,ATM,market,Fri-0DTE,80.0,133,94,1.415,0.3985,0.8,-0.81081,-0.16891,-0.23899,-22.4649,False
META,call,ATM,market,Fri-0DTE,90.0,127,94,1.351,0.3622,0.9,-0.79152,-0.17885,-0.24163,-22.71349,False
META,call,ATM,market,Fri-0DTE,100.0,122,94,1.298,0.3197,1.0,-0.75402,-0.19331,-0.25089,-23.58351,False
META,call,OTM1,mid,Fri-0DTE,20.0,218,94,2.319,0.6651,0.2,-0.74971,-0.11802,-0.27371,-25.72855,False
META,call,OTM1,mid,Fri-0DTE,25.0,191,94,2.032,0.6021,0.25,-0.77126,-0.15637,-0.31772,-29.86577,False
META,call,OTM1,mid,Fri-0DTE,30.0,197,94,2.096,0.6091,0.3,-0.7812,-0.1226,-0.25694,-24.1525,False
META,call,OTM1,mid,Fri-0DTE,40.0,196,94,2.085,0.6071,0.4,-0.76192,-0.05647,-0.11775,-11.06817,False
META,call,OTM1,mid,Fri-0DTE,50.0,177,94,1.883,0.5593,0.5,-0.77322,-0.06108,-0.11501,-10.81119,False
META,call,OTM1,mid,Fri-0DTE,60.0,167,94,1.777,0.503,0.6,-0.77903,-0.08538,-0.15169,-14.25923,False
META,call,OTM1,mid,Fri-0DTE,70.0,159,94,1.691,0.478,0.7,-0.75625,-0.06018,-0.1018,-9.5691,False
META,call,OTM1,mid,Fri-0DTE,75.0,154,94,1.638,0.4416,0.75,-0.76205,-0.09439,-0.15464,-14.53643,False
META,call,OTM1,mid,Fri-0DTE,80.0,148,94,1.574,0.4122,0.8,-0.76546,-0.12024,-0.18931,-17.79536,False
META,call,OTM1,mid,Fri-0DTE,90.0,136,94,1.447,0.3676,0.9,-0.77017,-0.15613,-0.2259,-21.23431,False
META,call,OTM1,mid,Fri-0DTE,100.0,140,94,1.489,0.3929,1.0,-0.76937,-0.07426,-0.1106,-10.39661,False
META,call,OTM1,market,Fri-0DTE,20.0,191,94,2.032,0.5497,0.2,-0.99662,-0.33879,-0.68839,-64.70898,False
META,call,OTM1,market,Fri-0DTE,25.0,197,94,2.096,0.5584,0.25,-0.99674,-0.30059,-0.62997,-59.21679,False
META,call,OTM1,market,Fri-0DTE,30.0,187,94,1.989,0.5401,0.3,-0.99671,-0.29635,-0.58954,-55.41679,False
META,call,OTM1,market,Fri-0DTE,40.0,169,94,1.798,0.4793,0.4,-0.99666,-0.32726,-0.58836,-55.3061,False
META,call,OTM1,market,Fri-0DTE,50.0,163,94,1.734,0.4601,0.5,-0.98901,-0.30388,-0.52695,-49.53321,False
META,call,OTM1,market,Fri-0DTE,60.0,149,94,1.585,0.4161,0.6,-0.98889,-0.32774,-0.5195,-48.83321,False
META,call,OTM1,market,Fri-0DTE,70.0,148,94,1.574,0.4054,0.7,-0.9753,-0.29613,-0.46624,-43.82681,False
META,call,OTM1,market,Fri-0DTE,75.0,145,94,1.543,0.3862,0.75,-0.97558,-0.30915,-0.47688,-44.82681,False
META,call,OTM1,market,Fri-0DTE,80.0,141,94,1.5,0.3759,0.8,-0.9753,-0.30799,-0.46199,-43.42681,False
META,call,OTM1,market,Fri-0DTE,90.0,137,94,1.457,0.3577,0.9,-0.95411,-0.29096,-0.42406,-39.86178,False
