symbol,direction,moneyness,fill_mode,regime,T_pct,n_test_trades,n_test_days,trades_per_day,win_rate,avg_win,avg_loss,expectancy_per_trade,expectancy_per_day,cumulative_test_pnl,unreliable_low_sample
MSFT,call,ITM,mid,Fri-0DTE,20.0,177,92,1.924,0.5876,0.2,-0.40716,-0.05041,-0.09699,-8.92285,False
MSFT,call,ITM,mid,Fri-0DTE,25.0,167,92,1.815,0.5329,0.25,-0.40344,-0.0552,-0.1002,-9.21817,False
MSFT,call,ITM,mid,Fri-0DTE,30.0,149,92,1.62,0.4765,0.3,-0.4126,-0.07304,-0.11829,-10.88272,False
MSFT,call,ITM,mid,Fri-0DTE,40.0,137,92,1.489,0.4015,0.4,-0.36171,-0.05591,-0.08326,-7.66002,False
MSFT,call,ITM,mid,Fri-0DTE,50.0,128,92,1.391,0.3438,0.5,-0.34865,-0.05692,-0.0792,-7.2864,False
MSFT,call,ITM,mid,Fri-0DTE,60.0,121,92,1.315,0.2893,0.6,-0.30145,-0.0407,-0.05353,-4.92484,False
MSFT,call,ITM,mid,Fri-0DTE,70.0,111,92,1.207,0.2162,0.7,-0.28492,-0.07196,-0.08682,-7.98784,False
MSFT,call,ITM,mid,Fri-0DTE,75.0,110,92,1.196,0.2,0.75,-0.25597,-0.05478,-0.0655,-6.02562,False
MSFT,call,ITM,mid,Fri-0DTE,80.0,108,92,1.174,0.1852,0.8,-0.26489,-0.06769,-0.07946,-7.31039,False
MSFT,call,ITM,mid,Fri-0DTE,90.0,109,92,1.185,0.1927,0.9,-0.23381,-0.01537,-0.01821,-1.67506,False
MSFT,call,ITM,mid,Fri-0DTE,100.0,104,92,1.13,0.1442,1.0,-0.22598,-0.04916,-0.05557,-5.11254,False
MSFT,call,ITM,market,Fri-0DTE,20.0,169,92,1.837,0.5503,0.2,-0.42555,-0.08131,-0.14937,-13.74214,False
MSFT,call,ITM,market,Fri-0DTE,25.0,151,92,1.641,0.4768,0.25,-0.43275,-0.1072,-0.17595,-16.18702,False
MSFT,call,ITM,market,Fri-0DTE,30.0,145,92,1.576,0.4414,0.3,-0.38826,-0.08448,-0.13315,-12.24942,False
MSFT,call,ITM,market,Fri-0DTE,40.0,135,92,1.467,0.3926,0.4,-0.3957,-0.08332,-0.12226,-11.24779,False
MSFT,call,ITM,market,Fri-0DTE,50.0,124,92,1.348,0.3306,0.5,-0.34899,-0.06828,-0.09203,-8.46649,False
MSFT,call,ITM,market,Fri-0DTE,60.0,117,92,1.272,0.2393,0.6,-0.27992,-0.06934,-0.08818,-8.11244,False
MSFT,call,ITM,market,Fri-0DTE,70.0,108,92,1.174,0.1852,0.7,-0.27913,-0.09781,-0.11482,-10.56339,False
