symbol,direction,moneyness,fill_mode,regime,T_pct,n_test_trades,n_test_days,trades_per_day,win_rate,avg_win,avg_loss,expectancy_per_trade,expectancy_per_day,cumulative_test_pnl,unreliable_low_sample
NVDA,call,ITM,mid,Fri-0DTE,20.0,129,93,1.387,0.3101,0.2,-0.16748,-0.05353,-0.07425,-6.90555,False
NVDA,call,ITM,mid,Fri-0DTE,25.0,123,93,1.323,0.2602,0.25,-0.16441,-0.05659,-0.07485,-6.96097,False
NVDA,call,ITM,mid,Fri-0DTE,30.0,115,93,1.237,0.2,0.3,-0.15402,-0.06322,-0.07817,-7.27007,False
NVDA,call,ITM,mid,Fri-0DTE,40.0,106,93,1.14,0.1321,0.4,-0.13754,-0.06655,-0.07585,-7.05391,False
NVDA,call,ITM,mid,Fri-0DTE,50.0,104,93,1.118,0.1058,0.5,-0.12557,-0.0594,-0.06643,-6.17765,False
NVDA,call,ITM,mid,Fri-0DTE,60.0,102,93,1.097,0.098,0.6,-0.13657,-0.06435,-0.07058,-6.56415,False
NVDA,call,ITM,mid,Fri-0DTE,70.0,99,93,1.065,0.0606,0.7,-0.11263,-0.06338,-0.06747,-6.2743,False
NVDA,call,ITM,mid,Fri-0DTE,75.0,97,93,1.043,0.0412,0.75,-0.10175,-0.06663,-0.06949,-6.46292,False
NVDA,call,ITM,mid,Fri-0DTE,80.0,97,93,1.043,0.0412,0.8,-0.09806,-0.06102,-0.06365,-5.91935,False
NVDA,call,ITM,mid,Fri-0DTE,90.0,97,93,1.043,0.0412,0.9,-0.09706,-0.05594,-0.05835,-5.42639,False
NVDA,call,ITM,mid,Fri-0DTE,100.0,97,93,1.043,0.0412,1.0,-0.1028,-0.05733,-0.05979,-5.56083,False
NVDA,call,ITM,market,Fri-0DTE,20.0,127,93,1.366,0.2913,0.2,-0.18524,-0.07301,-0.0997,-9.27204,False
NVDA,call,ITM,market,Fri-0DTE,25.0,117,93,1.258,0.2137,0.25,-0.17821,-0.08671,-0.10909,-10.14518,False
NVDA,call,ITM,market,Fri-0DTE,30.0,114,93,1.226,0.2018,0.3,-0.16669,-0.07254,-0.08892,-8.26913,False
NVDA,call,ITM,market,Fri-0DTE,40.0,108,93,1.161,0.1481,0.4,-0.15354,-0.07154,-0.08308,-7.72605,False
