symbol,direction,moneyness,fill_mode,regime,T_pct,n_test_trades,n_test_days,trades_per_day,win_rate,avg_win,avg_loss,expectancy_per_trade,expectancy_per_day,cumulative_test_pnl,unreliable_low_sample
ORCL,call,ITM,mid,Fri-0DTE,20.0,135,87,1.552,0.3926,0.2,-0.261,-0.08001,-0.12416,-10.80159,False
ORCL,call,ITM,mid,Fri-0DTE,25.0,129,87,1.483,0.3488,0.25,-0.28386,-0.09763,-0.14476,-12.59448,False
ORCL,call,ITM,mid,Fri-0DTE,30.0,124,87,1.425,0.3306,0.3,-0.30222,-0.1031,-0.14694,-12.7841,False
ORCL,call,ITM,mid,Fri-0DTE,40.0,112,87,1.287,0.25,0.4,-0.27826,-0.10869,-0.13993,-12.17382,False
ORCL,call,ITM,mid,Fri-0DTE,50.0,101,87,1.161,0.1881,0.5,-0.28525,-0.13753,-0.15966,-13.89039,False
ORCL,call,ITM,mid,Fri-0DTE,60.0,100,87,1.149,0.18,0.6,-0.29622,-0.1349,-0.15506,-13.49023,False
ORCL,call,ITM,mid,Fri-0DTE,70.0,99,87,1.138,0.1616,0.7,-0.26739,-0.11104,-0.12636,-10.99305,False
ORCL,call,ITM,mid,Fri-0DTE,75.0,97,87,1.115,0.134,0.75,-0.2403,-0.10758,-0.11994,-10.43509,False
ORCL,call,ITM,mid,Fri-0DTE,80.0,94,87,1.08,0.0957,0.8,-0.2015,-0.10562,-0.11411,-9.92792,False
ORCL,call,ITM,mid,Fri-0DTE,90.0,94,87,1.08,0.1064,0.9,-0.23079,-0.11049,-0.11938,-10.3864,False
ORCL,call,ITM,mid,Fri-0DTE,100.0,96,87,1.103,0.1042,1.0,-0.20533,-0.07977,-0.08802,-7.65803,False
ORCL,call,ITM,market,Fri-0DTE,20.0,132,87,1.517,0.3712,0.2,-0.2988,-0.11364,-0.17242,-15.0005,False
ORCL,call,ITM,market,Fri-0DTE,25.0,125,87,1.437,0.336,0.25,-0.32816,-0.1339,-0.19238,-16.73733,False
ORCL,call,ITM,market,Fri-0DTE,30.0,119,87,1.368,0.3109,0.3,-0.3158,-0.12434,-0.17007,-14.79597,False
ORCL,call,ITM,market,Fri-0DTE,40.0,107,87,1.23,0.215,0.4,-0.29871,-0.14852,-0.18266,-15.89137,False
ORCL,call,ITM,market,Fri-0DTE,50.0,99,87,1.138,0.1717,0.5,-0.30338,-0.16542,-0.18824,-16.37691,False
ORCL,call,ITM,market,Fri-0DTE,60.0,100,87,1.149,0.17,0.6,-0.29286,-0.14107,-0.16215,-14.10704,False
ORCL,call,ITM,market,Fri-0DTE,70.0,97,87,1.115,0.134,0.7,-0.2598,-0.13117,-0.14625,-12.72357,False
ORCL,call,ITM,market,Fri-0DTE,75.0,98,87,1.126,0.1327,0.75,-0.23745,-0.10646,-0.11992,-10.43297,False
ORCL,call,ITM,market,Fri-0DTE,80.0,93,87,1.069,0.0968,0.8,-0.23538,-0.13518,-0.1445,-12.57167,False
ORCL,call,ITM,market,Fri-0DTE,90.0,96,87,1.103,0.125,0.9,-0.25692,-0.1123,-0.12392,-10.78125,False
ORCL,call,ITM,market,Fri-0DTE,100.0,96,87,1.103,0.1146,1.0,-0.23966,-0.09762,-0.10772,-9.3714,False
ORCL,call,OTM1,mid,Fri-0DTE,20.0,158,92,1.717,0.5633,0.2,-0.46304,-0.08955,-0.1538,-14.14948,False
ORCL,call,OTM1,mid,Fri-0DTE,25.0,152,92,1.652,0.5526,0.25,-0.45448,-0.06516,-0.10766,-9.90452,False
ORCL,call,OTM1,mid,Fri-0DTE,30.0,150,92,1.63,0.5333,0.3,-0.52425,-0.08465,-0.13802,-12.69781,False
ORCL,call,OTM1,mid,Fri-0DTE,40.0,135,92,1.467,0.4667,0.4,-0.54345,-0.10317,-0.1514,-13.92843,False
ORCL,call,OTM1,mid,Fri-0DTE,50.0,133,92,1.446,0.4436,0.5,-0.53827,-0.07769,-0.11231,-10.33217,False
ORCL,call,OTM1,mid,Fri-0DTE,60.0,126,92,1.37,0.381,0.6,-0.51041,-0.0874,-0.1197,-11.01209,False
ORCL,call,OTM1,mid,Fri-0DTE,70.0,120,92,1.304,0.3417,0.7,-0.52663,-0.10753,-0.14025,-12.90342,False
ORCL,call,OTM1,mid,Fri-0DTE,75.0,119,92,1.293,0.3361,0.75,-0.53274,-0.10157,-0.13137,-12.08627,False
ORCL,call,OTM1,mid,Fri-0DTE,80.0,115,92,1.25,0.313,0.8,-0.53605,-0.11781,-0.14726,-13.54764,False
ORCL,call,OTM1,mid,Fri-0DTE,90.0,113,92,1.228,0.3097,0.9,-0.51269,-0.07513,-0.09228,-8.49018,False
ORCL,call,OTM1,mid,Fri-0DTE,100.0,112,92,1.217,0.3125,1.0,-0.53192,-0.05319,-0.06476,-5.95758,False
ORCL,call,OTM1,market,Fri-0DTE,20.0,127,92,1.38,0.3858,0.2,-0.99958,-0.53675,-0.74095,-68.16698,False
ORCL,call,OTM1,market,Fri-0DTE,25.0,123,92,1.337,0.3659,0.25,-0.99673,-0.54061,-0.72277,-66.49487,False
ORCL,call,OTM1,market,Fri-0DTE,30.0,120,92,1.304,0.35,0.3,-0.99673,-0.54287,-0.7081,-65.14487,False
ORCL,call,OTM1,market,Fri-0DTE,40.0,113,92,1.228,0.3009,0.4,-0.9866,-0.56939,-0.69936,-64.3413,False
ORCL,call,OTM1,market,Fri-0DTE,50.0,108,92,1.174,0.25,0.5,-0.98206,-0.61154,-0.7179,-66.04656,False
ORCL,call,OTM1,market,Fri-0DTE,60.0,107,92,1.163,0.243,0.6,-0.97769,-0.59433,-0.69123,-63.59325,False
ORCL,call,OTM1,market,Fri-0DTE,70.0,104,92,1.13,0.2308,0.7,-0.98162,-0.59355,-0.67097,-61.7293,False
ORCL,call,OTM1,market,Fri-0DTE,75.0,104,92,1.13,0.2308,0.75,-0.96214,-0.56703,-0.64099,-58.97103,False
ORCL,call,OTM1,market,Fri-0DTE,80.0,104,92,1.13,0.2212,0.8,-0.94494,-0.55904,-0.63195,-58.13978,False
ORCL,call,OTM1,market,Fri-0DTE,90.0,104,92,1.13,0.2212,0.9,-0.94494,-0.53692,-0.60695,-55.83978,False
ORCL,call,OTM1,market,Fri-0DTE,100.0,104,92,1.13,0.2212,1.0,-0.94371,-0.51385,-0.58088,-53.44072,False
ORCL,call,ATM,mid,Fri-0DTE,20.0,175,94,1.862,0.7371,0.2,-0.73781,-0.04651,-0.08659,-8.13908,False
ORCL,call,ATM,mid,Fri-0DTE,25.0,170,94,1.809,0.7235,0.25,-0.71323,-0.0163,-0.02949,-2.77184,False
ORCL,call,ATM,mid,Fri-0DTE,30.0,166,94,1.766,0.6807,0.3,-0.67077,-0.00994,-0.01756,-1.65072,False
ORCL,call,ATM,mid,Fri-0DTE,40.0,147,94,1.564,0.5714,0.4,-0.68656,-0.06567,-0.1027,-9.65339,False
ORCL,call,ATM,mid,Fri-0DTE,50.0,146,94,1.553,0.5,0.5,-0.63219,-0.0661,-0.10266,-9.6499,False
ORCL,call,ATM,mid,Fri-0DTE,60.0,136,94,1.447,0.4485,0.6,-0.64931,-0.08896,-0.12871,-12.09827,False
