symbol,direction,moneyness,fill_mode,regime,T_pct,n_test_trades,n_test_days,trades_per_day,win_rate,avg_win,avg_loss,expectancy_per_trade,expectancy_per_day,cumulative_test_pnl,unreliable_low_sample
TSLA,call,ITM,mid,Fri-0DTE,20.0,201,93,2.161,0.607,0.2,-0.50475,-0.07699,-0.1664,-15.47535,False
TSLA,call,ITM,mid,Fri-0DTE,25.0,192,93,2.065,0.5781,0.25,-0.48668,-0.06079,-0.1255,-11.67124,False
TSLA,call,ITM,mid,Fri-0DTE,30.0,182,93,1.957,0.5275,0.3,-0.45384,-0.05621,-0.11,-10.22986,False
TSLA,call,ITM,mid,Fri-0DTE,40.0,164,93,1.763,0.4634,0.4,-0.40973,-0.03449,-0.06082,-5.65611,False
TSLA,call,ITM,mid,Fri-0DTE,50.0,147,93,1.581,0.3946,0.5,-0.3895,-0.03854,-0.06092,-5.66562,False
TSLA,call,ITM,mid,Fri-0DTE,60.0,139,93,1.495,0.3525,0.6,-0.35963,-0.02134,-0.0319,-2.96649,False
TSLA,call,ITM,mid,Fri-0DTE,70.0,130,93,1.398,0.3077,0.7,-0.33594,-0.01719,-0.02403,-2.23493,False
TSLA,call,ITM,mid,Fri-0DTE,75.0,125,93,1.344,0.272,0.75,-0.33147,-0.03731,-0.05015,-4.66416,False
TSLA,call,ITM,mid,Fri-0DTE,80.0,125,93,1.344,0.272,0.8,-0.33626,-0.0272,-0.03655,-3.39938,False
TSLA,call,ITM,mid,Fri-0DTE,90.0,113,93,1.215,0.2124,0.9,-0.31007,-0.05307,-0.06448,-5.99635,False
TSLA,call,ITM,mid,Fri-0DTE,100.0,113,93,1.215,0.2035,1.0,-0.30186,-0.03688,-0.04481,-4.16742,False
TSLA,call,ITM,market,Fri-0DTE,20.0,193,93,2.075,0.5855,0.2,-0.49746,-0.0891,-0.18491,-17.19709,False
TSLA,call,ITM,market,Fri-0DTE,25.0,186,93,2.0,0.5484,0.25,-0.49312,-0.0856,-0.17121,-15.92222,False
