ticker,day_of_week,opt_type,date,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
AAPL,Friday,C,2024-07-12,AAPL240712C00232500,232.5,REAL,3:45 PM,0.01,3:50 PM,0.01,0.0,100,100.0,0.0,False,
AAPL,Friday,C,2024-07-19,AAPL240719C00225000,225.0,REAL,3:45 PM,0.03,3:50 PM,0.03,0.0,34,102.0,0.0,False,
AAPL,Friday,C,2024-07-26,AAPL240726C00217500,217.5,REAL,3:45 PM,0.66,3:50 PM,0.3,-0.36,2,132.0,-72.0,False,
AAPL,Friday,C,2024-08-02,AAPL240802C00225000,225.0,REAL,3:45 PM,0.02,3:50 PM,0.01,-0.01,50,100.0,-50.0,False,
AAPL,Friday,C,2024-08-09,AAPL240809C00215000,215.0,REAL,3:45 PM,1.5,3:50 PM,1.2,-0.3,1,150.0,-30.0,False,
AAPL,Friday,C,2024-08-16,AAPL240816C00225000,225.0,REAL,3:45 PM,0.75,3:50 PM,0.71,-0.04,2,150.0,-8.0,False,
AAPL,Friday,C,2024-08-23,AAPL240823C00225000,225.0,REAL,3:45 PM,1.45,3:50 PM,1.81,0.36,1,145.0,36.0,True,
AAPL,Friday,C,2024-08-30,AAPL240830C00227500,227.5,REAL,3:45 PM,1.15,3:50 PM,2.14,0.99,1,115.0,99.0,True,
AAPL,Friday,C,2024-09-06,AAPL240906C00220000,220.0,REAL,3:45 PM,1.03,3:50 PM,1.4,0.37,1,103.0,37.0,True,
AAPL,Friday,C,2024-09-13,AAPL240913C00222500,222.5,REAL,3:45 PM,0.34,3:50 PM,0.17,-0.17,3,102.0,-51.0,False,
AAPL,Friday,C,2024-09-20,AAPL240920C00230000,230.0,REAL,3:45 PM,2.85,3:50 PM,2.94,0.09,1,285.0,9.0,True,
AAPL,Friday,C,2024-09-27,AAPL240927C00227500,227.5,REAL,3:45 PM,0.26,3:50 PM,0.42,0.16,4,104.0,64.0,True,
AAPL,Friday,C,2024-10-04,AAPL241004C00225000,225.0,REAL,3:45 PM,1.15,3:50 PM,1.35,0.2,1,115.0,20.0,True,
AAPL,Friday,C,2024-10-11,AAPL241011C00227500,227.5,REAL,3:45 PM,1.17,3:50 PM,0.87,-0.3,1,117.0,-30.0,False,
AAPL,Friday,C,2024-10-18,AAPL241018C00235000,235.0,REAL,3:45 PM,0.17,3:50 PM,0.14,-0.03,6,102.0,-18.0,False,
AAPL,Friday,C,2024-10-25,AAPL241025C00232500,232.5,REAL,3:45 PM,0.02,3:50 PM,0.01,-0.01,50,100.0,-50.0,False,
AAPL,Friday,C,2024-11-01,AAPL241101C00222500,222.5,REAL,3:45 PM,0.18,3:50 PM,0.26,0.08,6,108.0,48.0,True,
AAPL,Friday,C,2024-11-08,AAPL241108C00227500,227.5,REAL,3:45 PM,0.02,3:50 PM,0.03,0.01,50,100.0,50.0,True,
AAPL,Friday,C,2024-11-15,AAPL241115C00225000,225.0,REAL,3:45 PM,0.07,3:50 PM,0.12,0.05,15,105.0,75.0,True,
AAPL,Friday,C,2024-11-22,AAPL241122C00230000,230.0,REAL,3:45 PM,0.02,3:50 PM,0.02,0.0,50,100.0,0.0,False,
AAPL,Friday,C,2024-11-29,,0.0,MISS,3:45 PM,,3:50 PM,,,,,,,missing data (Fri & Thu closed)
AAPL,Friday,C,2024-12-06,AAPL241206C00242500,242.5,REAL,3:45 PM,0.5,3:50 PM,0.35,-0.15,2,100.0,-30.0,False,
AAPL,Friday,C,2024-12-13,AAPL241213C00247500,247.5,REAL,3:45 PM,0.66,3:50 PM,0.64,-0.02,2,132.0,-4.0,False,
AAPL,Friday,C,2024-12-20,AAPL241220C00252500,252.5,REAL,3:45 PM,1.24,3:50 PM,1.08,-0.16,1,124.0,-16.0,False,
AAPL,Friday,C,2024-12-27,AAPL241227C00255000,255.0,REAL,3:45 PM,0.11,3:50 PM,0.43,0.32,10,110.0,320.0,True,
AAPL,Friday,C,2025-01-03,AAPL250103C00242500,242.5,REAL,3:45 PM,0.46,3:50 PM,0.35,-0.11,3,138.0,-33.0,False,
AAPL,Friday,C,2025-01-10,AAPL250110C00237500,237.5,REAL,3:45 PM,0.03,3:50 PM,0.02,-0.01,34,102.0,-34.0,False,
AAPL,Friday,C,2025-01-17,AAPL250117C00230000,230.0,REAL,3:45 PM,0.05,3:50 PM,0.02,-0.03,20,100.0,-60.0,False,
AAPL,Friday,C,2025-01-24,AAPL250124C00222500,222.5,REAL,3:45 PM,0.09,3:50 PM,0.2,0.11,12,108.0,132.0,True,
AAPL,Friday,C,2025-01-31,AAPL250131C00235000,235.0,REAL,3:45 PM,0.14,3:50 PM,0.92,0.78,8,112.0,624.0,True,
AAPL,Friday,C,2025-02-07,AAPL250207C00227500,227.5,REAL,3:45 PM,0.2,3:50 PM,0.29,0.09,5,100.0,45.0,True,
AAPL,Friday,C,2025-02-14,AAPL250214C00245000,245.0,REAL,3:45 PM,0.04,3:50 PM,0.07,0.03,25,100.0,75.0,True,
AAPL,Friday,C,2025-02-21,AAPL250221C00247500,247.5,REAL,3:45 PM,0.02,3:50 PM,0.01,-0.01,50,100.0,-50.0,False,
AAPL,Friday,C,2025-02-28,AAPL250228C00235000,235.0,REAL,3:45 PM,4.65,3:50 PM,5.46,0.81,1,465.0,81.0,True,
AAPL,Friday,C,2025-03-07,AAPL250307C00240000,240.0,REAL,3:45 PM,0.02,3:50 PM,0.02,0.0,50,100.0,0.0,False,
AAPL,Friday,C,2025-03-14,AAPL250314C00212500,212.5,REAL,3:45 PM,0.58,3:50 PM,0.53,-0.05,2,116.0,-10.0,False,
AAPL,Friday,C,2025-03-21,AAPL250321C00215000,215.0,REAL,3:45 PM,0.72,3:50 PM,1.98,1.26,2,144.0,252.0,True,
AAPL,Friday,C,2025-03-28,AAPL250328C00217500,217.5,REAL,3:45 PM,0.76,3:50 PM,0.81,0.05,2,152.0,10.0,True,
