"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (CALLs)"
"# Position sizing: contracts = ceil($1.00 / mean(entry_frame)), min 1. Frames are arbitrary [start, end] windows; price = mean of the 1-min closes inside the frame."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-09 17:05:52  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 10:08–10:13 AM  |  Optimal exit frame = 10:36–10:41 AM

DETAIL — one row per Thursday (ATM call at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-11,C,AAPL240712C00232500,232.5,REAL,10:08–10:13 AM,0.816,10:36–10:41 AM,0.418,-0.398,2,163.2,-79.6,False,1DTE (Fri expiry)
2024-07-18,C,AAPL240719C00230000,230.0,REAL,10:08–10:13 AM,0.916,10:36–10:41 AM,0.632,-0.284,2,183.2,-56.8,False,1DTE (Fri expiry)
2024-07-25,C,AAPL240726C00220000,220.0,REAL,10:08–10:13 AM,0.382,10:36–10:41 AM,0.584,0.202,3,114.6,60.6,True,1DTE (Fri expiry)
2024-08-01,C,AAPL240802C00225000,225.0,REAL,10:08–10:13 AM,3.706,10:36–10:41 AM,2.902,-0.804,1,370.6,-80.4,False,1DTE (Fri expiry)
2024-08-08,C,AAPL240809C00212500,212.5,REAL,10:08–10:13 AM,1.682,10:36–10:41 AM,1.91,0.228,1,168.2,22.8,True,1DTE (Fri expiry)
2024-08-15,C,AAPL240816C00225000,225.0,REAL,10:08–10:13 AM,1.098,10:36–10:41 AM,1.314,0.216,1,109.8,21.6,True,1DTE (Fri expiry)
2024-08-22,C,AAPL240823C00227500,227.5,REAL,10:08–10:13 AM,1.264,10:36–10:41 AM,1.11,-0.154,1,126.4,-15.4,False,1DTE (Fri expiry)
2024-08-29,C,AAPL240830C00230000,230.0,REAL,10:08–10:13 AM,1.896,10:36–10:41 AM,2.886,0.99,1,189.6,99.0,True,1DTE (Fri expiry)
2024-09-05,C,AAPL240906C00222500,222.5,REAL,10:08–10:13 AM,2.958,10:36–10:41 AM,3.508,0.55,1,295.8,55.0,True,1DTE (Fri expiry)
2024-09-12,C,AAPL240913C00222500,222.5,REAL,10:08–10:13 AM,1.248,10:36–10:41 AM,1.206,-0.042,1,124.8,-4.2,False,1DTE (Fri expiry)
2024-09-19,C,AAPL240920C00225000,225.0,REAL,10:08–10:13 AM,4.15,10:36–10:41 AM,4.92,0.77,1,415.0,77.0,True,1DTE (Fri expiry)
2024-09-26,C,AAPL240927C00227500,227.5,REAL,10:08–10:13 AM,1.016,10:36–10:41 AM,1.438,0.422,1,101.6,42.2,True,1DTE (Fri expiry)
2024-10-03,C,AAPL241004C00225000,225.0,REAL,10:08–10:13 AM,2.366,10:36–10:41 AM,1.758,-0.608,1,236.6,-60.8,False,1DTE (Fri expiry)
2024-10-10,C,AAPL241011C00227500,227.5,REAL,10:08–10:13 AM,1.74,10:36–10:41 AM,1.54,-0.2,1,174.0,-20.0,False,1DTE (Fri expiry)
2024-10-17,C,AAPL241018C00232500,232.5,REAL,10:08–10:13 AM,0.888,10:36–10:41 AM,0.99,0.102,2,177.6,20.4,True,1DTE (Fri expiry)
2024-10-24,C,AAPL241025C00230000,230.0,REAL,10:08–10:13 AM,1.436,10:36–10:41 AM,1.484,0.048,1,143.6,4.8,True,1DTE (Fri expiry)
2024-10-31,C,AAPL241101C00230000,230.0,REAL,10:08–10:13 AM,3.524,10:36–10:41 AM,3.708,0.184,1,352.4,18.4,True,1DTE (Fri expiry)
2024-11-07,C,AAPL241108C00225000,225.0,REAL,10:08–10:13 AM,1.834,10:36–10:41 AM,1.65,-0.184,1,183.4,-18.4,False,1DTE (Fri expiry)
2024-11-14,C,AAPL241115C00225000,225.0,REAL,10:08–10:13 AM,1.456,10:36–10:41 AM,2.374,0.918,1,145.6,91.8,True,1DTE (Fri expiry)
