"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (PUTs)"
"# Position sizing: contracts = ceil($1.00 / mean(entry_frame)), min 1. Frames are arbitrary [start, end] windows; price = mean of the 1-min closes inside the frame."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-09 17:06:02  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 9:30–9:35 AM  |  Optimal exit frame = 9:42–9:49 AM

DETAIL — one row per Thursday (ATM put at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-11,P,AAPL240712P00232500,232.5,REAL,9:30–9:35 AM,1.978,9:42–9:49 AM,1.9629,-0.0151,1,197.8,-1.51,False,1DTE (Fri expiry)
2024-07-18,P,AAPL240719P00230000,230.0,REAL,9:30–9:35 AM,1.966,9:42–9:49 AM,2.3771,0.4111,1,196.6,41.11,True,1DTE (Fri expiry)
2024-07-25,P,AAPL240726P00220000,220.0,REAL,9:30–9:35 AM,2.17,9:42–9:49 AM,3.0043,0.8343,1,217.0,83.43,True,1DTE (Fri expiry)
2024-08-01,P,AAPL240802P00225000,225.0,REAL,9:30–9:35 AM,5.11,9:42–9:49 AM,5.2567,0.1467,1,511.0,14.67,True,1DTE (Fri expiry)
2024-08-08,P,AAPL240809P00212500,212.5,REAL,9:30–9:35 AM,2.008,9:42–9:49 AM,3.4614,1.4534,1,200.8,145.34,True,1DTE (Fri expiry)
2024-08-15,P,AAPL240816P00225000,225.0,REAL,9:30–9:35 AM,2.234,9:42–9:49 AM,2.3143,0.0803,1,223.4,8.03,True,1DTE (Fri expiry)
2024-08-22,P,AAPL240823P00227500,227.5,REAL,9:30–9:35 AM,1.49,9:42–9:49 AM,1.4929,0.0029,1,149.0,0.29,True,1DTE (Fri expiry)
2024-08-29,P,AAPL240830P00230000,230.0,REAL,9:30–9:35 AM,1.572,9:42–9:49 AM,1.0243,-0.5477,1,157.2,-54.77,False,1DTE (Fri expiry)
2024-09-05,P,AAPL240906P00222500,222.5,REAL,9:30–9:35 AM,1.688,9:42–9:49 AM,1.5371,-0.1509,1,168.8,-15.09,False,1DTE (Fri expiry)
2024-09-12,P,AAPL240913P00222500,222.5,REAL,9:30–9:35 AM,2.02,9:42–9:49 AM,2.5443,0.5243,1,202.0,52.43,True,1DTE (Fri expiry)
2024-09-19,P,AAPL240920P00225000,225.0,REAL,9:30–9:35 AM,1.67,9:42–9:49 AM,1.0929,-0.5771,1,167.0,-57.71,False,1DTE (Fri expiry)
2024-09-26,P,AAPL240927P00227500,227.5,REAL,9:30–9:35 AM,1.81,9:42–9:49 AM,2.1743,0.3643,1,181.0,36.43,True,1DTE (Fri expiry)
2024-10-03,P,AAPL241004P00225000,225.0,REAL,9:30–9:35 AM,1.438,9:42–9:49 AM,1.17,-0.268,1,143.8,-26.8,False,1DTE (Fri expiry)
2024-10-10,P,AAPL241011P00227500,227.5,REAL,9:30–9:35 AM,1.182,9:42–9:49 AM,1.2629,0.0809,1,118.2,8.09,True,1DTE (Fri expiry)
2024-10-17,P,AAPL241018P00232500,232.5,REAL,9:30–9:35 AM,1.41,9:42–9:49 AM,1.82,0.41,1,141.0,41.0,True,1DTE (Fri expiry)
2024-10-24,P,AAPL241025P00230000,230.0,REAL,9:30–9:35 AM,2.038,9:42–9:49 AM,1.8914,-0.1466,1,203.8,-14.66,False,1DTE (Fri expiry)
2024-10-31,P,AAPL241101P00230000,230.0,REAL,9:30–9:35 AM,4.958,9:42–9:49 AM,4.7029,-0.2551,1,495.8,-25.51,False,1DTE (Fri expiry)
2024-11-07,P,AAPL241108P00225000,225.0,REAL,9:30–9:35 AM,1.12,9:42–9:49 AM,1.1543,0.0343,1,112.0,3.43,True,1DTE (Fri expiry)
2024-11-14,P,AAPL241115P00225000,225.0,REAL,9:30–9:35 AM,0.872,9:42–9:49 AM,0.8229,-0.0491,2,174.4,-9.83,False,1DTE (Fri expiry)
2024-11-21,P,AAPL241122P00230000,230.0,REAL,9:30–9:35 AM,1.934,9:42–9:49 AM,2.845,0.911,1,193.4,91.1,True,1DTE (Fri expiry)
2024-11-28,P,,0.0,MISS,9:30–9:35 AM,,9:42–9:49 AM,,,,,,,missing data (Thursday market holiday)
2024-12-05,P,AAPL241206P00245000,245.0,REAL,9:30–9:35 AM,1.718,9:42–9:49 AM,2.2886,0.5706,1,171.8,57.06,True,1DTE (Fri expiry)
2024-12-12,P,AAPL241213P00247500,247.5,REAL,9:30–9:35 AM,1.6333,9:42–9:49 AM,2.0929,0.4595,1,163.33,45.95,True,1DTE (Fri expiry)
2024-12-19,P,AAPL241220P00247500,247.5,REAL,9:30–9:35 AM,1.5,9:42–9:49 AM,1.1486,-0.3514,1,150.0,-35.14,False,1DTE (Fri expiry)
2024-12-26,P,AAPL241227P00260000,260.0,REAL,9:30–9:35 AM,1.506,9:42–9:49 AM,1.52,0.014,1,150.6,1.4,True,1DTE (Fri expiry)
2025-01-02,P,AAPL250103P00247500,247.5,REAL,9:30–9:35 AM,1.748,9:42–9:49 AM,2.9514,1.2034,1,174.8,120.34,True,1DTE (Fri expiry)
2025-01-09,P,,0.0,MISS,9:30–9:35 AM,,9:42–9:49 AM,,,,,,,missing data (no Thursday stock bars)
2025-01-16,P,AAPL250117P00237500,237.5,REAL,9:30–9:35 AM,1.706,9:42–9:49 AM,2.17,0.464,1,170.6,46.4,True,1DTE (Fri expiry)
2025-01-23,P,AAPL250124P00225000,225.0,REAL,9:30–9:35 AM,1.464,9:42–9:49 AM,1.7357,0.2717,1,146.4,27.17,True,1DTE (Fri expiry)
2025-01-30,P,AAPL250131P00240000,240.0,REAL,9:30–9:35 AM,5.152,9:42–9:49 AM,5.3957,0.2437,1,515.2,24.37,True,1DTE (Fri expiry)
2025-02-06,P,AAPL250207P00232500,232.5,REAL,9:30–9:35 AM,2.432,9:42–9:49 AM,1.2757,-1.1563,1,243.2,-115.63,False,1DTE (Fri expiry)
2025-02-13,P,AAPL250214P00237500,237.5,REAL,9:30–9:35 AM,1.318,9:42–9:49 AM,2.1286,0.8106,1,131.8,81.06,True,1DTE (Fri expiry)
2025-02-20,P,AAPL250221P00245000,245.0,REAL,9:30–9:35 AM,1.144,9:42–9:49 AM,1.0486,-0.0954,1,114.4,-9.54,False,1DTE (Fri expiry)
2025-02-27,P,AAPL250228P00240000,240.0,REAL,9:30–9:35 AM,2.01,9:42–9:49 AM,1.5371,-0.4729,1,201.0,-47.29,False,1DTE (Fri expiry)
2025-03-06,P,AAPL250307P00235000,235.0,REAL,9:30–9:35 AM,2.96,9:42–9:49 AM,2.4886,-0.4714,1,296.0,-47.14,False,1DTE (Fri expiry)
2025-03-13,P,AAPL250314P00215000,215.0,REAL,9:30–9:35 AM,2.622,9:42–9:49 AM,2.0514,-0.5706,1,262.2,-57.06,False,1DTE (Fri expiry)
2025-03-20,P,AAPL250321P00212500,212.5,REAL,9:30–9:35 AM,1.532,9:42–9:49 AM,1.1071,-0.4249,1,153.2,-42.49,False,1DTE (Fri expiry)
2025-03-27,P,AAPL250328P00222500,222.5,REAL,9:30–9:35 AM,2.346,9:42–9:49 AM,2.3886,0.0426,1,234.6,4.26,True,1DTE (Fri expiry)
2025-04-03,P,AAPL250404P00207500,207.5,REAL,9:30–9:35 AM,3.602,9:42–9:49 AM,5.8314,2.2294,1,360.2,222.94,True,1DTE (Fri expiry)
2025-04-10,P,AAPL250411P00190000,190.0,REAL,9:30–9:35 AM,4.064,9:42–9:49 AM,3.0914,-0.9726,1,406.4,-97.26,False,1DTE (Fri expiry)
2025-04-17,P,AAPL250417P00195000,195.0,REAL,9:30–9:35 AM,1.43,9:42–9:49 AM,1.4857,0.0557,1,143.0,5.57,True,0DTE (Fri holiday → Thu expiry)
2025-04-24,P,AAPL250425P00205000,205.0,REAL,9:30–9:35 AM,2.686,9:42–9:49 AM,2.5514,-0.1346,1,268.6,-13.46,False,1DTE (Fri expiry)
2025-05-01,P,AAPL250502P00210000,210.0,REAL,9:30–9:35 AM,4.426,9:42–9:49 AM,4.0243,-0.4017,1,442.6,-40.17,False,1DTE (Fri expiry)
2025-05-08,P,AAPL250509P00200000,200.0,REAL,9:30–9:35 AM,3.586,9:42–9:49 AM,4.2057,0.6197,1,358.6,61.97,True,1DTE (Fri expiry)
2025-05-15,P,AAPL250516P00210000,210.0,REAL,9:30–9:35 AM,1.198,9:42–9:49 AM,1.3471,0.1491,1,119.8,14.91,True,1DTE (Fri expiry)
2025-05-22,P,AAPL250523P00200000,200.0,REAL,9:30–9:35 AM,1.8,9:42–9:49 AM,1.76,-0.04,1,180.0,-4.0,False,1DTE (Fri expiry)
