"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (PUTs)"
"# Position sizing: contracts = ceil($1.00 / mean(entry_frame)), min 1. Frames are arbitrary [start, end] windows; price = mean of the 1-min closes inside the frame."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-06-27 23:35:08  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 3:06–3:11 PM  |  Optimal exit frame = 3:55–4:00 PM

DETAIL — one row per Friday (ATM put at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-06-28,P,TSLA240628P00200000,200.0,REAL,3:06–3:11 PM,3.82,3:55–4:00 PM,2.154,-1.666,1,382.0,-166.6,False,
2024-07-05,P,TSLA240705P00252500,252.5,REAL,3:06–3:11 PM,2.792,3:55–4:00 PM,1.062,-1.73,1,279.2,-173.0,False,
2024-07-12,P,TSLA240712P00237500,237.5,REAL,3:06–3:11 PM,0.01,3:55–4:00 PM,0.01,0.0,100,100.0,0.0,False,
2024-07-19,P,TSLA240719P00247500,247.5,REAL,3:06–3:11 PM,7.3075,3:55–4:00 PM,7.97,0.6625,1,730.75,66.25,True,
2024-07-26,P,TSLA240726P00222500,222.5,REAL,3:06–3:11 PM,3.01,3:55–4:00 PM,2.9875,-0.0225,1,301.0,-2.25,False,
2024-08-02,P,TSLA240802P00212500,212.5,REAL,3:06–3:11 PM,6.12,3:55–4:00 PM,4.83,-1.29,1,612.0,-129.0,False,
2024-08-09,P,TSLA240809P00195000,195.0,REAL,3:06–3:11 PM,0.012,3:55–4:00 PM,0.01,-0.002,84,100.8,-16.8,False,
2024-08-16,P,TSLA240816P00212500,212.5,REAL,3:06–3:11 PM,0.034,3:55–4:00 PM,0.01,-0.024,30,102.0,-72.0,False,
2024-08-23,P,TSLA240823P00215000,215.0,REAL,3:06–3:11 PM,0.012,3:55–4:00 PM,0.01,-0.002,84,100.8,-16.8,False,
2024-08-30,P,TSLA240830P00210000,210.0,REAL,3:06–3:11 PM,0.104,3:55–4:00 PM,0.01,-0.094,10,104.0,-94.0,False,
2024-09-06,P,TSLA240906P00232500,232.5,REAL,3:06–3:11 PM,18.2,3:55–4:00 PM,20.8,2.6,1,1820.0,260.0,True,
2024-09-13,P,TSLA240913P00227500,227.5,REAL,3:06–3:11 PM,0.094,3:55–4:00 PM,0.01,-0.084,11,103.4,-92.4,False,
2024-09-20,P,TSLA240920P00240000,240.0,REAL,3:06–3:11 PM,1.156,3:55–4:00 PM,1.478,0.322,1,115.6,32.2,True,
2024-09-27,P,TSLA240927P00257500,257.5,REAL,3:06–3:11 PM,0.074,3:55–4:00 PM,0.01,-0.064,14,103.6,-89.6,False,
2024-10-04,P,TSLA241004P00247500,247.5,REAL,3:06–3:11 PM,0.142,3:55–4:00 PM,0.01,-0.132,8,113.6,-105.6,False,
2024-10-11,P,TSLA241011P00220000,220.0,REAL,3:06–3:11 PM,1.346,3:55–4:00 PM,2.154,0.808,1,134.6,80.8,True,
2024-10-18,P,TSLA241018P00220000,220.0,REAL,3:06–3:11 PM,0.046,3:55–4:00 PM,0.012,-0.034,22,101.2,-74.8,False,
