date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2026-02-17,C,AAPL260218C00257500,257.5,REAL,9:30–9:36 AM,2.9833,2:20–2:29 PM,7.95,4.9667,1,298.33,496.67,True,1DTE (Wed expiry)
2026-02-24,C,AAPL260225C00270000,270.0,REAL,9:30–9:36 AM,2.9133,2:20–2:29 PM,3.2867,0.3733,1,291.33,37.33,True,1DTE (Wed expiry)
2026-03-03,C,AAPL260304C00262500,262.5,REAL,9:30–9:36 AM,2.5983,2:20–2:29 PM,2.6878,0.0894,1,259.83,8.94,True,1DTE (Wed expiry)
2026-03-10,C,AAPL260311C00257500,257.5,REAL,9:30–9:36 AM,3.0833,2:20–2:29 PM,4.7725,1.6892,1,308.33,168.92,True,1DTE (Wed expiry)
2026-03-17,C,AAPL260318C00252500,252.5,REAL,9:30–9:36 AM,2.1383,2:20–2:29 PM,2.435,0.2967,1,213.83,29.67,True,1DTE (Wed expiry)
2026-03-24,C,AAPL260325C00250000,250.0,REAL,9:30–9:36 AM,2.5517,2:20–2:29 PM,3.4433,0.8917,1,255.17,89.17,True,1DTE (Wed expiry)
2026-03-31,C,AAPL260401C00250000,250.0,REAL,9:30–9:36 AM,1.2917,2:20–2:29 PM,3.75,2.4583,1,129.17,245.83,True,1DTE (Wed expiry)
2026-04-07,C,AAPL260408C00255000,255.0,REAL,9:30–9:36 AM,1.4833,2:20–2:29 PM,0.7556,-0.7278,1,148.33,-72.78,False,1DTE (Wed expiry)
2026-04-14,C,AAPL260415C00260000,260.0,REAL,9:30–9:36 AM,1.705,2:20–2:29 PM,0.9767,-0.7283,1,170.5,-72.83,False,1DTE (Wed expiry)
2026-04-21,C,AAPL260422C00272500,272.5,REAL,9:30–9:36 AM,1.3983,2:20–2:29 PM,0.2257,-1.1726,1,139.83,-117.26,False,1DTE (Wed expiry)
2026-04-28,C,AAPL260429C00270000,270.0,REAL,9:30–9:36 AM,2.155,2:20–2:29 PM,2.1711,0.0161,1,215.5,1.61,True,1DTE (Wed expiry)
2026-05-05,C,AAPL260506C00277500,277.5,REAL,9:30–9:36 AM,2.3667,2:20–2:29 PM,6.86,4.4933,1,236.67,449.33,True,1DTE (Wed expiry)
2026-05-12,C,AAPL260513C00292500,292.5,REAL,9:30–9:36 AM,2.4483,2:20–2:29 PM,2.7771,0.3288,1,244.83,32.88,True,1DTE (Wed expiry)
2026-05-19,C,AAPL260520C00297500,297.5,REAL,9:30–9:36 AM,3.0417,2:20–2:29 PM,1.9657,-1.076,1,304.17,-107.6,False,1DTE (Wed expiry)
2026-05-26,C,AAPL260527C00310000,310.0,REAL,9:30–9:36 AM,2.3017,2:20–2:29 PM,1.3556,-0.9461,1,230.17,-94.61,False,1DTE (Wed expiry)
2026-06-02,C,AAPL260603C00307500,307.5,REAL,9:30–9:36 AM,3.22,2:20–2:29 PM,6.682,3.462,1,322.0,346.2,True,1DTE (Wed expiry)
2026-06-09,C,AAPL260610C00300000,300.0,REAL,9:30–9:36 AM,2.18,2:20–2:29 PM,0.1189,-2.0611,1,218.0,-206.11,False,1DTE (Wed expiry)
2026-06-16,C,AAPL260617C00295000,295.0,REAL,9:30–9:36 AM,2.4783,2:20–2:29 PM,4.2525,1.7742,1,247.83,177.42,True,1DTE (Wed expiry)
2026-06-23,C,AAPL260624C00297500,297.5,REAL,9:30–9:36 AM,2.2667,2:20–2:29 PM,2.3825,0.1158,1,226.67,11.58,True,1DTE (Wed expiry)
2026-06-30,C,AAPL260701C00282500,282.5,REAL,9:30–9:36 AM,2.8033,2:20–2:29 PM,6.55,3.7467,1,280.33,374.67,True,1DTE (Wed expiry)
2026-07-07,C,AAPL260708C00315000,315.0,REAL,9:30–9:36 AM,1.99,2:20–2:29 PM,0.6878,-1.3022,1,199.0,-130.22,False,1DTE (Wed expiry)
2026-02-17,C,MSFT260218C00397500,397.5,REAL,11:30–11:35 AM,4.095,1:40–1:45 PM,3.302,-0.793,1,409.5,-79.3,False,1DTE (Wed expiry)
2026-02-24,C,MSFT260225C00382500,382.5,REAL,11:30–11:35 AM,5.3,1:40–1:45 PM,6.02,0.72,1,530.0,72.0,True,1DTE (Wed expiry)
2026-03-03,C,MSFT260304C00397500,397.5,REAL,11:30–11:35 AM,4.685,1:40–1:45 PM,9.55,4.865,1,468.5,486.5,True,1DTE (Wed expiry)
2026-03-10,C,MSFT260311C00407500,407.5,REAL,11:30–11:35 AM,2.352,1:40–1:45 PM,2.128,-0.224,1,235.2,-22.4,False,1DTE (Wed expiry)
2026-03-17,C,MSFT260318C00400000,400.0,REAL,11:30–11:35 AM,2.08,1:40–1:45 PM,2.13,0.05,1,208.0,5.0,True,1DTE (Wed expiry)
2026-03-24,C,MSFT260325C00380000,380.0,REAL,11:30–11:35 AM,0.686,1:40–1:45 PM,0.436,-0.25,2,137.2,-50.0,False,1DTE (Wed expiry)
2026-03-31,C,MSFT260401C00365000,365.0,REAL,11:30–11:35 AM,2.514,1:40–1:45 PM,4.9,2.386,1,251.4,238.6,True,1DTE (Wed expiry)
2026-04-07,C,MSFT260408C00370000,370.0,REAL,11:30–11:35 AM,2.06,1:40–1:45 PM,3.5,1.44,1,206.0,144.0,True,1DTE (Wed expiry)
2026-04-14,C,MSFT260415C00387500,387.5,REAL,11:30–11:35 AM,5.818,1:40–1:45 PM,7.44,1.622,1,581.8,162.2,True,1DTE (Wed expiry)
2026-04-21,C,MSFT260422C00420000,420.0,REAL,11:30–11:35 AM,6.3625,1:40–1:45 PM,7.5,1.1375,1,636.25,113.75,True,1DTE (Wed expiry)
2026-04-28,C,MSFT260429C00422500,422.5,SIM,11:30–11:35 AM,6.9075,1:40–1:45 PM,7.648,0.7405,1,690.75,74.05,True,1DTE (Wed expiry)
2026-05-05,C,MSFT260506C00415000,415.0,REAL,11:30–11:35 AM,1.7025,1:40–1:45 PM,1.33,-0.3725,1,170.25,-37.25,False,1DTE (Wed expiry)
2026-05-12,C,MSFT260513C00412500,412.5,REAL,11:30–11:35 AM,1.328,1:40–1:45 PM,1.412,0.084,1,132.8,8.4,True,1DTE (Wed expiry)
2026-05-19,C,MSFT260520C00432500,432.5,REAL,11:30–11:35 AM,0.712,1:40–1:45 PM,0.525,-0.187,2,142.4,-37.4,False,1DTE (Wed expiry)
2026-05-26,C,MSFT260527C00415000,415.0,REAL,11:30–11:35 AM,2.934,1:40–1:45 PM,1.864,-1.07,1,293.4,-107.0,False,1DTE (Wed expiry)
2026-06-02,C,MSFT260603C00450000,450.0,REAL,11:30–11:35 AM,3.8025,1:40–1:45 PM,2.648,-1.1545,1,380.25,-115.45,False,1DTE (Wed expiry)
2026-06-09,C,MSFT260610C00407500,407.5,REAL,11:30–11:35 AM,1.904,1:40–1:45 PM,1.39,-0.514,1,190.4,-51.4,False,1DTE (Wed expiry)
2026-06-16,C,MSFT260617C00395000,395.0,REAL,11:30–11:35 AM,2.516,1:40–1:45 PM,1.6033,-0.9127,1,251.6,-91.27,False,1DTE (Wed expiry)
2026-06-23,C,MSFT260624C00370000,370.0,REAL,11:30–11:35 AM,4.866,1:40–1:45 PM,5.65,0.784,1,486.6,78.4,True,1DTE (Wed expiry)
2026-06-30,C,MSFT260701C00370000,370.0,REAL,11:30–11:35 AM,3.734,1:40–1:45 PM,3.774,0.04,1,373.4,4.0,True,1DTE (Wed expiry)
2026-07-07,C,MSFT260708C00392500,392.5,REAL,11:30–11:35 AM,4.052,1:40–1:45 PM,3.65,-0.402,1,405.2,-40.2,False,1DTE (Wed expiry)
2026-02-17,C,GOOGL260218C00300000,300.0,REAL,9:30–9:35 AM,3.898,11:19–11:30 AM,4.1609,0.2629,1,389.8,26.29,True,1DTE (Wed expiry)
2026-02-24,C,GOOGL260225C00310000,310.0,REAL,9:30–9:35 AM,2.444,11:19–11:30 AM,3.0629,0.6189,1,244.4,61.89,True,1DTE (Wed expiry)
2026-03-03,C,GOOGL260304C00297500,297.5,REAL,9:30–9:35 AM,4.16,11:19–11:30 AM,5.1538,0.9938,1,416.0,99.38,True,1DTE (Wed expiry)
2026-03-10,C,GOOGL260311C00310000,310.0,REAL,9:30–9:35 AM,1.508,11:19–11:30 AM,1.65,0.142,1,150.8,14.2,True,1DTE (Wed expiry)
2026-03-17,C,GOOGL260318C00305000,305.0,REAL,9:30–9:35 AM,3.56,11:19–11:30 AM,3.194,-0.366,1,356.0,-36.6,False,1DTE (Wed expiry)
2026-03-24,C,GOOGL260325C00297500,297.5,REAL,9:30–9:35 AM,3.866,11:19–11:30 AM,1.6427,-2.2233,1,386.6,-222.33,False,1DTE (Wed expiry)
2026-03-31,C,GOOGL260401C00277500,277.5,REAL,9:30–9:35 AM,3.026,11:19–11:30 AM,5.2167,2.1907,1,302.6,219.07,True,1DTE (Wed expiry)
2026-04-07,C,GOOGL260408C00302500,302.5,REAL,9:30–9:35 AM,2.218,11:19–11:30 AM,1.8178,-0.4002,1,221.8,-40.02,False,1DTE (Wed expiry)
2026-04-14,C,GOOGL260415C00325000,325.0,REAL,9:30–9:35 AM,2.246,11:19–11:30 AM,6.2156,3.9696,1,224.6,396.96,True,1DTE (Wed expiry)
2026-04-21,C,GOOGL260422C00337500,337.5,REAL,9:30–9:35 AM,2.436,11:19–11:30 AM,2.7022,0.2662,1,243.6,26.62,True,1DTE (Wed expiry)
2026-04-28,C,GOOGL260429C00347500,347.5,SIM,9:30–9:35 AM,4.2382,11:19–11:30 AM,6.072,1.8338,1,423.82,183.38,True,1DTE (Wed expiry)
2026-05-05,C,GOOGL260506C00387500,387.5,REAL,9:30–9:35 AM,3.042,11:19–11:30 AM,3.872,0.83,1,304.2,83.0,True,1DTE (Wed expiry)
2026-05-12,C,GOOGL260513C00387500,387.5,REAL,9:30–9:35 AM,2.832,11:19–11:30 AM,2.9633,0.1313,1,283.2,13.13,True,1DTE (Wed expiry)
2026-05-19,C,GOOGL260520C00395000,395.0,REAL,9:30–9:35 AM,5.212,11:19–11:30 AM,2.4064,-2.8056,1,521.2,-280.56,False,1DTE (Wed expiry)
2026-05-26,C,GOOGL260527C00385000,385.0,REAL,9:30–9:35 AM,3.2333,11:19–11:30 AM,3.4233,0.19,1,323.33,19.0,True,1DTE (Wed expiry)
2026-06-02,C,GOOGL260603C00362500,362.5,REAL,9:30–9:35 AM,3.25,11:19–11:30 AM,8.21,4.96,1,325.0,496.0,True,1DTE (Wed expiry)
2026-06-09,C,GOOGL260610C00367500,367.5,REAL,9:30–9:35 AM,4.994,11:19–11:30 AM,1.2827,-3.7113,1,499.4,-371.13,False,1DTE (Wed expiry)
2026-06-16,C,GOOGL260617C00370000,370.0,REAL,9:30–9:35 AM,3.752,11:19–11:30 AM,6.2437,2.4917,1,375.2,249.17,True,1DTE (Wed expiry)
2026-06-23,C,GOOGL260624C00342500,342.5,REAL,9:30–9:35 AM,4.5025,11:19–11:30 AM,5.14,0.6375,1,450.25,63.75,True,1DTE (Wed expiry)
2026-06-30,C,GOOGL260701C00352500,352.5,REAL,9:30–9:35 AM,3.486,11:19–11:30 AM,5.383,1.897,1,348.6,189.7,True,1DTE (Wed expiry)
2026-07-07,C,GOOGL260708C00367500,367.5,REAL,9:30–9:35 AM,3.562,11:19–11:30 AM,3.5712,0.0092,1,356.2,0.92,True,1DTE (Wed expiry)
2026-02-17,C,AMZN260218C00200000,200.0,REAL,11:31–11:36 AM,2.44,1:41–1:46 PM,2.444,0.004,1,244.0,0.4,True,1DTE (Wed expiry)
2026-02-24,C,AMZN260225C00205000,205.0,REAL,11:31–11:36 AM,4.355,1:41–1:46 PM,5.17,0.815,1,435.5,81.5,True,1DTE (Wed expiry)
2026-03-03,C,AMZN260304C00202500,202.5,REAL,11:31–11:36 AM,4.1033,1:41–1:46 PM,6.268,2.1647,1,410.33,216.47,True,1DTE (Wed expiry)
2026-03-10,C,AMZN260311C00215000,215.0,REAL,11:31–11:36 AM,1.488,1:41–1:46 PM,1.67,0.182,1,148.8,18.2,True,1DTE (Wed expiry)
2026-03-17,C,AMZN260318C00212500,212.5,REAL,11:31–11:36 AM,,1:41–1:46 PM,,,,,,,no usable price in entry/exit frame
2026-03-24,C,AMZN260325C00207500,207.5,REAL,11:31–11:36 AM,2.014,1:41–1:46 PM,1.5925,-0.4215,1,201.4,-42.15,False,1DTE (Wed expiry)
2026-03-31,C,AMZN260401C00205000,205.0,REAL,11:31–11:36 AM,2.388,1:41–1:46 PM,4.5133,2.1253,1,238.8,212.53,True,1DTE (Wed expiry)
2026-04-07,C,AMZN260408C00210000,210.0,REAL,11:31–11:36 AM,2.302,1:41–1:46 PM,3.778,1.476,1,230.2,147.6,True,1DTE (Wed expiry)
2026-04-14,C,AMZN260415C00242500,242.5,REAL,11:31–11:36 AM,5.77,1:41–1:46 PM,9.6333,3.8633,1,577.0,386.33,True,1DTE (Wed expiry)
2026-04-21,C,AMZN260422C00252500,252.5,REAL,11:31–11:36 AM,1.972,1:41–1:46 PM,2.084,0.112,1,197.2,11.2,True,1DTE (Wed expiry)
2026-04-28,C,AMZN260429C00255000,255.0,REAL,11:31–11:36 AM,,1:41–1:46 PM,,,,,,,no usable price in entry/exit frame
2026-05-05,C,AMZN260506C00277500,277.5,REAL,11:31–11:36 AM,1.496,1:41–1:46 PM,0.6625,-0.8335,1,149.6,-83.35,False,1DTE (Wed expiry)
