seq,date,entry_frame,exit_frame,ticker,opt_type,buy_price,sell_price,contracts,pnl_dollars,cumulative_pnl,source,result
1,2026-02-17,9:30–9:36 AM,2:20–2:29 PM,AAPL,C,2.9833,7.95,1,496.67,496.67,REAL,WIN
2,2026-02-17,9:30–9:35 AM,11:19–11:30 AM,GOOGL,C,3.898,4.1609,1,26.29,522.96,REAL,WIN
3,2026-02-17,9:32–9:58 AM,12:30–12:35 PM,TSLA,P,6.5288,7.15,1,62.12,585.08,REAL,WIN
4,2026-02-17,9:43–9:54 AM,10:57–11:05 AM,META,P,7.1664,6.2214,1,-94.49,490.59,REAL,LOSS
5,2026-02-17,9:50–10:45 AM,10:54 AM–12:45 PM,MSFT,P,4.3046,3.0368,1,-126.78,363.81,REAL,LOSS
6,2026-02-17,9:51–9:57 AM,11:27–11:32 AM,NVDA,P,2.5683,0.996,1,-157.23,206.58,REAL,LOSS
7,2026-02-17,10:39–10:44 AM,11:28–11:35 AM,AMZN,P,2.5225,1.4914,1,-103.11,103.47,REAL,LOSS
8,2026-02-17,11:16–11:21 AM,12:59–1:05 PM,GOOGL,P,1.8725,2.36,1,48.75,152.22,REAL,WIN
9,2026-02-17,11:28–11:33 AM,2:35–2:40 PM,NVDA,C,4.596,7.142,1,254.6,406.82,REAL,WIN
10,2026-02-17,11:30–11:35 AM,1:40–1:45 PM,MSFT,C,4.095,3.302,1,-79.3,327.52,REAL,LOSS
11,2026-02-17,11:31–11:36 AM,1:41–1:46 PM,AMZN,C,2.44,2.444,1,0.4,327.92,REAL,WIN
12,2026-02-17,12:08–12:13 PM,2:14–2:19 PM,META,C,6.7133,9.18,1,246.67,574.59,REAL,WIN
13,2026-02-17,12:32–12:37 PM,3:42–3:47 PM,TSLA,C,2.966,5.208,1,224.2,798.79,REAL,WIN
14,2026-02-17,2:40–2:45 PM,3:41–3:46 PM,AAPL,P,0.185,0.276,6,54.6,853.39,REAL,WIN
15,2026-02-24,9:30–9:36 AM,2:20–2:29 PM,AAPL,C,2.9133,3.2867,1,37.33,890.72,REAL,WIN
16,2026-02-24,9:30–9:35 AM,11:19–11:30 AM,GOOGL,C,2.444,3.0629,1,61.89,952.61,REAL,WIN
17,2026-02-24,9:32–9:58 AM,12:30–12:35 PM,TSLA,P,4.0277,2.218,1,-180.97,771.64,REAL,LOSS
18,2026-02-24,9:43–9:54 AM,10:57–11:05 AM,META,P,3.63,2.7538,1,-87.62,684.02,REAL,LOSS
19,2026-02-24,9:50–10:45 AM,10:54 AM–12:45 PM,MSFT,P,1.8183,1.4648,1,-35.35,648.67,REAL,LOSS
20,2026-02-24,9:51–9:57 AM,11:27–11:32 AM,NVDA,P,2.2755,1.2596,1,-101.58,547.09,SIM,LOSS
21,2026-02-24,10:39–10:44 AM,11:28–11:35 AM,AMZN,P,0.822,0.56,2,-52.4,494.69,REAL,LOSS
22,2026-02-24,11:16–11:21 AM,12:59–1:05 PM,GOOGL,P,2.32,1.9,1,-42.0,452.69,REAL,LOSS
23,2026-02-24,11:28–11:33 AM,2:35–2:40 PM,NVDA,C,3.4221,3.4915,1,6.93,459.62,SIM,WIN
24,2026-02-24,11:30–11:35 AM,1:40–1:45 PM,MSFT,C,5.3,6.02,1,72.0,531.62,REAL,WIN
25,2026-02-24,11:31–11:36 AM,1:41–1:46 PM,AMZN,C,4.355,5.17,1,81.5,613.12,REAL,WIN
26,2026-02-24,12:32–12:37 PM,3:42–3:47 PM,TSLA,C,7.016,11.098,1,408.2,1021.32,REAL,WIN
27,2026-02-24,2:40–2:45 PM,3:41–3:46 PM,AAPL,P,0.952,1.046,2,18.8,1040.12,REAL,WIN
28,2026-03-03,9:30–9:36 AM,2:20–2:29 PM,AAPL,C,2.5983,2.6878,1,8.94,1049.06,REAL,WIN
29,2026-03-03,9:30–9:35 AM,11:19–11:30 AM,GOOGL,C,4.16,5.1538,1,99.38,1148.44,REAL,WIN
30,2026-03-03,9:32–9:58 AM,12:30–12:35 PM,TSLA,P,6.5712,6.89,1,31.88,1180.32,REAL,WIN
